| People and Society | Gaza Strip |
| --- | --- |
| Nationality: | noun: NA |
| Nationality: | adjective: NA |
| Ethnic groups: | Palestinian Arab |
| Languages: | Arabic, Hebrew (spoken by many Palestinians), English (widely understood) |
| Religions: | Muslim 98.0 - 99.0% (predominantly Sunni), Christian |
| Religions: | note: dismantlement of Israeli settlements was completed in September 2005; Gaza has had no Jewish population since then (2012 est.) |
| Population: | 1,816,379 (July 2014 est.) |
| Age structure: | 0-14 years: 43.2% (male 402,848/female 381,155) |
| Age structure: | 15-24 years: 20.6% (male 191,710/female 182,405) |
| Age structure: | 25-54 years: 30.1% (male 280,551/female 266,756) |
| Age structure: | 55-64 years: 3.5% (male 31,711/female 31,515) |
| Age structure: | 65 years and over: 2.6% (male 19,617/female 28,111) (2014 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 74.1 % |
| population pyramid: | youth dependency ratio: 68.8 % |
| population pyramid: | elderly dependency ratio: 5.3 % |
| population pyramid: | potential support ratio: 19 |
| population pyramid: | note: data represents the Palestinian Territories (2014 est.) |
| Median age: | total: 18.2 years |
| Median age: | male: 18 years |
| Median age: | female: 18.4 years (2014 est.) |
| Population growth rate: | 2.91% (2014 est.) |
| Birth rate: | 32.2 births/1,000 population (2014 est.) |
| Death rate: | 3.09 deaths/1,000 population (2014 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2014 est.) |
| Urbanization: | urban population: 74.3% of total population (2011) |
| Urbanization: | rate of urbanization: 3.1% annual rate of change (2005-10 est.) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.05 male(s)/female |
| Sex ratio: | 25-54 years: 1.05 male(s)/female |
| Sex ratio: | 55-64 years: 1.04 male(s)/female |
| Sex ratio: | 65 years and over: 0.68 male(s)/female |
| Sex ratio: | total population: 1.04 male(s)/female (2014 est.) |
| Mother's mean age at first birth: | 19 |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 (2004 est.) |
| Maternal mortality rate: | 64 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 15.46 deaths/1,000 live births |
| Infant mortality rate: | male: 16.51 deaths/1,000 live births |
| Infant mortality rate: | female: 14.35 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 74.64 years |
| Life expectancy at birth: | male: 72.9 years |
| Life expectancy at birth: | female: 76.48 years (2014 est.) |
| Total fertility rate: | 4.24 children born/woman (2014 est.) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 81.6% of population |
| Drinking water source: | rural: 82.3% of population |
| Drinking water source: | total: 81.8% of population |
| unimproved: | urban: 18.4% of population |
| unimproved: | rural: 17.7% of population |
| unimproved: | total: 18.2% of population |
| unimproved: | note: includes Gaza and the West Bank (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 94.8% of population |
| Sanitation facility access: | rural: 92.8% of population |
| Sanitation facility access: | total: 94.3% of population |
| unimproved: | urban: 5.2% of population |
| unimproved: | rural: 7.2% of population |
| unimproved: | total: 5.7% of population |
| unimproved: | note: includes Gaza and the West Bank (2012 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 95.3% |
| Literacy: | male: 97.9% |
| Literacy: | female: 92.6% |
| Literacy: | note: estimates are for the Palestinian Territories (2011 est.) |
| Unemployment, youth ages 15-24: | total: 38.8% |
| Unemployment, youth ages 15-24: | male: 34.5% |
| Unemployment, youth ages 15-24: | female: 62.2% |
| Unemployment, youth ages 15-24: | note: includes West Bank (2012) |
