| People and Society | Gaza Strip |
| --- | --- |
| Population: | 1,918,221 (July 2020 est.) |
| Nationality: | noun: NA |
| Nationality: | adjective: NA |
| Ethnic groups: | Palestinian Arab |
| Languages: | Arabic, Hebrew (spoken by many Palestinians), English (widely understood) |
| Religions: | Muslim 98.0 - 99.0% (predominantly Sunni), Christian <1.0%, other, unaffiliated, unspecified <1.0% (2012 est.) |
| Religions: | note: dismantlement of Israeli settlements was completed in September 2005; Gaza has had no Jewish population since then |
| Religions: | MENA religious affiliation: [Adobe] PDF |
| Age structure: | 0-14 years: 42.53% (male 418,751/female 397,013) |
| Age structure: | 15-24 years: 21.67% (male 210,240/female 205,385) |
| Age structure: | 25-54 years: 29.47% (male 275,976/female 289,277) |
| Age structure: | 55-64 years: 3.66% (male 36,409/female 33,731) |
| Age structure: | 65 years and over: 2.68% (male 27,248/female 24,191) (2020 est.) |
| Dependency ratios: | total dependency ratio: 71.2 |
| Dependency ratios: | youth dependency ratio: 65.7 |
| Dependency ratios: | elderly dependency ratio: 5.5 |
| Dependency ratios: | potential support ratio: 18.2 (2020 est.) |
| Dependency ratios: | note: data represent Gaza Strip and the West Bank |
| Median age: | total: 18 years |
| Median age: | male: 17.7 years |
| Median age: | female: 18.4 years (2020 est.) |
| Population growth rate: | 2.13% (2020 est.) |
| Birth rate: | 28.6 births/1,000 population (2020 est.) |
| Death rate: | 3 deaths/1,000 population (2020 est.) |
| Net migration rate: | -4.7 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | population concentrated in major cities, particularly Gaza City in the north |
| Urbanization: | urban population: 76.7% of total population (2020) |
| Urbanization: | rate of urbanization: 3% annual rate of change (2015-20 est.) |
| Urbanization: | note: data represent Gaza Strip and the West Bank |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.02 male(s)/female |
| Sex ratio: | 25-54 years: 0.95 male(s)/female |
| Sex ratio: | 55-64 years: 1.08 male(s)/female |
| Sex ratio: | 65 years and over: 1.13 male(s)/female |
| Sex ratio: | total population: 1.02 male(s)/female (2020 est.) |
| Maternal mortality rate: | 27 deaths/100,000 live births (2017 est.) |
| Maternal mortality rate: | note: data represent Gaza Strip and the West Bank |
| Infant mortality rate: | total: 14.9 deaths/1,000 live births |
| Infant mortality rate: | male: 16 deaths/1,000 live births |
| Infant mortality rate: | female: 13.9 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 74.9 years |
| Life expectancy at birth: | male: 73.1 years |
| Life expectancy at birth: | female: 76.7 years (2020 est.) |
| Total fertility rate: | 3.64 children born/woman (2020 est.) |
| Contraceptive prevalence rate: | 57.2% (2014) |
| Contraceptive prevalence rate: | note:Â  includes Gaza Strip and West Bank |
| Drinking water source: | improved: urban: 97.1% of population |
| Drinking water source: | rural: 97.1% of population |
| Drinking water source: | total: 96.8% of population |
| Drinking water source: | unimproved: urban: 2.9% of population |
| Drinking water source: | rural: 2.9% of population |
| Drinking water source: | total: 3.2% of population (2017 est.) |
| Drinking water source: | note: includes Gaza Strip and the West Bank |
| Physicians density: | 2.77 physicians/1,000 population (2018) |
| Hospital bed density: | 1.3 beds/1,000 population (2018) |
| Sanitation facility access: | improved: urban: 100% of population |
| Sanitation facility access: | rural: 99.3% of population |
| Sanitation facility access: | total: 99.8% of population |
| Sanitation facility access: | unimproved: urban: 0% of population |
| Sanitation facility access: | rural: 0.7% of population |
| Sanitation facility access: | total: 0.2% of population (2017 est.) |
| Sanitation facility access: | note: note includes Gaza Strip and the West Bank |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Children under the age of 5 years underweight: | 1.4% (2014) |
| Children under the age of 5 years underweight: | note: estimate is for Gaza Strip and the West Bank |
| Education expenditures: | 5.3% of GDP (2017) |
| Education expenditures: | note: includes Gaza Strip and the West Bank |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 97.2% |
| Literacy: | male: 98.7% |
| Literacy: | female: 95.7% (2018) |
| Literacy: | note: estimates are for Gaza and the West Bank |
| School life expectancy (primary to tertiary education): | total: 13 years |
| School life expectancy (primary to tertiary education): | male: 13 years |
| School life expectancy (primary to tertiary education): | female: 14 years (2013) |
| School life expectancy (primary to tertiary education): | note: data represent Gaza Strip and the West Bank |
| Unemployment, youth ages 15-24: | total: 42.2% |
| Unemployment, youth ages 15-24: | male: 37% |
| Unemployment, youth ages 15-24: | female: 69.4% (2018 est.) |
| Unemployment, youth ages 15-24: | note: includes the West Bank |
