| People and Society | SAINT MARTIN |
| --- | --- |
| Ethnic groups: | Creole (mulatto), black, Guadeloupe Mestizo (French-East Asia), white, East Indian |
| Languages: | French (official), English, Dutch, French Patois, Spanish, Papiamento (dialect of Netherlands Antilles) |
| Religions: | Roman Catholic, Jehovah's Witnesses, Protestant, Hindu |
| Population: | 31,754 (July 2015 est.) |
| Age structure: | 0-14 years: 26.51% (male 4,192/female 4,225) |
| Age structure: | 15-24 years: 10.58% (male 1,682/female 1,677) |
| Age structure: | 25-54 years: 47.05% (male 7,101/female 7,838) |
| Age structure: | 55-64 years: 8.57% (male 1,267/female 1,455) |
| Age structure: | 65 years and over: 7.3% (male 1,033/female 1,284) (2015 est.) |
| population pyramid: | Median age: |
| population pyramid: | total: 31.8 years |
| population pyramid: | male: 30.7 years |
| population pyramid: | female: 32.7 years (2014 est.) |
| Sex ratio: | at birth: 1.04 male(s)/female |
| Sex ratio: | 0-14 years: 0.99 male(s)/female |
| Sex ratio: | 15-24 years: 1 male(s)/female |
| Sex ratio: | 25-54 years: 0.91 male(s)/female |
| Sex ratio: | 55-64 years: 0.87 male(s)/female |
| Sex ratio: | 65 years and over: 0.8 male(s)/female |
| Sex ratio: | total population: 0.93 male(s)/female (2015 est.) |
