| People and Society | Saint Martin |
| --- | --- |
| Ethnic groups: | Creole (mulatto), black, Guadeloupe Mestizo (French-East Asia), white, East Indian |
| Languages: | French (official), English, Dutch, French Patois, Spanish, Papiamento (dialect of Netherlands Antilles) |
| Religions: | Roman Catholic, Jehovah's Witnesses, Protestant, Hindu |
| Population: | 31,530 (July 2014 est.) |
| Age structure: | 0-14 years: 26.6% (male 4,179/female 4,216) |
| Age structure: | 15-24 years: 10.8% (male 1,721/female 1,678) |
| Age structure: | 25-54 years: 47.2% (male 7,046/female 7,836) |
| Age structure: | 55-64 years: 8.5% (male 1,246/female 1,420) |
| Age structure: | 65 years and over: 6.6% (male 978/female 1,210) (2014 est.) |
| population pyramid: | Median age: |
| population pyramid: | total: 31.8 years |
| population pyramid: | male: 30.7 years |
| population pyramid: | female: 32.7 years (2014 est.) |
| Sex ratio: | at birth: 1.04 male(s)/female |
| Sex ratio: | 0-14 years: 0.99 male(s)/female |
| Sex ratio: | 15-24 years: 1.03 male(s)/female |
| Sex ratio: | 25-54 years: 0.9 male(s)/female |
| Sex ratio: | 55-64 years: 0.93 male(s)/female |
| Sex ratio: | 65 years and over: 0.81 male(s)/female |
| Sex ratio: | total population: 0.93 male(s)/female (2014 est.) |
