| People and Society | Saint Martin |
| --- | --- |
| Ethnic groups: | Creole (mulatto), black, Guadeloupe Mestizo (French-East Asia), white, East Indian |
| Languages: | French (official), English, Dutch, French Patois, Spanish, Papiamento (dialect of Netherlands Antilles) |
| Religions: | Roman Catholic, Jehovah's Witnesses, Protestant, Hindu |
| Population: | 30,959 (July 2012 est.) |
| Age structure: | 0-14 years: 26.8% (male 4,125/ female 4,172) |
| Age structure: | 15-64 years: 66.9% (male 9,891/ female 10,817) |
| Age structure: | 65 years and over: 6.3% (male 876/ female 1,078) (2012 est.) |
| Age structure: | population pyramid: [] |
| Median age: | total: 31.2 years |
| Median age: | male: 30.2 years |
| Median age: | female: 32.1 years (2012 est.) |
| Sex ratio: | at birth: 1.04 male(s)/female |
| Sex ratio: | under 15 years: 0.99 male(s)/female |
| Sex ratio: | 15-64 years: 0.91 male(s)/female |
| Sex ratio: | 65 years and over: 0.81 male(s)/female |
| Sex ratio: | total population: 0.93 male(s)/female (2011 est.) |
| Education expenditures: | NA |
