| People and Society | Greece |
| --- | --- |
| Nationality: | noun: Greek(s) |
| Nationality: | adjective: Greek |
| Ethnic groups: | population: Greek 93%, other (foreign citizens) 7% (2001 census) |
| Ethnic groups: | note: percents represent citizenship, since Greece does not collect data on ethnicity |
| Languages: | Greek (official) 99%, other (includes English and French) 1% |
| Religions: | Greek Orthodox (official) 98%, Muslim 1.3%, other 0.7% |
| Population: | 10,775,557 (July 2014 est.) |
| Age structure: | 0-14 years: 14.1% (male 781,151/female 735,444) |
| Age structure: | 15-24 years: 9.8% (male 537,849/female 515,359) |
| Age structure: | 25-54 years: 43.2% (male 2,321,709/female 2,337,502) |
| Age structure: | 55-64 years: 12.7% (male 670,270/female 694,399) |
| Age structure: | 65 years and over: 20.1% (male 954,605/female 1,227,269) (2014 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 52.9 % |
| population pyramid: | youth dependency ratio: 22.4 % |
| population pyramid: | elderly dependency ratio: 30.5 % |
| population pyramid: | potential support ratio: 3.3 (2014 est.) |
| Median age: | total: 43.5 years |
| Median age: | male: 42.4 years |
| Median age: | female: 44.6 years (2014 est.) |
| Population growth rate: | 0.01% (2014 est.) |
| Birth rate: | 8.8 births/1,000 population (2014 est.) |
| Death rate: | 11 deaths/1,000 population (2014 est.) |
| Net migration rate: | 2.32 migrant(s)/1,000 population (2014 est.) |
| Urbanization: | urban population: 61.4% of total population (2011) |
| Urbanization: | rate of urbanization: 0.63% annual rate of change (2010-15 est.) |
| Major urban areas - population: | ATHENS (capital) 3.414 million; Thessaloniki 883,000 (2011) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 0.99 male(s)/female |
| Sex ratio: | 55-64 years: 0.96 male(s)/female |
| Sex ratio: | 65 years and over: 0.78 male(s)/female |
| Sex ratio: | total population: 0.96 male(s)/female (2014 est.) |
| Mother's mean age at first birth: | 31.2 (2010 est.) |
| Maternal mortality rate: | 3 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 4.78 deaths/1,000 live births |
| Infant mortality rate: | male: 5.24 deaths/1,000 live births |
| Infant mortality rate: | female: 4.28 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 80.3 years |
| Life expectancy at birth: | male: 77.71 years |
| Life expectancy at birth: | female: 83.06 years (2014 est.) |
| Total fertility rate: | 1.41 children born/woman (2014 est.) |
| Contraceptive prevalence rate: | 76.2% |
| Contraceptive prevalence rate: | note: percent of women aged 16-45 (2001) |
| Health expenditures: | 9% of GDP (2011) |
| Physicians density: | 6.04 physicians/1,000 population (2008) |
| Hospital bed density: | 4.9 beds/1,000 population (2009) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 99.4% of population |
| Drinking water source: | total: 99.8% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0.6% of population |
| unimproved: | total: 0.2% of population (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 99.4% of population |
| Sanitation facility access: | rural: 97.5% of population |
| Sanitation facility access: | total: 98.6% of population |
| unimproved: | urban: 0.6% of population |
| unimproved: | rural: 2.5% of population |
| unimproved: | total: 1.4% of population (2012 est.) |
| HIV/AIDS - adult prevalence rate: | 0.1% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 8,800 (2009 est.) |
| HIV/AIDS - deaths: | fewer than 500 (2009 est.) |
| Obesity - adult prevalence rate: | 20.1% (2008) |
| Education expenditures: | 4.1% of GDP (2005) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 97.3% |
| Literacy: | male: 98.4% |
| Literacy: | female: 96.3% (2011 est.) |
| School life expectancy (primary to tertiary education): | total: 17 years |
| School life expectancy (primary to tertiary education): | male: 16 years |
| School life expectancy (primary to tertiary education): | female: 17 years (2007) |
| Unemployment, youth ages 15-24: | total: 55.3% |
| Unemployment, youth ages 15-24: | male: 48.4% |
| Unemployment, youth ages 15-24: | female: 63.2% (2012) |
