| People and Society | Cambodia |
| --- | --- |
| Nationality: | noun: Cambodian(s) |
| Nationality: | adjective: Cambodian |
| Ethnic groups: | Khmer 90%, Vietnamese 5%, Chinese 1%, other 4% |
| Languages: | Khmer (official) 95%, French, English |
| Religions: | Buddhist (official) 96.4%, Muslim 2.1%, other 1.3%, unspecified 0.2% (1998 census) |
| Population: | 15,205,539 (July 2013 est.) |
| Population: | note: estimates for this country take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected |
| Age structure: | 0-14 years: 31.7% (male 2,428,507/female 2,397,327) |
| Age structure: | 15-24 years: 21.2% (male 1,597,990/female 1,627,161) |
| Age structure: | 25-54 years: 38.2% (male 2,828,752/female 2,985,226) |
| Age structure: | 55-64 years: 4.9% (male 287,073/female 464,991) |
| Age structure: | 65 years and over: 3.9% (male 221,356/female 367,156) (2013 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 57.3 % |
| population pyramid: | youth dependency ratio: 48.9 % |
| population pyramid: | elderly dependency ratio: 8.4 % |
| population pyramid: | potential support ratio: 11.9 (2013) |
| Median age: | total: 23.7 years |
| Median age: | male: 23 years |
| Median age: | female: 24.4 years (2013 est.) |
| Population growth rate: | 1.67% (2013 est.) |
| Birth rate: | 24.88 births/1,000 population (2013 est.) |
| Death rate: | 7.88 deaths/1,000 population (2013 est.) |
| Net migration rate: | -0.33 migrant(s)/1,000 population (2013 est.) |
| Urbanization: | urban population: 20% of total population (2011) |
| Urbanization: | rate of urbanization: 2.13% annual rate of change (2010-15 est.) |
| Major urban areas - population: | PHNOM PENH (capital) 1.55 million (2011) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.01 male(s)/female |
| Sex ratio: | 15-24 years: 0.98 male(s)/female |
| Sex ratio: | 25-54 years: 0.94 male(s)/female |
| Sex ratio: | 55-64 years: 0.63 male(s)/female |
| Sex ratio: | 65 years and over: 0.6 male(s)/female |
| Sex ratio: | total population: 0.94 male(s)/female (2013 est.) |
| Mother's mean age at first birth: | 22.8 |
| Mother's mean age at first birth: | note: Median age at first birth among women 25-29 (2010 est.) |
| Maternal mortality rate: | 250 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 52.7 deaths/1,000 live births |
| Infant mortality rate: | male: 59.54 deaths/1,000 live births |
| Infant mortality rate: | female: 45.55 deaths/1,000 live births (2013 est.) |
| Life expectancy at birth: | total population: 63.41 years |
| Life expectancy at birth: | male: 61.01 years |
| Life expectancy at birth: | female: 65.93 years (2013 est.) |
| Total fertility rate: | 2.72 children born/woman (2013 est.) |
| Contraceptive prevalence rate: | 50.5% (2010/11) |
| Health expenditures: | 5.7% of GDP (2011) |
| Physicians density: | 0.23 physicians/1,000 population (2008) |
| Hospital bed density: | 0.7 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 87% of population |
| Drinking water source: | rural: 58% of population |
| Drinking water source: | total: 64% of population |
| unimproved: | urban: 13% of population |
| unimproved: | rural: 42% of population |
| unimproved: | total: 36% of population (2010 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 73% of population |
| Sanitation facility access: | rural: 20% of population |
| Sanitation facility access: | total: 31% of population |
| unimproved: | urban: 27% of population |
| unimproved: | rural: 80% of population |
| unimproved: | total: 69% of population (2010 est.) |
| HIV/AIDS - adult prevalence rate: | 0.5% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 63,000 (2009 est.) |
| HIV/AIDS - deaths: | 3,100 (2009 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever, Japanese encephalitis, and malaria |
| Major infectious diseases: | note: highly pathogenic H5N1 avian influenza has been identified in this country; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds (2013) |
| Obesity - adult prevalence rate: | 2.1% (2008) |
| Children under the age of 5 years underweight: | 29% (2011) |
| Education expenditures: | 2.6% of GDP (2010) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 73.9% |
| Literacy: | male: 82.8% |
| Literacy: | female: 65.9% (2009 est.) |
| School life expectancy (primary to tertiary education): | total: 10 years |
| School life expectancy (primary to tertiary education): | male: 11 years |
| School life expectancy (primary to tertiary education): | female: 10 years (2008) |
| Child labor - children ages 5-14: | total number: 1,345,269 |
| Child labor - children ages 5-14: | percentage: 39 % (2001 est.) |
| Unemployment, youth ages 15-24: | total: 3.4% |
| Unemployment, youth ages 15-24: | male: 3.5% |
| Unemployment, youth ages 15-24: | female: 3.3% (2008) |
