| People | Cambodia |
| --- | --- |
| Population: | 13,881,427 |
| Population: | note: estimates for this country take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality and death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2006 est.) |
| Age structure: | 0-14 years: 35.6% (male 2,497,595/female 2,447,754) |
| Age structure: | 15-64 years: 61% (male 4,094,946/female 4,370,159) |
| Age structure: | 65 years and over: 3.4% (male 180,432/female 290,541) (2006 est.) |
| Median age: | total: 20.6 years |
| Median age: | male: 19.9 years |
| Median age: | female: 21.4 years (2006 est.) |
| Population growth rate: | 1.78% (2006 est.) |
| Birth rate: | 26.9 births/1,000 population (2006 est.) |
| Death rate: | 9.06 deaths/1,000 population (2006 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2006 est.) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | under 15 years: 1.02 male(s)/female |
| Sex ratio: | 15-64 years: 0.94 male(s)/female |
| Sex ratio: | 65 years and over: 0.62 male(s)/female |
| Sex ratio: | total population: 0.95 male(s)/female (2006 est.) |
| Infant mortality rate: | total: 68.78 deaths/1,000 live births |
| Infant mortality rate: | male: 77.35 deaths/1,000 live births |
| Infant mortality rate: | female: 59.84 deaths/1,000 live births (2006 est.) |
| Life expectancy at birth: | total population: 59.29 years |
| Life expectancy at birth: | male: 57.35 years |
| Life expectancy at birth: | female: 61.32 years (2006 est.) |
| Total fertility rate: | 3.37 children born/woman (2006 est.) |
| HIV/AIDS - adult prevalence rate: | 2.6% (2003 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 170,000 (2003 est.) |
| HIV/AIDS - deaths: | 15,000 (2003 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever, malaria, and Japanese encephalitis are high risks in some locations |
| Major infectious diseases: | note: at present, H5N1 avian influenza poses a minimal risk; during outbreaks among birds, rare cases could occur among US citizens who have close contact with infected birds or poultry (2005) |
| Nationality: | noun: Cambodian(s) |
| Nationality: | adjective: Cambodian |
| Ethnic groups: | Khmer 90%, Vietnamese 5%, Chinese 1%, other 4% |
| Religions: | Theravada Buddhist 95%, other 5% |
| Languages: | Khmer (official) 95%, French, English |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 73.6% |
| Literacy: | male: 84.7% |
| Literacy: | female: 64.1% (2004 est.) |
