| People and Society | Cambodia |
| --- | --- |
| Population: | 16,926,984 (July 2020 est.) |
| Nationality: | noun: Cambodian(s) |
| Nationality: | adjective: Cambodian |
| Ethnic groups: | Khmer 97.6%, Cham 1.2%, Chinese 0.1%, Vietnamese 0.1%, other 0.9% (2013 est.) |
| Languages: | Khmer (official) 96.3%, other 3.7% (2008 est.) |
| Religions: | Buddhist (official) 97.9%, Muslim 1.1%, Christian 0.5%, other 0.6% (2013 est.) |
| Age structure: | 0-14 years: 30.18% (male 2,582,427/female 2,525,619) |
| Age structure: | 15-24 years: 17.28% (male 1,452,784/female 1,472,769) |
| Age structure: | 25-54 years: 41.51% (male 3,442,051/female 3,584,592) |
| Age structure: | 55-64 years: 6.44% (male 476,561/female 612,706) |
| Age structure: | 65 years and over: 4.59% (male 287,021/female 490,454) (2020 est.) |
| Dependency ratios: | total dependency ratio: 55.7 |
| Dependency ratios: | youth dependency ratio: 48.2 |
| Dependency ratios: | elderly dependency ratio: 7.6 |
| Dependency ratios: | potential support ratio: 13.2 (2020 est.) |
| Median age: | total: 26.4 years |
| Median age: | male: 25.6 years |
| Median age: | female: 27.2 years (2020 est.) |
| Population growth rate: | 1.4% (2020 est.) |
| Birth rate: | 21.3 births/1,000 population (2020 est.) |
| Death rate: | 7.3 deaths/1,000 population (2020 est.) |
| Net migration rate: | -0.3 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | population concentrated in the southeast, particularly in and around the capital of Phnom Penh; further distribution is linked closely to the Tonle Sap and Mekong Rivers |
| Urbanization: | urban population: 24.2% of total population (2020) |
| Urbanization: | rate of urbanization: 3.25% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 2.078 million PHNOM PENH (capital) (2020) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.02 male(s)/female |
| Sex ratio: | 15-24 years: 0.99 male(s)/female |
| Sex ratio: | 25-54 years: 0.96 male(s)/female |
| Sex ratio: | 55-64 years: 0.78 male(s)/female |
| Sex ratio: | 65 years and over: 0.59 male(s)/female |
| Sex ratio: | total population: 0.95 male(s)/female (2020 est.) |
| Mother's mean age at first birth: | 22.9 years (2014 est.) |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 |
| Maternal mortality rate: | 160 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 43.7 deaths/1,000 live births |
| Infant mortality rate: | male: 49.8 deaths/1,000 live births |
| Infant mortality rate: | female: 37.3 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 65.9 years |
| Life expectancy at birth: | male: 63.4 years |
| Life expectancy at birth: | female: 68.6 years (2020 est.) |
| Total fertility rate: | 2.39 children born/woman (2020 est.) |
| Contraceptive prevalence rate: | 56.3% (2014) |
| Drinking water source: | improved: urban: 98.4% of population |
| Drinking water source: | rural: 77.8% of population |
| Drinking water source: | total: 80.3% of population |
| Drinking water source: | unimproved: urban: 1.6% of population |
| Drinking water source: | rural: 22.2% of population |
| Drinking water source: | total: 19.7% of population (2017 est.) |
| Current Health Expenditure: | 5.9% (2017) |
| Physicians density: | 0.19 physicians/1,000 population (2014) |
| Hospital bed density: | 1.9 beds/1,000 population (2016) |
| Sanitation facility access: | improved: urban: 100% of population |
| Sanitation facility access: | rural: 55.5% of population |
| Sanitation facility access: | total: 65.7% of population |
| Sanitation facility access: | unimproved: urban: 0% of population |
| Sanitation facility access: | rural: 44.5% of population |
| Sanitation facility access: | total: 34.3% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | 0.6% (2019 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 73,000 (2019 est.) |
| HIV/AIDS - deaths: | 1,300 (2019 est.) |
| Major infectious diseases: | degree of risk: very high (2020) |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever, Japanese encephalitis, and malaria |
| Obesity - adult prevalence rate: | 3.9% (2016) |
| Children under the age of 5 years underweight: | 24.1% (2014) |
| Education expenditures: | 2.2% of GDP (2018) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 80.5% |
| Literacy: | male: 86.5% |
| Literacy: | female: 75% (2015) |
| School life expectancy (primary to tertiary education): | total: 11 years |
| School life expectancy (primary to tertiary education): | male: 11 years |
| School life expectancy (primary to tertiary education): | female: 10 years (2008) |
| Unemployment, youth ages 15-24: | total: 1.1% |
| Unemployment, youth ages 15-24: | male: 1% |
| Unemployment, youth ages 15-24: | female: 1.2% (2016 est.) |
