| People and Society | SRI LANKA |
| --- | --- |
| Population: | 22,409,381 (July 2017 est.) |
| Nationality: | noun: Sri Lankan(s) |
| Nationality: | adjective: Sri Lankan |
| Ethnic groups: | Sinhalese 74.9%, Sri Lankan Tamil 11.2%, Sri Lankan Moors 9.2%, Indian Tamil 4.2%, other 0.5% (2012 est.) |
| Languages: | Sinhala (official and national language) 74%, Tamil (official and national language) 18%, other 8% |
| Languages: | note: English, spoken competently by about 10% of the population, is commonly used in government and is referred to as the link language in the constitution |
| Religions: | Buddhist (official) 70.2%, Hindu 12.6%, Muslim 9.7%, Roman Catholic 6.1%, other Christian 1.3%, other 0.05% (2012 est.) |
| Age structure: | 0-14 years: 24.06% (male 2,750,004/female 2,642,606) |
| Age structure: | 15-24 years: 14.63% (male 1,666,859/female 1,611,379) |
| Age structure: | 25-54 years: 41.58% (male 4,571,200/female 4,747,119) |
| Age structure: | 55-64 years: 10.06% (male 1,043,199/female 1,210,930) |
| Age structure: | 65 years and over: 9.67% (male 917,014/female 1,249,071) (2017 est.) |
| Dependency ratios: | total dependency ratio: 51.2 |
| Dependency ratios: | youth dependency ratio: 37.2 |
| Dependency ratios: | elderly dependency ratio: 14.1 |
| Dependency ratios: | potential support ratio: 7.1 (2015 est.) |
| Median age: | total: 32.8 years |
| Median age: | male: 31.5 years |
| Median age: | female: 34 years (2017 est.) |
| Population growth rate: | 0.76% (2017 est.) |
| Birth rate: | 15.2 births/1,000 population (2017 est.) |
| Death rate: | 6.2 deaths/1,000 population (2017 est.) |
| Net migration rate: | -1.3 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | the population is primarily concentrated within a broad wet zone in the southwest, urban centers along the eastern coast, and on the Jaffna Peninsula in the north |
| Urbanization: | urban population: 18.5% of total population (2017) |
| Urbanization: | rate of urbanization: 1.11% annual rate of change (2015-20 est.) |
| Major urban areas - population: | Sri Jayewardenepura Kotte (legislative capital) 128,000 (2014); COLOMBO (capital) 707,000 (2015) |
| Sex ratio: | at birth: 1.04 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.03 male(s)/female |
| Sex ratio: | 25-54 years: 0.96 male(s)/female |
| Sex ratio: | 55-64 years: 0.86 male(s)/female |
| Sex ratio: | 65 years and over: 0.74 male(s)/female |
| Sex ratio: | total population: 0.96 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 25.4 years |
| Mother's mean age at first birth: | note: median age at first birth among women 30-34 (2006/07 est.) |
| Maternal mortality rate: | 30 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 8.4 deaths/1,000 live births |
| Infant mortality rate: | male: 9.3 deaths/1,000 live births |
| Infant mortality rate: | female: 7.4 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 76.9 years |
| Life expectancy at birth: | male: 73.5 years |
| Life expectancy at birth: | female: 80.6 years (2017 est.) |
| Total fertility rate: | 2.07 children born/woman (2017 est.) |
| Health expenditures: | 3.5% of GDP (2014) |
| Physicians density: | 0.73 physicians/1,000 population (2010) |
| Hospital bed density: | 3.6 beds/1,000 population (2012) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 98.5% of population |
| Drinking water source: | rural: 95% of population |
| Drinking water source: | total: 95.6% of population |
| unimproved: | urban: 1.5% of population |
| unimproved: | rural: 5% of population |
| unimproved: | total: 4.4% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 88.1% of population |
| Sanitation facility access: | rural: 96.7% of population |
| Sanitation facility access: | total: 95.1% of population |
| unimproved: | urban: 11.9% of population |
| unimproved: | rural: 3.3% of population |
| unimproved: | total: 4.9% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | <.1% (2016 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 4,000 (2016 est.) |
| HIV/AIDS - deaths: | <200 (2016 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea and hepatitis A |
| Major infectious diseases: | vectorborne disease: dengue fever |
| Major infectious diseases: | water contact disease: leptospirosis |
| Major infectious diseases: | animal contact disease: rabies (2016) |
| Obesity - adult prevalence rate: | 5.2% (2016) |
| Children under the age of 5 years underweight: | 26.3% (2012) |
| Education expenditures: | 2.2% of GDP (2015) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 92.6% |
| Literacy: | male: 93.6% |
| Literacy: | female: 91.7% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 14 years |
| School life expectancy (primary to tertiary education): | male: 14 years |
| School life expectancy (primary to tertiary education): | female: 14 years (2013) |
| Unemployment, youth ages 15-24: | total: 20.7% |
| Unemployment, youth ages 15-24: | male: 16.5% |
| Unemployment, youth ages 15-24: | female: 27.3% (2015 est.) |
