| People and Society | Sri Lanka |
| --- | --- |
| Nationality: | noun: Sri Lankan(s) |
| Nationality: | adjective: Sri Lankan |
| Ethnic groups: | Sinhalese 73.8%, Sri Lankan Moors 7.2%, Indian Tamil 4.6%, Sri Lankan Tamil 3.9%, other 0.5%, unspecified 10% (2001 census provisional data) |
| Languages: | Sinhala (official and national language) 74%, Tamil (national language) 18%, other 8% |
| Languages: | note: English, spoken competently by about 10% of the population, is commonly used in government and is referred to as the link language in the constitution |
| Religions: | Buddhist (official) 69.1%, Muslim 7.6%, Hindu 7.1%, Christian 6.2%, unspecified 10% (2001 census provisional data) |
| Population: | 21,481,334 (July 2012 est.) |
| Age structure: | 0-14 years: 24.9% (male 2,723,657/ female 2,615,425) |
| Age structure: | 15-64 years: 67% (male 7,041,566/ female 7,358,891) |
| Age structure: | 65 years and over: 8.1% (male 747,433/ female 994,362) (2012 est.) |
| Age structure: | population pyramid: [] |
| Median age: | total: 31.1 years |
| Median age: | male: 30.1 years |
| Median age: | female: 32.2 years (2012 est.) |
| Population growth rate: | 0.913% (2012 est.) |
| Birth rate: | 17.04 births/1,000 population (2012 est.) |
| Death rate: | 5.96 deaths/1,000 population (July 2012 est.) |
| Net migration rate: | -1.95 migrant(s)/1,000 population (2012 est.) |
| Urbanization: | urban population: 14% of total population (2010) |
| Urbanization: | rate of urbanization: 1.1% annual rate of change (2010-15 est.) |
| Major cities - population: | COLOMBO (capital) 681,000 (2009) |
| Sex ratio: | at birth: 1.04 male(s)/female |
| Sex ratio: | under 15 years: 1.04 male(s)/female |
| Sex ratio: | 15-64 years: 0.96 male(s)/female |
| Sex ratio: | 65 years and over: 0.75 male(s)/female |
| Sex ratio: | total population: 0.96 male(s)/female (2011 est.) |
| Maternal mortality rate: | 35 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 9.47 deaths/1,000 live births |
| Infant mortality rate: | male: 10.44 deaths/1,000 live births |
| Infant mortality rate: | female: 8.45 deaths/1,000 live births (2012 est.) |
| Life expectancy at birth: | total population: 75.94 years |
| Life expectancy at birth: | male: 72.43 years |
| Life expectancy at birth: | female: 79.59 years (2012 est.) |
| Total fertility rate: | 2.17 children born/woman (2012 est.) |
| Health expenditures: | 4% of GDP (2009) |
| Physicians density: | 0.492 physicians/1,000 population (2006) |
| Hospital bed density: | 3.1 beds/1,000 population (2004) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 88% of population |
| Sanitation facility access: | rural: 92% of population |
| Sanitation facility access: | total: 91% of population |
| unimproved: | urban: 12% of population |
| unimproved: | rural: 8% of population |
| unimproved: | total: 9% of population |
| HIV/AIDS - adult prevalence rate: | less than 0.1% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 2,800 (2009 est.) |
| HIV/AIDS - deaths: | fewer than 200 (2009 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea and hepatitis A |
| Major infectious diseases: | vectorborne disease: dengue fever and chikungunya |
| Major infectious diseases: | water contact disease: leptospirosis |
| Major infectious diseases: | animal contact disease: rabies (2009) |
| Children under the age of 5 years underweight: | 21.1% (2007) |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 91.2% |
| Literacy: | male: 92.6% |
| Literacy: | female: 90% (2010 census) |
| School life expectancy (primary to tertiary education): | total: 13 years |
| School life expectancy (primary to tertiary education): | male: 12 years |
| School life expectancy (primary to tertiary education): | female: 13 years (2004) |
| Unemployment, youth ages 15-24: | total: 21.3% |
| Unemployment, youth ages 15-24: | male: 17.1% |
| Unemployment, youth ages 15-24: | female: 27.9% (2009) |
