| People and Society | IRAQ |
| --- | --- |
| Population: | 39,192,111 (July 2017 est.) |
| Nationality: | noun: Iraqi(s) |
| Nationality: | adjective: Iraqi |
| Ethnic groups: | Arab 75%-80%, Kurdish 15%-20%, Turkmen, Assyrian, Shabak, Yazidi, other 5% |
| Languages: | Arabic (official), Kurdish (official), Turkmen (a Turkish dialect), Syriac (Neo-Aramaic), and Armenian are official in areas where native speakers of these languages constitute a majority of the population) |
| Religions: | Muslim (official) 99% (Shia 55-60%, Sunni 40%), Christian <.1%, Yazidi <.1%, Sabean Mandaean <.1%, Baha'i <.1%, Zoroastrian <.1%, Hindu <0.1%, Buddhist <0.1%, Jewish <0.1%, folk religion <0.1, unafilliated 0.1%, other <0.1% |
| Religions: | note: while there has been voluntary relocation of many Christian families to northern Iraq, recent reporting indicates that the overall Christian population may have dropped by as much as 50 percent since the fall of the SADDAM Husayn regime in 2003, with many fleeing to Syria, Jordan, and Lebanon (2010 est.) |
| Age structure: | 0-14 years: 39.46% (male 7,895,522/female 7,569,205) |
| Age structure: | 15-24 years: 19.25% (male 3,841,375/female 3,702,187) |
| Age structure: | 25-54 years: 33.84% (male 6,704,201/female 6,558,108) |
| Age structure: | 55-64 years: 3.99% (male 752,598/female 812,683) |
| Age structure: | 65 years and over: 3.46% (male 601,937/female 754,295) (2017 est.) |
| Dependency ratios: | total dependency ratio: 77.7 |
| Dependency ratios: | youth dependency ratio: 72.3 |
| Dependency ratios: | elderly dependency ratio: 5.5 |
| Dependency ratios: | potential support ratio: 18.3 (2015 est.) |
| Median age: | total: 20 years |
| Median age: | male: 19.8 years |
| Median age: | female: 20.3 years (2017 est.) |
| Population growth rate: | 2.55% (2017 est.) |
| Birth rate: | 30.4 births/1,000 population (2017 est.) |
| Death rate: | 3.8 deaths/1,000 population (2017 est.) |
| Net migration rate: | -1.2 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | population is concentrated in the north, center, and eastern parts of the country, with many of the larger urban agglomerations found along extensive parts of the Tigris and Euphrates Rivers; much of the western and southern areas are either lightly populated or uninhabited |
| Urbanization: | urban population: 69.7% of total population (2017) |
| Urbanization: | rate of urbanization: 2.97% annual rate of change (2015-20 est.) |
| Major urban areas - population: | BAGHDAD (capital) 6.643 million; Mosul 1.694 million; Erbil 1.166 million; Basra 1.019 million; As Sulaymaniyah 1.004 million; Najaf 889,000 (2015) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 1.02 male(s)/female |
| Sex ratio: | 55-64 years: 0.91 male(s)/female |
| Sex ratio: | 65 years and over: 0.8 male(s)/female |
| Sex ratio: | total population: 1.02 male(s)/female (2016 est.) |
| Maternal mortality rate: | 50 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 37.5 deaths/1,000 live births |
| Infant mortality rate: | male: 40.6 deaths/1,000 live births |
| Infant mortality rate: | female: 34.2 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 74.9 years |
| Life expectancy at birth: | male: 72.6 years |
| Life expectancy at birth: | female: 77.2 years (2017 est.) |
| Total fertility rate: | 4 children born/woman (2017 est.) |
| Contraceptive prevalence rate: | 52.5% (2011) |
| Health expenditures: | 5.5% of GDP (2014) |
| Physicians density: | 0.85 physicians/1,000 population (2014) |
| Hospital bed density: | 1.3 beds/1,000 population (2012) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 93.8% of population |
| Drinking water source: | rural: 70.1% of population |
| Drinking water source: | total: 86.6% of population |
| unimproved: | urban: 6.1% of population |
| unimproved: | rural: 31.5% of population |
| unimproved: | total: 14.6% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 86.4% of population |
| Sanitation facility access: | rural: 83.8% of population |
| Sanitation facility access: | total: 85.6% of population |
| unimproved: | urban: 13.6% of population |
| unimproved: | rural: 16.2% of population |
| unimproved: | total: 14.4% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Major infectious diseases: | degree of risk: intermediate |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever (2016) |
| Obesity - adult prevalence rate: | 30.4% (2016) |
| Children under the age of 5 years underweight: | 8.5% (2011) |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 79.7% |
| Literacy: | male: 85.7% |
| Literacy: | female: 73.7% (2015 est.) |
