| People and Society | Grenada |
| --- | --- |
| Nationality: | noun: Grenadian(s) |
| Nationality: | adjective: Grenadian |
| Ethnic groups: | black 82%, mixed black and European 13%, European and East Indian 5%, and trace of Arawak/Carib Amerindian |
| Languages: | English (official), French patois |
| Religions: | Roman Catholic 53%, Anglican 13.8%, other Protestant 33.2% |
| Population: | 110,152 (July 2014 est.) |
| Age structure: | 0-14 years: 24.5% (male 13,954/female 13,057) |
| Age structure: | 15-24 years: 16.5% (male 9,075/female 9,155) |
| Age structure: | 25-54 years: 40.3% (male 22,765/female 21,628) |
| Age structure: | 55-64 years: 9.2% (male 5,214/female 4,927) |
| Age structure: | 65 years and over: 9.2% (male 4,739/female 5,638) (2014 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 50.9 % |
| population pyramid: | youth dependency ratio: 40.2 % |
| population pyramid: | elderly dependency ratio: 10.7 % |
| population pyramid: | potential support ratio: 9.3 (2014 est.) |
| Median age: | total: 29.9 years |
| Median age: | male: 29.8 years |
| Median age: | female: 29.9 years (2014 est.) |
| Population growth rate: | 0.5% (2014 est.) |
| Birth rate: | 16.3 births/1,000 population (2014 est.) |
| Death rate: | 8.04 deaths/1,000 population (2014 est.) |
| Net migration rate: | -3.24 migrant(s)/1,000 population (2014 est.) |
| Urbanization: | urban population: 39.1% of total population (2011) |
| Urbanization: | rate of urbanization: 1.24% annual rate of change (2010-15 est.) |
| Major urban areas - population: | SAINT GEORGE'S (capital) 41,000 (2011) |
| Sex ratio: | at birth: 1.1 male(s)/female |
| Sex ratio: | 0-14 years: 1.07 male(s)/female |
| Sex ratio: | 15-24 years: 0.99 male(s)/female |
| Sex ratio: | 25-54 years: 1.05 male(s)/female |
| Sex ratio: | 55-64 years: 1.03 male(s)/female |
| Sex ratio: | 65 years and over: 0.83 male(s)/female |
| Sex ratio: | total population: 1.02 male(s)/female (2014 est.) |
| Maternal mortality rate: | 24 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 10.5 deaths/1,000 live births |
| Infant mortality rate: | male: 9.82 deaths/1,000 live births |
| Infant mortality rate: | female: 11.26 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 73.8 years |
| Life expectancy at birth: | male: 71.24 years |
| Life expectancy at birth: | female: 76.62 years (2014 est.) |
| Total fertility rate: | 2.09 children born/woman (2014 est.) |
| Contraceptive prevalence rate: | 54.3% |
| Contraceptive prevalence rate: | note: percent of women aged 15-44 (1990) |
| Health expenditures: | 6.2% of GDP (2011) |
| Physicians density: | 0.66 physicians/1,000 population (2006) |
| Hospital bed density: | 3.5 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99% of population |
| Drinking water source: | rural: 95.3% of population |
| Drinking water source: | total: 96.8% of population |
| unimproved: | urban: 1% of population |
| unimproved: | rural: 4.7% of population |
| unimproved: | total: 3.2% of population (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 97.5% of population |
| Sanitation facility access: | rural: 98.3% of population |
| Sanitation facility access: | total: 98% of population |
| unimproved: | urban: 2.5% of population |
| unimproved: | rural: 1.7% of population |
| unimproved: | total: 2% of population (2012 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 22.5% (2008) |
| Education expenditures: | 3.9% of GDP (2003) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 96% |
| Literacy: | male: NA |
| Literacy: | female: NA (2003 est.) |
| School life expectancy (primary to tertiary education): | total: 16 years |
| School life expectancy (primary to tertiary education): | male: 15 years |
| School life expectancy (primary to tertiary education): | female: 16 years (2009) |
