| People and Society | Grenada |
| --- | --- |
| Nationality: | noun: Grenadian(s) |
| Nationality: | adjective: Grenadian |
| Ethnic groups: | black 82%, mixed black and European 13%, European and East Indian 5%, and trace of Arawak/Carib Amerindian |
| Languages: | English (official), French patois |
| Religions: | Roman Catholic 53%, Anglican 13.8%, other Protestant 33.2% |
| Population: | 108,419 (July 2011 est.) |
| Age structure: | 0-14 years: 25.4% (male 14,152/female 13,390) |
| Age structure: | 15-64 years: 65.7% (male 36,245/female 34,960) |
| Age structure: | 65 years and over: 8.9% (male 4,372/female 5,300) (2011 est.) |
| Median age: | total: 28.6 years |
| Median age: | male: 28.6 years |
| Median age: | female: 28.6 years (2011 est.) |
| Population growth rate: | 0.551% (2011 est.) |
| Birth rate: | 17.01 births/1,000 population (2011 est.) |
| Death rate: | 7.94 deaths/1,000 population (July 2011 est.) |
| Net migration rate: | -3.56 migrant(s)/1,000 population (2011 est.) |
| Urbanization: | urban population: 39% of total population (2010) |
| Urbanization: | rate of urbanization: 1.6% annual rate of change (2010-15 est.) |
| Major cities - population: | SAINT GEORGE'S (capital) 40,000 (2009) |
| Sex ratio: | at birth: 1.098 male(s)/female |
| Sex ratio: | under 15 years: 1.05 male(s)/female |
| Sex ratio: | 15-64 years: 1.04 male(s)/female |
| Sex ratio: | 65 years and over: 0.82 male(s)/female |
| Sex ratio: | total population: 1.02 male(s)/female (2011 est.) |
| Infant mortality rate: | total: 11.43 deaths/1,000 live births |
| Infant mortality rate: | male: 10.54 deaths/1,000 live births |
| Infant mortality rate: | female: 12.41 deaths/1,000 live births (2011 est.) |
| Life expectancy at birth: | total population: 73.04 years |
| Life expectancy at birth: | male: 70.51 years |
| Life expectancy at birth: | female: 75.82 years (2011 est.) |
| Total fertility rate: | 2.18 children born/woman (2011 est.) |
| Health expenditures: | 7.1% of GDP (2009) |
| Physicians density: | 0.9756 physicians/1,000 population (1998) |
| Hospital bed density: | 2.4 beds/1,000 population (2009) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 97% of population |
| Drinking water source: | rural: 93% of population |
| Drinking water source: | total: 94% of population |
| unimproved: | urban: 3% of population |
| unimproved: | rural: 7% of population |
| unimproved: | total: 6% of population (2000) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 96% of population |
| Sanitation facility access: | rural: 97% of population |
| Sanitation facility access: | total: 97% of population |
| unimproved: | urban: 4% of population |
| unimproved: | rural: 3% of population |
| unimproved: | total: 3% of population (2008) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Education expenditures: | 4.9% of GDP (2003) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 96% |
| Literacy: | male: NA |
| Literacy: | female: NA (2003 est.) |
| School life expectancy (primary to tertiary education): | total: 16 years |
| School life expectancy (primary to tertiary education): | male: 15 years |
| School life expectancy (primary to tertiary education): | female: 16 years (2009) |
