| People and Society | Luxembourg |
| --- | --- |
| Population: | 628,381 (July 2020 est.) |
| Nationality: | noun: Luxembourger(s) |
| Nationality: | adjective: Luxembourg |
| Ethnic groups: | Luxembourger 51.1%, Portuguese 15.7%, French 7.5%, Italian 3.6%, Belgian 3.3%, German 2.1%, Spanish 1.1%, British 1%, other 14.6% (2019 est.) |
| Ethnic groups: | note: data represent population by nationality |
| Languages: | Luxembourgish (official administrative and judicial language and national language (spoken vernacular)) 55.8%, Portuguese 15.7%, French (official administrative, judicial, and legislative language) 12.1%, German (official administrative and judicial language) 3.1%, Italian 2.9%, English 2.1%, other 8.4% (2011 est.) |
| Religions: | Christian (predominantly Roman Catholic) 70.4%, Muslim 2.3%, other (includes Buddhist, folk religions, Hindu, Jewish) 0.5%, none 26.8% (2010 est.) |
| Age structure: | 0-14 years: 16.73% (male 54,099/female 51,004) |
| Age structure: | 15-24 years: 11.78% (male 37,946/female 36,061) |
| Age structure: | 25-54 years: 43.93% (male 141,535/female 134,531) |
| Age structure: | 55-64 years: 12.19% (male 39,289/female 37,337) |
| Age structure: | 65 years and over: 15.37% (male 43,595/female 52,984) (2020 est.) |
| Dependency ratios: | total dependency ratio: 42.8 |
| Dependency ratios: | youth dependency ratio: 22.2 |
| Dependency ratios: | elderly dependency ratio: 20.5 |
| Dependency ratios: | potential support ratio: 4.9 (2020 est.) |
| Median age: | total: 39.5 years |
| Median age: | male: 38.9 years |
| Median age: | female: 40 years (2020 est.) |
| Population growth rate: | 1.8% (2020 est.) |
| Birth rate: | 11.6 births/1,000 population (2020 est.) |
| Death rate: | 7.3 deaths/1,000 population (2020 est.) |
| Net migration rate: | 13.3 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | most people live in the south, on or near the border with France |
| Urbanization: | urban population: 91.5% of total population (2020) |
| Urbanization: | rate of urbanization: 1.55% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 120,000 LUXEMBOURG (capital) (2018) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.05 male(s)/female |
| Sex ratio: | 25-54 years: 1.05 male(s)/female |
| Sex ratio: | 55-64 years: 1.05 male(s)/female |
| Sex ratio: | 65 years and over: 0.82 male(s)/female |
| Sex ratio: | total population: 1.02 male(s)/female (2020 est.) |
| Mother's mean age at first birth: | 30.7 years (2017 est.) |
| Maternal mortality rate: | 5 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 3.3 deaths/1,000 live births |
| Infant mortality rate: | male: 3.7 deaths/1,000 live births |
| Infant mortality rate: | female: 3 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 82.6 years |
| Life expectancy at birth: | male: 80.1 years |
| Life expectancy at birth: | female: 85.2 years (2020 est.) |
| Total fertility rate: | 1.62 children born/woman (2020 est.) |
| Drinking water source: | improved: urban: 100% of population |
| Drinking water source: | rural: 98.8% of population |
| Drinking water source: | total: 99% of population |
| Drinking water source: | unimproved: urban: 0% of population |
| Drinking water source: | rural: 1.2% of population |
| Drinking water source: | total: 1% of population (2017 est.) |
| Current Health Expenditure: | 5.5% (2017) |
| Physicians density: | 3.01 physicians/1,000 population (2017) |
| Hospital bed density: | 4.7 beds/1,000 population (2017) |
| Sanitation facility access: | improved: urban: 100% of population (2015 est.) |
| Sanitation facility access: | rural: 99.9% of population |
| Sanitation facility access: | total: 100% of population |
| Sanitation facility access: | unimproved: urban: 0% of population |
| Sanitation facility access: | rural: 0.1% of population |
| Sanitation facility access: | total: 0% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | 0.3% (2018 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 1,200 (2018 est.) |
| HIV/AIDS - deaths: | <100 (2018 est.) |
| Obesity - adult prevalence rate: | 22.6% (2016) |
| Education expenditures: | 3.6% of GDP (2017) |
| School life expectancy (primary to tertiary education): | total: 14 years |
| School life expectancy (primary to tertiary education): | male: 14 years |
| School life expectancy (primary to tertiary education): | female: 14 years (2018) |
| Unemployment, youth ages 15-24: | total: 14.2% |
| Unemployment, youth ages 15-24: | male: 16.3% |
| Unemployment, youth ages 15-24: | female: 11.9% (2018 est.) |
