| People and Society | Paraguay |
| --- | --- |
| Population: | 7,025,763 (July 2018 est.) |
| Nationality: | noun: Paraguayan(s) |
| Nationality: | adjective: Paraguayan |
| Ethnic groups: | mestizo (mixed Spanish and Amerindian) 95%, other 5% |
| Languages: | Spanish (official), Guarani (official) |
| Religions: | Roman Catholic 89.6%, Protestant 6.2%, other Christian 1.1%, other or unspecified 1.9%, none 1.1% (2002 census) |
| Demographic profile: | Paraguay falls below the Latin American average in several socioeconomic categories, including immunization rates, potable water, sanitation, and secondary school enrollment, and has greater rates of income inequality and child and maternal mortality. Paraguay's poverty rate has declined in recent years but remains high, especially in rural areas, with more than a third of the population below the poverty line. However, the well-being of the poor in many regions has improved in terms of housing quality and access to clean water, telephone service, and electricity. The fertility rate continues to drop, declining sharply from an average 4.3 births per woman in the late 1990s to about 2 in 2013, as a result of the greater educational attainment of women, increased use of contraception, and a desire for smaller families among young women. |
| Demographic profile: | Paraguay is a country of emigration; it has not attracted large numbers of immigrants because of political instability, civil wars, years of dictatorship, and the greater appeal of neighboring countries. Paraguay first tried to encourage immigration in 1870 in order to rebound from the heavy death toll it suffered during the War of the Triple Alliance, but it received few European and Middle Eastern immigrants. In the 20th century, limited numbers of immigrants arrived from Lebanon, Japan, South Korea, and China, as well as Mennonites from Canada, Russia, and Mexico. Large flows of Brazilian immigrants have been arriving since the 1960s, mainly to work in agriculture. Paraguayans continue to emigrate to Argentina, Brazil, Uruguay, the United States, Italy, Spain, and France. |
| Age structure: | 0-14 years: 24.13% (male 862,803 /female 832,325) |
| Age structure: | 15-24 years: 18.8% (male 664,086 /female 656,947) |
| Age structure: | 25-54 years: 41.59% (male 1,461,657 /female 1,460,565) |
| Age structure: | 55-64 years: 8.13% (male 290,719 /female 280,328) |
| Age structure: | 65 years and over: 7.35% (male 242,783 /female 273,550) (2018 est.) |
| Dependency ratios: | total dependency ratio: 56.6 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 47.2 (2015 est.) |
