| People and Society | Tuvalu |
| --- | --- |
| Population: | 11,342 (July 2020 est.) |
| Nationality: | noun: Tuvaluan(s) |
| Nationality: | adjective: Tuvaluan |
| Ethnic groups: | Tuvaluan 86.8%, Tuvaluan/I-Kiribati 5.6%, Tuvaluan/other 6.7%, other 0.9% (2012 est.) |
| Languages: | Tuvaluan (official), English (official), Samoan, Kiribati (on the island of Nui) |
| Religions: | Protestant 92.4% (Congregational Christian Church of Tuvalu 85.7%, Brethren 3%, Seventh Day Adventist 2.8%, Assemblies of God .9%), Baha'i 2%, Jehovah's Witness 1.3%, Mormon 1%, other 3.1%, none 0.2% (2012 est.) |
| Age structure: | 0-14 years: 29.42% (male 1,711/female 1,626) |
| Age structure: | 15-24 years: 17.61% (male 1,031/female 966) |
| Age structure: | 25-54 years: 37.17% (male 2,157/female 2,059) |
| Age structure: | 55-64 years: 9.12% (male 427/female 607) |
| Age structure: | 65 years and over: 6.68% (male 289/female 469) (2020 est.) |
| Median age: | total: 26.6 years |
| Median age: | male: 25.6 years |
| Median age: | female: 27.6 years (2020 est.) |
| Population growth rate: | 0.87% (2020 est.) |
| Birth rate: | 23.4 births/1,000 population (2020 est.) |
| Death rate: | 8.2 deaths/1,000 population (2020 est.) |
| Net migration rate: | -6.5 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | over half of the population resides on the atoll of Funafuti |
| Urbanization: | urban population: 64% of total population (2020) |
| Urbanization: | rate of urbanization: 2.27% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 7,000 FUNAFUTI (capital) (2018) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.07 male(s)/female |
| Sex ratio: | 25-54 years: 1.05 male(s)/female |
| Sex ratio: | 55-64 years: 0.7 male(s)/female |
| Sex ratio: | 65 years and over: 0.62 male(s)/female |
| Sex ratio: | total population: 0.98 male(s)/female (2020 est.) |
| Infant mortality rate: | total: 26.6 deaths/1,000 live births |
| Infant mortality rate: | male: 28.8 deaths/1,000 live births |
| Infant mortality rate: | female: 24.2 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 67.9 years |
| Life expectancy at birth: | male: 65.6 years |
| Life expectancy at birth: | female: 70.2 years (2020 est.) |
| Total fertility rate: | 2.88 children born/woman (2020 est.) |
| Drinking water source: | improved: urban: 100% of population |
| Drinking water source: | rural: 98.8% of population |
| Drinking water source: | total: 99% of population |
| Drinking water source: | unimproved: urban: 0% of population |
| Drinking water source: | rural: 1.2% of population |
| Drinking water source: | total: 1% of population (2017 est.) |
| Current Health Expenditure: | 17.1% (2017) |
| Physicians density: | 0.91 physicians/1,000 population (2014) |
| Sanitation facility access: | improved: urban: 91.8% of population |
| Sanitation facility access: | rural: 91% of population |
| Sanitation facility access: | total: 91.5% of population |
| Sanitation facility access: | unimproved: urban: 9.2% of population |
| Sanitation facility access: | rural: 9% of population |
| Sanitation facility access: | total: 8.5% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 51.6% (2016) |
| Education expenditures: | NA |
| Unemployment, youth ages 15-24: | total: 20.6% |
| Unemployment, youth ages 15-24: | male: 9.8% |
| Unemployment, youth ages 15-24: | female: 45.9% (2016) |
