| People and Society | Andorra |
| --- | --- |
| Population: | 85,708 (July 2018 est.) |
| Nationality: | noun: Andorran(s) |
| Nationality: | adjective: Andorran |
| Ethnic groups: | Andorran 48.8%, Spanish 25.1%, Portuguese 12%, French 4.4%, other 9.7% (2017 est.) |
| Ethnic groups: | note: data represent population by nationality |
| Languages: | Catalan (official), French, Castilian, Portuguese |
| Religions: | Roman Catholic (predominant) |
| Age structure: | 0-14 years: 14.06% (male 6,197 /female 5,856) |
| Age structure: | 15-24 years: 9.78% (male 4,344 /female 4,035) |
| Age structure: | 25-54 years: 45.27% (male 19,813 /female 18,990) |
| Age structure: | 55-64 years: 14.71% (male 6,674 /female 5,935) |
| Age structure: | 65 years and over: 16.18% (male 7,047 /female 6,817) (2018 est.) |
| Median age: | total: 44.9 years (2018 est.) |
| Median age: | male: 45.1 years |
| Median age: | female: 44.8 years |
| Population growth rate: | -0.01% (2018 est.) |
| Birth rate: | 7.3 births/1,000 population (2018 est.) |
| Death rate: | 7.4 deaths/1,000 population (2018 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2018 est.) |
| Population distribution: | population is unevenly distributed and is concentrated in the seven urbanized valleys that make up the country's parishes (political administrative divisions) |
| Urbanization: | urban population: 88% of total population (2019) |
| Urbanization: | rate of urbanization: -0.31% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 23,000 ANDORRA LA VELLA (capital) (2018) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.08 male(s)/female |
| Sex ratio: | 25-54 years: 1.04 male(s)/female |
| Sex ratio: | 55-64 years: 1.12 male(s)/female |
| Sex ratio: | 65 years and over: 1.03 male(s)/female |
| Sex ratio: | total population: 1.06 male(s)/female (2018 est.) |
| Infant mortality rate: | total: 3.6 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 3.6 deaths/1,000 live births |
| Infant mortality rate: | female: 3.5 deaths/1,000 live births |
| Life expectancy at birth: | total population: 82.9 years (2018 est.) |
| Life expectancy at birth: | male: 80.7 years |
| Life expectancy at birth: | female: 85.3 years |
| Total fertility rate: | 1.41 children born/woman (2018 est.) |
| Drinking water source: | improved: urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| Drinking water source: | unimproved: urban: 0% of population |
| Drinking water source: | rural: 0% of population |
| Drinking water source: | total: 0% of population (2015 est.) |
| Current Health Expenditure: | 10.4% (2016) |
| Physicians density: | 3.33 physicians/1,000 population (2015) |
| Hospital bed density: | 2.5 beds/1,000 population (2009) |
| Sanitation facility access: | improved: urban: 100% of population (2015 est.) |
| Sanitation facility access: | rural: 100% of population (2015 est.) |
| Sanitation facility access: | total: 100% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 0% of population (2015 est.) |
| Sanitation facility access: | rural: 0% of population (2015 est.) |
| Sanitation facility access: | total: 0% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 25.6% (2016) |
| Education expenditures: | 3.2% of GDP (2017) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 100% |
| Literacy: | male: 100% |
| Literacy: | female: 100% (2016) |
