| People and Society | Andorra |
| --- | --- |
| Nationality: | noun: Andorran(s) |
| Nationality: | adjective: Andorran |
| Ethnic groups: | Spanish 43%, Andorran 33%, Portuguese 11%, French 7%, other 6% (1998) |
| Languages: | Catalan (official), French, Castilian, Portuguese |
| Religions: | Roman Catholic (predominant) |
| Population: | 85,458 (July 2014 est.) |
| Age structure: | 0-14 years: 15.3% (male 6,708/female 6,379) |
| Age structure: | 15-24 years: 9.2% (male 4,078/female 3,766) |
| Age structure: | 25-54 years: 48.7% (male 21,395/female 20,231) |
| Age structure: | 55-64 years: 12.5% (male 5,756/female 4,957) |
| Age structure: | 65 years and over: 14.3% (male 6,145/female 6,043) (2014 est.) |
| population pyramid: | Median age: |
| population pyramid: | total: 42.4 years |
| population pyramid: | male: 42.6 years |
| population pyramid: | female: 42.2 years (2014 est.) |
| Population growth rate: | 0.17% (2014 est.) |
| Birth rate: | 8.48 births/1,000 population (2014 est.) |
| Death rate: | 6.82 deaths/1,000 population (2014 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2014 est.) |
| Urbanization: | urban population: 87.3% of total population (2011) |
| Urbanization: | rate of urbanization: 0.93% annual rate of change (2010-15 est.) |
| Major urban areas - population: | ANDORRA LA VELLA (capital) 23,000 (2011) |
| Sex ratio: | at birth: 1.07 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.08 male(s)/female |
| Sex ratio: | 25-54 years: 1.06 male(s)/female |
| Sex ratio: | 55-64 years: 1.07 male(s)/female |
| Sex ratio: | 65 years and over: 1 male(s)/female |
| Sex ratio: | total population: 1.07 male(s)/female (2014 est.) |
| Infant mortality rate: | total: 3.69 deaths/1,000 live births |
| Infant mortality rate: | male: 3.68 deaths/1,000 live births |
| Infant mortality rate: | female: 3.7 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 82.65 years |
| Life expectancy at birth: | male: 80.51 years |
| Life expectancy at birth: | female: 84.92 years (2014 est.) |
| Total fertility rate: | 1.38 children born/woman (2014 est.) |
| Health expenditures: | 7.2% of GDP (2011) |
| Physicians density: | 3.91 physicians/1,000 population (2009) |
| Hospital bed density: | 2.5 beds/1,000 population (2009) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 100% of population |
| Sanitation facility access: | rural: 100% of population |
| Sanitation facility access: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2012 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 25.2% (2008) |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 100% |
| Literacy: | male: 100% |
| Literacy: | female: 100% |
