| People and Society | COTE D'IVOIRE |
| --- | --- |
| Population: | 23,740,424 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2016 est.) |
| Nationality: | noun: Ivoirian(s) |
| Nationality: | adjective: Ivoirian |
| Ethnic groups: | Akan 32.1%, Voltaique or Gur 15%, Northern Mande 12.4%, Krou 9.8%, Southern Mande 9%, other 21.2% (includes European and Lebanese descent), unspecified 0.5% (2011-12 est.) |
| Languages: | French (official), 60 native dialects of which Dioula is the most widely spoken |
| Religions: | Muslim 40.2%, Catholic 19.4%, Evangelical 19.3%, Methodist 2.5%, other Christian 4.5%, animist or no religion 12.8%, other religion/unspecified 1.4% (2011-12 est.) |
| Religions: | note: the majority of foreign migrant workers are Muslim (72%) and Christian (18%) (2014 est.) |
| Demographic profile: | Cote d’Ivoire’s population is likely to continue growing for the foreseeable future because almost 60% of the populace is younger than 25, the total fertility rate is holding steady at about 3.5 children per woman, and contraceptive use is under 20%. The country will need to improve education, health care, and gender equality in order to turn its large and growing youth cohort into human capital. Even prior to 2010 unrest that shuttered schools for months, access to education was poor, especially for women. As of 2015, only 53% of men and 33% of women were literate. The lack of educational attainment contributes to Cote d’Ivoire’s high rates of unskilled labor, adolescent pregnancy, and HIV/AIDS prevalence. |
| Demographic profile: | Following its independence in 1960, Cote d’Ivoire’s stability and the blossoming of its labor-intensive cocoa and coffee industries in the southwest made it an attractive destination for migrants from other parts of the country and its neighbors, particularly Burkina Faso. The HOUPHOUET-BOIGNY administration continued the French colonial policy of encouraging labor immigration by offering liberal land ownership laws. Foreigners from West Africa, Europe (mainly France), and Lebanon composed about 25% of the population by 1998. |
| Demographic profile: | Ongoing economic decline since the 1980s and the power struggle after HOUPHOUET-BOIGNY’s death in 1993 ushered in the politics of “Ivoirite,” institutionalizing an Ivoirian identity that further marginalized northern Ivoirians and scapegoated immigrants. The hostile Muslim north-Christian south divide snowballed into a 2002 civil war, pushing tens of thousands of foreign migrants, Liberian refugees, and Ivoirians to flee to war-torn Liberia or other regional countries and more than a million people to be internally displaced. Subsequently, violence following the contested 2010 presidential election prompted some 250,000 people to seek refuge in Liberia and other neighboring countries and again internally displaced as many as a million people. By July 2012, the majority had returned home, but ongoing inter-communal tension and armed conflict continue to force people from their homes. |
| Age structure: | 0-14 years: 37.45% (male 4,483,215/female 4,407,595) |
| Age structure: | 15-24 years: 20.93% (male 2,504,188/female 2,463,970) |
| Age structure: | 25-54 years: 34.05% (male 4,133,975/female 3,950,734) |
| Age structure: | 55-64 years: 4.15% (male 493,722/female 491,230) |
| Age structure: | 65 years and over: 3.42% (male 389,551/female 422,244) (2016 est.) |
| Dependency ratios: | total dependency ratio: 83.5% |
| Dependency ratios: | youth dependency ratio: 77.9% |
| Dependency ratios: | elderly dependency ratio: 5.6% |
| Dependency ratios: | potential support ratio: 18% (2015 est.) |
| Median age: | total: 20.7 years |
| Median age: | male: 20.8 years |
| Median age: | female: 20.6 years (2016 est.) |
| Population growth rate: | 1.88% (2016 est.) |
| Birth rate: | 28.2 births/1,000 population (2016 est.) |
| Death rate: | 9.5 deaths/1,000 population (2016 est.) |
