| People and Society | Cote d'Ivoire |
| --- | --- |
| Population: | 26,260,582 (July 2018 est.) |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected |
| Nationality: | noun: Ivoirian(s) |
| Nationality: | adjective: Ivoirian |
| Ethnic groups: | Akan 28.9%, Voltaique or Gur 16.1%, Northern Mande 14.5%, Kru 8.5%, Southern Mande 6.9%, unspecified 0.9%, non-Ivoirian 24.2% (2014 est.) |
| Languages: | French (official), 60 native dialects of which Dioula is the most widely spoken |
| Religions: | Muslim 42.9%, Catholic 17.2%, Evangelical 11.8%, Methodist 1.7%, other Christian 3.2%, animist 3.6%, other religion 0.5%, none 19.1% (2014 est.) |
| Religions: | note: the majority of foreign migrant workers are Muslim (72.7%) and Christian (17.7%) |
| Demographic profile: | Cote dâ€™Ivoireâ€™s population is likely to continue growing for the foreseeable future because almost 60% of the populace is younger than 25, the total fertility rate is holding steady at about 3.5 children per woman, and contraceptive use is under 20%. The country will need to improve education, health care, and gender equality in order to turn its large and growing youth cohort into human capital. Even prior to 2010 unrest that shuttered schools for months, access to education was poor, especially for women. As of 2015, only 53% of men and 33% of women were literate. The lack of educational attainment contributes to Cote dâ€™Ivoireâ€™s high rates of unskilled labor, adolescent pregnancy, and HIV/AIDS prevalence. |
| Demographic profile: | Following its independence in 1960, Cote dâ€™Ivoireâ€™s stability and the blossoming of its labor-intensive cocoa and coffee industries in the southwest made it an attractive destination for migrants from other parts of the country and its neighbors, particularly Burkina Faso. The HOUPHOUET-BOIGNY administration continued the French colonial policy of encouraging labor immigration by offering liberal land ownership laws. Foreigners from West Africa, Europe (mainly France), and Lebanon composed about 25% of the population by 1998. |
| Demographic profile: | Ongoing economic decline since the 1980s and the power struggle after HOUPHOUET-BOIGNYâ€™s death in 1993 ushered in the politics of "Ivoirite," institutionalizing an Ivoirian identity that further marginalized northern Ivoirians and scapegoated immigrants. The hostile Muslim north-Christian south divide snowballed into a 2002 civil war, pushing tens of thousands of foreign migrants, Liberian refugees, and Ivoirians to flee to war-torn Liberia or other regional countries and more than a million people to be internally displaced. Subsequently, violence following the contested 2010 presidential election prompted some 250,000 people to seek refuge in Liberia and other neighboring countries and again internally displaced as many as a million people. By July 2012, the majority had returned home, but ongoing inter-communal tension and armed conflict continue to force people from their homes. |
| Age structure: | 0-14 years: 39.59% (male 5,213,630 /female 5,182,872) |
| Age structure: | 15-24 years: 19.91% (male 2,613,772 /female 2,615,680) |
| Age structure: | 25-54 years: 34.25% (male 4,577,394 /female 4,416,408) |
| Age structure: | 55-64 years: 3.47% (male 460,048 /female 451,604) |
| Age structure: | 65 years and over: 2.78% (male 325,510 /female 403,664) (2018 est.) |
| Dependency ratios: | total dependency ratio: 83.8 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 78.5 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 5.3 (2015 est.) |
| Dependency ratios: | potential support ratio: 18.9 (2015 est.) |
| Median age: | total: 19.9 years (2018 est.) |
| Median age: | male: 20 years |
| Median age: | female: 19.8 years |
| Population growth rate: | 2.3% (2018 est.) |
| Birth rate: | 30.1 births/1,000 population (2018 est.) |
| Death rate: | 8.4 deaths/1,000 population (2018 est.) |
| Net migration rate: | 1.3 migrant(s)/1,000 population (2018 est.) |
| Population distribution: | the population is primarily located in the forested south, with the highest concentration of people residing in and around the cities on the Atlantic coast; most of the northern savanna remains sparsely populated with higher concentrations located along transportation corridors |
| Urbanization: | urban population: 51.2% of total population (2019) |
| Urbanization: | rate of urbanization: 3.38% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 231,000 YAMOUSSOUKRO (capital) (2018), 5.059 million ABIDJAN (seat of government) (2019) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.01 male(s)/female |
| Sex ratio: | 15-24 years: 1 male(s)/female |
| Sex ratio: | 25-54 years: 1.04 male(s)/female |
| Sex ratio: | 55-64 years: 1.02 male(s)/female |
| Sex ratio: | 65 years and over: 0.81 male(s)/female |
| Sex ratio: | total population: 1.01 male(s)/female (2018 est.) |
| Mother's mean age at first birth: | 19.8 years (2011/12 est.) |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 |
| Maternal mortality rate: | 617 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 62.6 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 70.6 deaths/1,000 live births |
| Infant mortality rate: | female: 54.4 deaths/1,000 live births |
| Life expectancy at birth: | total population: 60.1 years (2018 est.) |
| Life expectancy at birth: | male: 58 years |
| Life expectancy at birth: | female: 62.4 years |
| Total fertility rate: | 3.83 children born/woman (2018 est.) |
| Contraceptive prevalence rate: | 23.3% (2018) |
| Drinking water source: | improved: urban: 93.1% of population |
| Drinking water source: | rural: 68.8% of population |
| Drinking water source: | total: 81.9% of population |
| Drinking water source: | unimproved: urban: 6.9% of population |
| Drinking water source: | rural: 31.2% of population |
| Drinking water source: | total: 18.1% of population (2015 est.) |
| Current Health Expenditure: | 4.4% (2016) |
| Physicians density: | 0.23 physicians/1,000 population (2014) |
| Sanitation facility access: | improved: urban: 32.8% of population (2015 est.) |
| Sanitation facility access: | rural: 10.3% of population (2015 est.) |
| Sanitation facility access: | total: 22.5% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 67.2% of population (2015 est.) |
| Sanitation facility access: | rural: 89.7% of population (2015 est.) |
| Sanitation facility access: | total: 77.5% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 2.6% (2018 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 460,000 (2018 est.) |
