| People | Cote d'Ivoire |
| --- | --- |
| Population: | 18,013,409 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality and death rates, lower population and growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2007 est.) |
| Age structure: | 0-14 years: 40.6% (male 3,603,386/female 3,711,211) |
| Age structure: | 15-64 years: 56.6% (male 5,128,824/female 5,060,027) |
| Age structure: | 65 years and over: 2.8% (male 246,130/female 263,831) (2007 est.) |
| Median age: | total: 19.3 years |
| Median age: | male: 19.5 years |
| Median age: | female: 19 years (2007 est.) |
| Population growth rate: | 1.995% (2007 est.) |
| Birth rate: | 34.69 births/1,000 population (2007 est.) |
| Death rate: | 14.74 deaths/1,000 population (2007 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2007 est.) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | under 15 years: 0.971 male(s)/female |
| Sex ratio: | 15-64 years: 1.014 male(s)/female |
| Sex ratio: | 65 years and over: 0.933 male(s)/female |
| Sex ratio: | total population: 0.994 male(s)/female (2007 est.) |
| Infant mortality rate: | total: 87.41 deaths/1,000 live births |
| Infant mortality rate: | male: 103.84 deaths/1,000 live births |
| Infant mortality rate: | female: 70.48 deaths/1,000 live births (2007 est.) |
| Life expectancy at birth: | total population: 49 years |
| Life expectancy at birth: | male: 46.43 years |
| Life expectancy at birth: | female: 51.66 years (2007 est.) |
| Total fertility rate: | 4.43 children born/woman (2007 est.) |
| HIV/AIDS - adult prevalence rate: | 7% (2003 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 570,000 (2003 est.) |
| HIV/AIDS - deaths: | 47,000 (2003 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria, yellow fever, and others are high risks in some locations |
| Major infectious diseases: | water contact: schistosomiasis |
| Major infectious diseases: | note: highly pathogenic H5N1 avian influenza has been identified among birds in this country or surrounding region; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds (2007) |
| Nationality: | noun: Ivoirian(s) |
| Nationality: | adjective: Ivoirian |
| Ethnic groups: | Akan 42.1%, Voltaiques or Gur 17.6%, Northern Mandes 16.5%, Krous 11%, Southern Mandes 10%, other 2.8% (includes 130,000 Lebanese and 14,000 French) (1998) |
| Religions: | Muslim 35-40%, indigenous 25-40%, Christian 20-30% (2001) |
| Religions: | note: the majority of foreigners (migratory workers) are Muslim (70%) and Christian (20%) |
| Languages: | French (official), 60 native dialects with Dioula the most widely spoken |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 50.9% |
| Literacy: | male: 57.9% |
| Literacy: | female: 43.6% (2003 est.) |
