| People and Society | Northern Mariana Islands |
| --- | --- |
| Population: | 51,994 (July 2018 est.) |
| Nationality: | noun: NA (US citizens) |
| Nationality: | adjective: NA |
| Ethnic groups: | Asian 50% (includes Filipino 35.3%, Chinese 6.8%, Korean 4.2%, and other Asian 3.7%), Native Hawaiian or other Pacific Islander 34.9% (includes Chamorro 23.9%, Carolinian 4.6%, and other Native Hawaiian or Pacific Islander 6.4%), other 2.5%, two or more ethnicities or races 12.7% (2010 est.) |
| Languages: | Philippine languages 32.8%, Chamorro (official) 24.1%, English (official) 17%, other Pacific island languages 10.1%, Chinese 6.8%, other Asian languages 7.3%, other 1.9% (2010 est.) |
| Religions: | Christian (Roman Catholic majority, although traditional beliefs and taboos may still be found) |
| Age structure: | 0-14 years: 26.17% (male 7,355 /female 6,252) |
| Age structure: | 15-24 years: 15.71% (male 4,365 /female 3,804) |
| Age structure: | 25-54 years: 39.14% (male 10,545 /female 9,805) |
| Age structure: | 55-64 years: 13% (male 3,701 /female 3,057) |
| Age structure: | 65 years and over: 5.98% (male 1,672 /female 1,438) (2018 est.) |
| Median age: | total: 33.4 years |
| Median age: | male: 32.4 years |
| Median age: | female: 34.3 years (2018 est.) |
| Population growth rate: | -0.52% (2018 est.) |
| Birth rate: | 14.9 births/1,000 population (2018 est.) |
| Death rate: | 4.9 deaths/1,000 population (2018 est.) |
| Net migration rate: | -15.2 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | approximately 90% of the population lives on the island of Saipan |
| Urbanization: | urban population: 91.6% of total population (2018) |
| Urbanization: | rate of urbanization: 0.29% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 51,000 SAIPAN (capital) (2018) |
| Sex ratio: | at birth: 1.16 male(s)/female (2017 est.) |
| Sex ratio: | 0-14 years: 1.06 male(s)/female (2017 est.) |
| Sex ratio: | 15-24 years: 1.28 male(s)/female (2017 est.) |
| Sex ratio: | 25-54 years: 0.73 male(s)/female (2017 est.) |
| Sex ratio: | 55-64 years: 1.14 male(s)/female (2017 est.) |
| Sex ratio: | 65 years and over: 0.92 male(s)/female (2017 est.) |
| Sex ratio: | total population: 0.93 male(s)/female (2017 est.) |
| Infant mortality rate: | total: 12.3 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 14.6 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | female: 9.6 deaths/1,000 live births (2018 est.) |
| Life expectancy at birth: | total population: 75.6 years (2018 est.) |
| Life expectancy at birth: | male: 73.6 years (2018 est.) |
| Life expectancy at birth: | female: 78.1 years (2018 est.) |
| Total fertility rate: | 2.76 children born/woman (2018 est.) |
| Physicians density: | 0.36 physicians/1,000 population (2008) |
| Drinking water source: | improved: urban: 97.5% of population |
| Drinking water source: | rural: 97.5% of population |
| Drinking water source: | total: 97.5% of population |
| Drinking water source: | unimproved: urban: 2.5% of population |
| Drinking water source: | rural: 2.5% of population |
| Drinking water source: | total: 2.5% of population (2015 est.) |
| Sanitation facility access: | improved: urban: 79.7% of population (2015 est.) |
| Sanitation facility access: | rural: 79.7% of population (2015 est.) |
| Sanitation facility access: | total: 79.7% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 20.3% of population (2015 est.) |
| Sanitation facility access: | rural: 20.3% of population (2015 est.) |
| Sanitation facility access: | total: 20.3% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
