| People and Society | NORTHERN MARIANA ISLANDS |
| --- | --- |
| Nationality: | noun: NA (US citizens) |
| Nationality: | adjective: NA |
| Ethnic groups: | Asian 50% (includes Filipino 35.3%, Chinese 6.8%, Korean 4.2%, and other Asian 3.7%), Native Hawaiian or other Pacific Islander 34.9% (includes Chamorro 23.9%, Carolinian 4.6%, and other Native Hawaiian or Pacific Islander 6.4%), other 2.5%, two or more ethnicities or races 12.7% (2010 est.) |
| Languages: | Philippine languages 32.8%, Chamorro (official) 24.1%, English (official) 17%, other Pacific island languages 10.1%, Chinese 6.8%, other Asian languages 7.3%, other 1.9% (2010 est.) |
| Religions: | Christian (Roman Catholic majority, although traditional beliefs and taboos may still be found) |
| Population: | 52,344 (July 2015 est.) |
| Age structure: | 0-14 years: 25.6% (male 6,917/female 6,483) |
| Age structure: | 15-24 years: 14.39% (male 4,216/female 3,317) |
| Age structure: | 25-54 years: 44.3% (male 9,802/female 13,385) |
| Age structure: | 55-64 years: 10.76% (male 3,031/female 2,602) |
| Age structure: | 65 years and over: 4.95% (male 1,240/female 1,351) (2015 est.) |
| population pyramid: | Median age: |
| population pyramid: | total: 32.1 years |
| population pyramid: | male: 29.6 years |
| population pyramid: | female: 33 years (2015 est.) |
| Population growth rate: | 2.18% (2015 est.) |
| Birth rate: | 18.32 births/1,000 population (2015 est.) |
| Death rate: | 3.71 deaths/1,000 population (2015 est.) |
| Net migration rate: | 7.16 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 89.2% of total population (2015) |
| Urbanization: | rate of urbanization: 0.39% annual rate of change (2010-15 est.) |
| Major urban areas - population: | SAIPAN (capital) 49,000 (2014) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.07 male(s)/female |
| Sex ratio: | 15-24 years: 1.27 male(s)/female |
| Sex ratio: | 25-54 years: 0.73 male(s)/female |
| Sex ratio: | 55-64 years: 1.17 male(s)/female |
| Sex ratio: | 65 years and over: 0.92 male(s)/female |
| Sex ratio: | total population: 0.93 male(s)/female (2015 est.) |
| Infant mortality rate: | total: 5.4 deaths/1,000 live births |
| Infant mortality rate: | male: 5.78 deaths/1,000 live births |
| Infant mortality rate: | female: 5 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 77.82 years |
| Life expectancy at birth: | male: 75.15 years |
| Life expectancy at birth: | female: 80.65 years (2015 est.) |
| Total fertility rate: | 1.98 children born/woman (2015 est.) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 97.5% of population |
| Drinking water source: | rural: 97.5% of population |
| Drinking water source: | total: 97.5% of population |
| unimproved: | urban: 2.5% of population |
| unimproved: | rural: 2.5% of population |
| unimproved: | total: 2.5% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 79.7% of population |
| Sanitation facility access: | rural: 79.7% of population |
| Sanitation facility access: | total: 79.7% of population |
| unimproved: | urban: 20.3% of population |
| unimproved: | rural: 20.3% of population |
| unimproved: | total: 20.3% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
