| People and Society | Mauritania |
| --- | --- |
| Nationality: | noun: Mauritanian(s) |
| Nationality: | adjective: Mauritanian |
| Ethnic groups: | mixed Moor/black 40%, Moor 30%, black 30% |
| Languages: | Arabic (official and national), Pulaar, Soninke, Wolof (all national languages), French, Hassaniya |
| Religions: | Muslim (official) 100% |
| Population: | 3,437,610 (July 2013 est.) |
| Age structure: | 0-14 years: 39.8% (male 686,596/female 681,224) |
| Age structure: | 15-24 years: 20% (male 335,998/female 351,367) |
| Age structure: | 25-54 years: 32.2% (male 512,045/female 595,195) |
| Age structure: | 55-64 years: 4.5% (male 68,960/female 84,303) |
| Age structure: | 65 years and over: 3.5% (male 51,736/female 70,186) (2013 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 76.3 % |
| population pyramid: | youth dependency ratio: 70.7 % |
| population pyramid: | elderly dependency ratio: 5.6 % |
| population pyramid: | potential support ratio: 17.9 (2013) |
| Median age: | total: 19.8 years |
| Median age: | male: 18.8 years |
| Median age: | female: 20.7 years (2013 est.) |
| Population growth rate: | 2.29% (2013 est.) |
| Birth rate: | 32.31 births/1,000 population (2013 est.) |
| Death rate: | 8.5 deaths/1,000 population (2013 est.) |
| Net migration rate: | -0.87 migrant(s)/1,000 population (2013 est.) |
| Urbanization: | urban population: 41.5% of total population (2011) |
| Urbanization: | rate of urbanization: 2.91% annual rate of change (2010-15 est.) |
| Major urban areas - population: | NOUAKCHOTT (capital) 709,000 (2009) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.01 male(s)/female |
| Sex ratio: | 15-24 years: 0.96 male(s)/female |
| Sex ratio: | 25-54 years: 0.86 male(s)/female |
| Sex ratio: | 55-64 years: 0.82 male(s)/female |
| Sex ratio: | 65 years and over: 0.74 male(s)/female |
| Sex ratio: | total population: 0.93 male(s)/female (2013 est.) |
| Mother's mean age at first birth: | 21.9 (2001 est.) |
| Maternal mortality rate: | 510 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 57.48 deaths/1,000 live births |
| Infant mortality rate: | male: 62.51 deaths/1,000 live births |
| Infant mortality rate: | female: 52.3 deaths/1,000 live births (2013 est.) |
| Life expectancy at birth: | total population: 61.91 years |
| Life expectancy at birth: | male: 59.65 years |
| Life expectancy at birth: | female: 64.23 years (2013 est.) |
| Total fertility rate: | 4.15 children born/woman (2013 est.) |
| Contraceptive prevalence rate: | 9.3% (2007) |
| Health expenditures: | 5.4% of GDP (2011) |
| Physicians density: | 0.13 physicians/1,000 population (2009) |
| Hospital bed density: | 0.4 beds/1,000 population (2006) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 52% of population |
| Drinking water source: | rural: 48% of population |
| Drinking water source: | total: 50% of population |
| unimproved: | urban: 48% of population |
| unimproved: | rural: 52% of population |
| unimproved: | total: 50% of population (2010 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 51% of population |
| Sanitation facility access: | rural: 9% of population |
| Sanitation facility access: | total: 26% of population |
| unimproved: | urban: 49% of population |
| unimproved: | rural: 91% of population |
| unimproved: | total: 74% of population (2010 est.) |
| HIV/AIDS - adult prevalence rate: | 0.7% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 14,000 (2009 est.) |
| HIV/AIDS - deaths: | fewer than 1,000 (2009 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria and dengue fever |
| Major infectious diseases: | respiratory disease: meningococcal meningitis |
| Major infectious diseases: | animal contact disease: rabies (2013) |
| Obesity - adult prevalence rate: | 12.7% (2008) |
| Children under the age of 5 years underweight: | 15.9% (2008) |
| Education expenditures: | 3.9% of GDP (2011) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 58.6% |
| Literacy: | male: 65.3% |
| Literacy: | female: 52% (2011 est.) |
| School life expectancy (primary to tertiary education): | total: 8 years |
| School life expectancy (primary to tertiary education): | male: 8 years |
| School life expectancy (primary to tertiary education): | female: 8 years (2011) |
| Child labor - children ages 5-14: | total number: 127,251 |
| Child labor - children ages 5-14: | percentage: 16 % (2007 est.) |
