| People and Society | Mauritania |
| --- | --- |
| Population: | 4,005,475 (July 2020 est.) |
| Nationality: | noun: Mauritanian(s) |
| Nationality: | adjective: Mauritanian |
| Ethnic groups: | Black Moors (Haratines - Arab-speaking slaves, former slaves, and their descendants of African origin, enslaved by white Moors) 40%, White Moors (of Arab-Berber descent, known as Beydane) 30%, Sub-Saharan Mauritanians (non-Arabic speaking, largely resident in or originating from the Senegal River Valley, including Halpulaar, Fulani, Soninke, Wolof, and Bambara ethnic groups) 30% |
| Languages: | Arabic (official and national), Pular, Soninke, Wolof (all national languages), French |
| Languages: | note: the spoken Arabic in Mauritania differs considerably from the modern standard Arabic used for official written purposes or in the media; the Mauritanian dialect, which incorporates many Berber words, is referred to as Hassaniya |
| Religions: | Muslim (official) 100% |
| Demographic profile: | With a sustained total fertility rate of about 4 children per woman and almost 60% of the population under the age of 25, Mauritania's population is likely to continue growing for the foreseeable future. Mauritania's large youth cohort is vital to its development prospects, but available schooling does not adequately prepare students for the workplace. Girls continue to be underrepresented in the classroom, educational quality remains poor, and the dropout rate is high. The literacy rate is only about 50%, even though access to primary education has improved since the mid-2000s. Women's restricted access to education and discriminatory laws maintain gender inequality - worsened by early and forced marriages and female genital cutting. |
| Demographic profile: | The denial of education to black Moors also helps to perpetuate slavery. Although Mauritania abolished slavery in 1981 (the last country in the world to do so) and made it a criminal offense in 2007, the millenniums-old practice persists largely because anti-slavery laws are rarely enforced and the custom is so ingrained.Â  According to a 2018 nongovernmental organization's report, a little more than 2% of Mauritania's population is enslaved, which includes individuals sujbected to forced labor and forced marriage, although many thousands of individuals who are legally free contend with discrimination, poor education, and a lack of identity papers and, therefore, live in de facto slavery.Â  The UN and international press outlets have claimed that up to 20% of Mauritania's population is enslaved, which would be the highest rate worldwide. |
| Demographic profile: | Drought, poverty, and unemployment have driven outmigration from Mauritania since the 1970s. Early flows were directed toward other West African countries, including Senegal, Mali, Cote d'Ivoire, and Gambia. The 1989 Mauritania-Senegal conflict forced thousands of black Mauritanians to take refuge in Senegal and pushed labor migrants toward the Gulf, Libya, and Europe in the late 1980s and early 1990s. Mauritania has accepted migrants from neighboring countries to fill labor shortages since its independence in 1960 and more recently has received refugees escaping civil wars, including tens of thousands of Tuaregs who fled Mali in 2012. |
| Demographic profile: | Mauritania was an important transit point for Sub-Saharan migrants moving illegally to North Africa and Europe. In the mid-2000s, as border patrols increased in the Strait of Gibraltar, security increased around Spain's North African enclaves (Ceuta and Melilla), and Moroccan border controls intensified, illegal migration flows shifted from the Western Mediterranean to Spain's Canary Islands. In 2006, departure points moved southward along the West African coast from Morocco and Western Sahara to Mauritania's two key ports (Nouadhibou and the capital Nouakchott), and illegal migration to the Canaries peaked at almost 32,000. The numbers fell dramatically in the following years because of joint patrolling off the West African coast by Frontex (the EU's border protection agency), Spain, Mauritania, and Senegal; the expansion of Spain's border surveillance system; and the 2008 European economic downturn. |
| Age structure: | 0-14 years: 37.56% (male 755,788/female 748,671) |
| Age structure: | 15-24 years: 19.71% (male 387,140/female 402,462) |
| Age structure: | 25-54 years: 33.91% (male 630,693/female 727,518) |
| Age structure: | 55-64 years: 4.9% (male 88,888/female 107,201) |
| Age structure: | 65 years and over: 3.92% (male 66,407/female 90,707) (2020 est.) |
| Dependency ratios: | total dependency ratio: 75 |
| Dependency ratios: | youth dependency ratio: 69.5 |
| Dependency ratios: | elderly dependency ratio: 5.6 |
| Dependency ratios: | potential support ratio: 18 (2020 est.) |
| Median age: | total: 21 years |
| Median age: | male: 20.1 years |
