| People and Society | Barbados |
| --- | --- |
| Nationality: | noun: Barbadian(s) or Bajan (colloquial) |
| Nationality: | adjective: Barbadian or Bajan (colloquial) |
| Ethnic groups: | black 92.4%, white 2.7%, mixed 3.1%, East Indian 1.3%, other 0.2%, unspecified 0.2% (2010 est.) |
| Languages: | English (official), Bajan (English-based creole language, widely spoken in informal settings) |
| Religions: | Protestant 66.3% (includes Anglican 23.9%, other Pentecostal 19.5%, Adventist 5.9%, Methodist 4.2%, Wesleyan 3.4%, Nazarene 3.2%, Church of God 2.4%, Baptist 1.8%, Moravian 1.2%, other Protestant .8%), Roman Catholic 3.8%, other Christian 5.4% (includes Jehovah's Witness 2.0%, other 3.4%), Rastafarian 1%, other 1.5%, none 20.6%, unspecified 1.2% (2010 est.) |
| Population: | 289,680 (July 2014 est.) |
| Age structure: | 0-14 years: 18.4% (male 26,709/female 26,716) |
| Age structure: | 15-24 years: 13.6% (male 19,705/female 19,754) |
| Age structure: | 25-54 years: 45% (male 64,821/female 65,394) |
| Age structure: | 55-64 years: 12.5% (male 16,837/female 19,286) |
| Age structure: | 65 years and over: 10.5% (male 12,068/female 18,390) (2014 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 42.6 % |
| population pyramid: | youth dependency ratio: 26.8 % |
| population pyramid: | elderly dependency ratio: 15.8 % |
| population pyramid: | potential support ratio: 6.3 (2014 est.) |
| Median age: | total: 37.6 years |
| Median age: | male: 36.5 years |
| Median age: | female: 38.7 years (2014 est.) |
| Population growth rate: | 0.33% (2014 est.) |
| Birth rate: | 11.97 births/1,000 population (2014 est.) |
| Death rate: | 8.41 deaths/1,000 population (2014 est.) |
| Net migration rate: | -0.3 migrant(s)/1,000 population (2014 est.) |
| Urbanization: | urban population: 44.4% of total population (2011) |
| Urbanization: | rate of urbanization: 1.35% annual rate of change (2010-15 est.) |
| Major urban areas - population: | BRIDGETOWN (capital) 122,000 (2011) |
| Sex ratio: | at birth: 1.01 male(s)/female |
| Sex ratio: | 0-14 years: 1 male(s)/female |
| Sex ratio: | 15-24 years: 1 male(s)/female |
| Sex ratio: | 25-54 years: 0.99 male(s)/female |
| Sex ratio: | 55-64 years: 0.94 male(s)/female |
| Sex ratio: | 65 years and over: 0.65 male(s)/female |
| Sex ratio: | total population: 0.94 male(s)/female (2014 est.) |
| Maternal mortality rate: | 51 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 10.93 deaths/1,000 live births |
| Infant mortality rate: | male: 12.58 deaths/1,000 live births |
| Infant mortality rate: | female: 9.26 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 74.99 years |
| Life expectancy at birth: | male: 72.64 years |
| Life expectancy at birth: | female: 77.37 years (2014 est.) |
| Total fertility rate: | 1.68 children born/woman (2014 est.) |
| Health expenditures: | 7.7% of GDP (2011) |
| Physicians density: | 1.81 physicians/1,000 population (2005) |
| Hospital bed density: | 6.6 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99.8% of population |
| Drinking water source: | rural: 99.8% of population |
| Drinking water source: | total: 99.8% of population |
| unimproved: | urban: 0.2% of population |
| unimproved: | rural: 0.2% of population |
| unimproved: | total: 0.2% of population (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 91.6% of population |
| Sanitation facility access: | rural: 91.6% of population |
| Sanitation facility access: | total: 91.6% of population |
| unimproved: | urban: 8.4% of population |
| unimproved: | rural: 8.4% of population |
| unimproved: | total: 8.4% of population (2006 est.) |
| HIV/AIDS - adult prevalence rate: | 0.9% (2012 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 1,500 (2012 est.) |
| HIV/AIDS - deaths: | NA (2009 est.) |
| Obesity - adult prevalence rate: | 34.7% (2008) |
| Education expenditures: | 5.6% of GDP (2012) |
| Literacy: | definition: age 15 and over has ever attended school |
| Literacy: | total population: 99.7% |
| Literacy: | male: 99.7% |
| Literacy: | female: 99.7% (2002 est.) |
| School life expectancy (primary to tertiary education): | total: 15 years |
| School life expectancy (primary to tertiary education): | male: 14 years |
| School life expectancy (primary to tertiary education): | female: 17 years (2011) |
| Unemployment, youth ages 15-24: | total: 26.2% |
| Unemployment, youth ages 15-24: | male: 24.1% |
| Unemployment, youth ages 15-24: | female: 28.7% (2003) |
