| People | Guinea-Bissau |
| --- | --- |
| Population: | 1,565,126 (July 2010 est.) |
| Age structure: | 0-14 years: 40.8% (male 312,253/female 313,609) |
| Age structure: | 15-64 years: 56.1% (male 414,924/female 445,639) |
| Age structure: | 65 years and over: 3.1% (male 19,191/female 28,348) (2010 est.) |
| Median age: | total: 19.4 years |
| Median age: | male: 18.8 years |
| Median age: | female: 19.9 years (2010 est.) |
| Population growth rate: | 2.004% (2010 est.) |
| Birth rate: | 35.56 births/1,000 population (2010 est.) |
| Death rate: | 15.52 deaths/1,000 population (July 2010 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2010 est.) |
| Urbanization: | urban population: 30% of total population (2008) |
| Urbanization: | rate of urbanization: 3.2% annual rate of change (2005-10 est.) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | under 15 years: 1 male(s)/female |
| Sex ratio: | 15-64 years: 0.93 male(s)/female |
| Sex ratio: | 65 years and over: 0.66 male(s)/female |
| Sex ratio: | total population: 0.95 male(s)/female (2010 est.) |
| Infant mortality rate: | total: 98.05 deaths/1,000 live births |
| Infant mortality rate: | male: 108.03 deaths/1,000 live births |
| Infant mortality rate: | female: 87.77 deaths/1,000 live births (2010 est.) |
| Life expectancy at birth: | total population: 48.3 years |
| Life expectancy at birth: | male: 46.44 years |
| Life expectancy at birth: | female: 50.22 years (2010 est.) |
| Total fertility rate: | 4.58 children born/woman (2010 est.) |
| HIV/AIDS - adult prevalence rate: | 1.8% (2007 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 16,000 (2007 est.) |
| HIV/AIDS - deaths: | 1,100 (2007 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria and yellow fever |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | animal contact disease: rabies (2009) |
| Nationality: | noun: Guinean(s) |
| Nationality: | adjective: Guinean |
| Ethnic groups: | African 99% (includes Balanta 30%, Fula 20%, Manjaca 14%, Mandinga 13%, Papel 7%), European and mulatto less than 1% |
| Religions: | Muslim 50%, indigenous beliefs 40%, Christian 10% |
| Languages: | Portuguese (official), Crioulo, African languages |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 42.4% |
| Literacy: | male: 58.1% |
| Literacy: | female: 27.4% (2003 est.) |
| School life expectancy (primary to tertiary education): | total: 9 years |
| School life expectancy (primary to tertiary education): | male: 8 years |
| School life expectancy (primary to tertiary education): | female: 5 years (2006) |
| Education expenditures: | 5.2% of GDP (1999) |
