| People and Society | Guinea-Bissau |
| --- | --- |
| Nationality: | noun: Bissau-Guinean(s) |
| Nationality: | adjective: Bissau-Guinean |
| Ethnic groups: | African 99% (includes Balanta 30%, Fula 20%, Manjaca 14%, Mandinga 13%, Papel 7%), European and mulatto less than 1% |
| Languages: | Portuguese (official), Crioulo, African languages |
| Religions: | Muslim 50%, indigenous beliefs 40%, Christian 10% |
| Population: | 1,693,398 (July 2014 est.) |
| Age structure: | 0-14 years: 39.8% (male 336,053/female 337,270) |
| Age structure: | 15-24 years: 20.2% (male 169,574/female 172,221) |
| Age structure: | 25-54 years: 32.1% (male 270,432/female 273,053) |
| Age structure: | 55-64 years: 4.7% (male 29,112/female 50,083) |
| Age structure: | 65 years and over: 3.2% (male 21,236/female 34,364) (2014 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 79.1 % |
| population pyramid: | youth dependency ratio: 73.9 % |
| population pyramid: | elderly dependency ratio: 5.2 % |
| population pyramid: | potential support ratio: 19.3 (2014 est.) |
| Median age: | total: 19.8 years |
| Median age: | male: 19.3 years |
| Median age: | female: 20.3 years (2014 est.) |
| Population growth rate: | 1.93% (2014 est.) |
| Birth rate: | 33.83 births/1,000 population (2014 est.) |
| Death rate: | 14.54 deaths/1,000 population (2014 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2014 est.) |
| Urbanization: | urban population: 43.9% of total population (2011) |
| Urbanization: | rate of urbanization: 3.59% annual rate of change (2010-15 est.) |
| Major urban areas - population: | BISSAU (capital) 423,000 (2011) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1 male(s)/female |
| Sex ratio: | 15-24 years: 0.99 male(s)/female |
| Sex ratio: | 25-54 years: 0.99 male(s)/female |
| Sex ratio: | 55-64 years: 0.95 male(s)/female |
| Sex ratio: | 65 years and over: 0.64 male(s)/female |
| Sex ratio: | total population: 0.95 male(s)/female (2014 est.) |
| Maternal mortality rate: | 790 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 90.92 deaths/1,000 live births |
| Infant mortality rate: | male: 100.59 deaths/1,000 live births |
| Infant mortality rate: | female: 80.97 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 49.87 years |
| Life expectancy at birth: | male: 47.87 years |
| Life expectancy at birth: | female: 51.93 years (2014 est.) |
| Total fertility rate: | 4.3 children born/woman (2014 est.) |
| Contraceptive prevalence rate: | 14% (2010) |
| Health expenditures: | 6.3% of GDP (2011) |
| Physicians density: | 0.07 physicians/1,000 population (2009) |
| Hospital bed density: | 1 beds/1,000 population (2009) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 96.1% of population |
| Drinking water source: | rural: 55.5% of population |
| Drinking water source: | total: 73.6% of population |
| unimproved: | urban: 3.9% of population |
| unimproved: | rural: 44.5% of population |
| unimproved: | total: 26.4% of population (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 33.5% of population |
| Sanitation facility access: | rural: 8.5% of population |
| Sanitation facility access: | total: 19.7% of population |
| unimproved: | urban: 66.5% of population |
| unimproved: | rural: 91.5% of population |
| unimproved: | total: 80.3% of population (2012 est.) |
| HIV/AIDS - adult prevalence rate: | 3.9% (2012 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 41,300 (2012 est.) |
| HIV/AIDS - deaths: | 2,300 (2012 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria, dengue fever, and yellow fever |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | animal contact disease: rabies (2013) |
| Obesity - adult prevalence rate: | 4.9% (2008) |
| Children under the age of 5 years underweight: | 16.6% (2008) |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 55.3% |
| Literacy: | male: 68.9% |
| Literacy: | female: 42.1% (2011 est.) |
| School life expectancy (primary to tertiary education): | total: 9 years (2006) |
| Child labor - children ages 5-14: | total number: 226,316 |
| Child labor - children ages 5-14: | percentage: 57 % (2010 est.) |
