| People and Society | GUINEA-BISSAU |
| --- | --- |
| Nationality: | noun: Bissau-Guinean(s) |
| Nationality: | adjective: Bissau-Guinean |
| Ethnic groups: | Fulani 28.5%, Balanta 22.5%, Mandinga 14.7%, Papel 9.1%, Manjaco 8.3%, Beafada 3.5%, Mancanha 3.1%, Bijago 2.1%, Felupe 1.7%, Mansoanca 1.4%, Balanta Mane 1%, other 1.8%, none 2.2% (2008 est.) |
| Languages: | Crioulo 90.4%, Portuguese 27.1% (official), French 5.1%, English 2.9%, other 2.4% |
| Languages: | note: shares sum to more than 100% because some respondents gave more than one answer on the census (2008 est.) |
| Religions: | Muslim 45.1%, Christian 22.1%, animist 14.9%, none 2%, unspecified 15.9% (2008 est.) |
| Population: | 1,726,170 (July 2015 est.) |
| Age structure: | 0-14 years: 39.53% (male 340,575/female 341,747) |
| Age structure: | 15-24 years: 20.18% (male 172,787/female 175,511) |
| Age structure: | 25-54 years: 32.3% (male 277,820/female 279,762) |
| Age structure: | 55-64 years: 4.66% (male 30,010/female 50,354) |
| Age structure: | 65 years and over: 3.34% (male 21,671/female 35,933) (2015 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 78.4% |
| population pyramid: | youth dependency ratio: 72.8% |
| population pyramid: | elderly dependency ratio: 5.7% |
| population pyramid: | potential support ratio: 17.7% (2015 est.) |
| Median age: | total: 19.9 years |
| Median age: | male: 19.4 years |
| Median age: | female: 20.4 years (2015 est.) |
| Population growth rate: | 1.91% (2015 est.) |
| Birth rate: | 33.38 births/1,000 population (2015 est.) |
| Death rate: | 14.33 deaths/1,000 population (2015 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 49.3% of total population (2015) |
| Urbanization: | rate of urbanization: 4.13% annual rate of change (2010-15 est.) |
| Major urban areas - population: | BISSAU (capital) 492,000 (2015) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1 male(s)/female |
| Sex ratio: | 15-24 years: 0.98 male(s)/female |
| Sex ratio: | 25-54 years: 0.99 male(s)/female |
| Sex ratio: | 55-64 years: 0.6 male(s)/female |
| Sex ratio: | 65 years and over: 0.6 male(s)/female |
| Sex ratio: | total population: 0.95 male(s)/female (2015 est.) |
| Maternal mortality rate: | 549 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 89.21 deaths/1,000 live births |
| Infant mortality rate: | male: 98.8 deaths/1,000 live births |
| Infant mortality rate: | female: 79.33 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 50.23 years |
| Life expectancy at birth: | male: 48.21 years |
| Life expectancy at birth: | female: 52.31 years (2015 est.) |
| Total fertility rate: | 4.23 children born/woman (2015 est.) |
| Contraceptive prevalence rate: | 14.2% (2010) |
| Health expenditures: | 5.5% of GDP (2013) |
| Physicians density: | 0.1 physicians/1,000 population (2009) |
| Hospital bed density: | 1 beds/1,000 population (2009) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 98.8% of population |
| Drinking water source: | rural: 60.3% of population |
| Drinking water source: | total: 79.3% of population |
| unimproved: | urban: 1.2% of population |
| unimproved: | rural: 39.7% of population |
| unimproved: | total: 20.7% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 33.5% of population |
| Sanitation facility access: | rural: 8.5% of population |
| Sanitation facility access: | total: 20.8% of population |
| unimproved: | urban: 66.5% of population |
| unimproved: | rural: 91.5% of population |
| unimproved: | total: 79.2% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 3.69% (2014 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 42,000 (2014 est.) |
| HIV/AIDS - deaths: | 1,900 (2014 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria, dengue fever, and yellow fever |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | animal contact disease: rabies (2013) |
| Obesity - adult prevalence rate: | 6.3% (2014) |
| Children under the age of 5 years underweight: | 18.1% (2010) |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 59.9% |
| Literacy: | male: 71.8% |
| Literacy: | female: 48.3% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 9 years |
| School life expectancy (primary to tertiary education): | male: NA |
| School life expectancy (primary to tertiary education): | female: NA (2006) |
| Child labor - children ages 5-14: | total number: 226,316 |
| Child labor - children ages 5-14: | percentage: 57% (2010 est.) |
