| People | Guinea-Bissau |
| --- | --- |
| Population: | 1,472,780 (July 2007 est.) |
| Age structure: | 0-14 years: 41.2% (male 302,408/female 303,786) |
| Age structure: | 15-64 years: 55.8% (male 394,799/female 427,055) |
| Age structure: | 65 years and over: 3% (male 18,463/female 26,269) (2007 est.) |
| Median age: | total: 19.1 years |
| Median age: | male: 18.5 years |
| Median age: | female: 19.7 years (2007 est.) |
| Population growth rate: | 2.052% (2007 est.) |
| Birth rate: | 36.81 births/1,000 population (2007 est.) |
| Death rate: | 16.29 deaths/1,000 population (2007 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2007 est.) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | under 15 years: 0.995 male(s)/female |
| Sex ratio: | 15-64 years: 0.924 male(s)/female |
| Sex ratio: | 65 years and over: 0.703 male(s)/female |
| Sex ratio: | total population: 0.945 male(s)/female (2007 est.) |
| Infant mortality rate: | total: 103.5 deaths/1,000 live births |
| Infant mortality rate: | male: 113.7 deaths/1,000 live births |
| Infant mortality rate: | female: 93.01 deaths/1,000 live births (2007 est.) |
| Life expectancy at birth: | total population: 47.18 years |
| Life expectancy at birth: | male: 45.37 years |
| Life expectancy at birth: | female: 49.04 years (2007 est.) |
| Total fertility rate: | 4.79 children born/woman (2007 est.) |
| HIV/AIDS - adult prevalence rate: | 10% (2003 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 17,000 (2001 est.) |
| HIV/AIDS - deaths: | 1,200 (2001 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria and yellow fever are high risks in some locations |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | respiratory disease: meningococcal meningitis (2007) |
| Nationality: | noun: Guinean(s) |
| Nationality: | adjective: Guinean |
| Ethnic groups: | African 99% (includes Balanta 30%, Fula 20%, Manjaca 14%, Mandinga 13%, Papel 7%), European and mulatto less than 1% |
| Religions: | indigenous beliefs 50%, Muslim 45%, Christian 5% |
| Languages: | Portuguese (official), Crioulo, African languages |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 42.4% |
| Literacy: | male: 58.1% |
| Literacy: | female: 27.4% (2003 est.) |
