| People and Society | MONGOLIA |
| --- | --- |
| Population: | 3,031,330 (July 2016 est.) |
| Nationality: | noun: Mongolian(s) |
| Nationality: | adjective: Mongolian |
| Ethnic groups: | Khalkh 81.9%, Kazak 3.8%, Dorvod 2.7%, Bayad 2.1%, Buryat-Bouriates 1.7%, Zakhchin 1.2%, Dariganga 1%, Uriankhai 1%, other 4.6% (2010 est.) |
| Languages: | Khalkha Mongol 90% (official), Turkic, Russian (1999) |
| Religions: | Buddhist 53%, Muslim 3%, Christian 2.2%, Shamanist 2.9%, other 0.4%, none 38.6% (2010 est.) |
| Age structure: | 0-14 years: 26.92% (male 416,053/female 399,954) |
| Age structure: | 15-24 years: 16.76% (male 256,897/female 251,160) |
| Age structure: | 25-54 years: 45.45% (male 667,509/female 710,116) |
| Age structure: | 55-64 years: 6.68% (male 92,781/female 109,768) |
| Age structure: | 65 years and over: 4.19% (male 51,691/female 75,401) (2016 est.) |
| Dependency ratios: | total dependency ratio: 47.6% |
| Dependency ratios: | youth dependency ratio: 41.7% |
| Dependency ratios: | elderly dependency ratio: 6% |
| Dependency ratios: | potential support ratio: 16.7% (2015 est.) |
| Median age: | total: 27.9 years |
| Median age: | male: 27.1 years |
| Median age: | female: 28.7 years (2016 est.) |
| Population growth rate: | 1.25% (2016 est.) |
| Birth rate: | 19.6 births/1,000 population (2016 est.) |
| Death rate: | 6.3 deaths/1,000 population (2016 est.) |
| Net migration rate: | -0.8 migrant(s)/1,000 population (2016 est.) |
| Urbanization: | urban population: 72% of total population (2015) |
| Urbanization: | rate of urbanization: 2.78% annual rate of change (2010-15 est.) |
| Major urban areas - population: | ULAANBAATAR (capital) 1.377 million (2015) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.02 male(s)/female |
| Sex ratio: | 25-54 years: 0.94 male(s)/female |
| Sex ratio: | 55-64 years: 0.85 male(s)/female |
| Sex ratio: | 65 years and over: 0.69 male(s)/female |
| Sex ratio: | total population: 0.96 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 20.5 |
| Mother's mean age at first birth: | note: median age at first birth among women 20-24 (2008 est.) |
| Maternal mortality rate: | 44 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 21.8 deaths/1,000 live births |
| Infant mortality rate: | male: 24.9 deaths/1,000 live births |
| Infant mortality rate: | female: 18.5 deaths/1,000 live births (2016 est.) |
| Life expectancy at birth: | total population: 69.6 years |
| Life expectancy at birth: | male: 65.4 years |
| Life expectancy at birth: | female: 74.1 years (2016 est.) |
| Total fertility rate: | 2.13 children born/woman (2016 est.) |
| Contraceptive prevalence rate: | 54.9% (2010) |
| Health expenditures: | 4.7% of GDP (2014) |
| Physicians density: | 2.84 physicians/1,000 population (2011) |
| Hospital bed density: | 6.8 beds/1,000 population (2012) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 66.4% of population |
| Drinking water source: | rural: 59.2% of population |
| Drinking water source: | total: 64.4% of population |
| unimproved: | urban: 33.6% of population |
| unimproved: | rural: 40.8% of population |
| unimproved: | total: 35.6% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 66.4% of population |
| Sanitation facility access: | rural: 42.6% of population |
| Sanitation facility access: | total: 59.7% of population |
| unimproved: | urban: 33.6% of population |
| unimproved: | rural: 57.4% of population |
| unimproved: | total: 40.3% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.02% (2015 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 400 (2015 est.) |
| HIV/AIDS - deaths: | fewer than 100 (2015 est.) |
| Obesity - adult prevalence rate: | 15.7% (2014) |
| Children under the age of 5 years underweight: | 1.6% (2013) |
| Education expenditures: | 4.6% of GDP (2011) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 98.4% |
| Literacy: | male: 98.2% |
| Literacy: | female: 98.6% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 15 years |
| School life expectancy (primary to tertiary education): | male: 14 years |
| School life expectancy (primary to tertiary education): | female: 15 years (2014) |
| Child labor - children ages 5-14: | total number: 106,203 |
| Child labor - children ages 5-14: | percentage: 18% (2005 est.) |
| Unemployment, youth ages 15-24: | total: 16.6% |
| Unemployment, youth ages 15-24: | male: 14.7% |
| Unemployment, youth ages 15-24: | female: 19.1% (2013 est.) |
