| People and Society | MONGOLIA |
| --- | --- |
| Population: | 3,068,243 |
| Population: | note: Mongolia is one of the least densely populated countries in the world (2 people per sq km); twice as many ethnic Mongols (some 6 million) live in Inner Mongolia (Nei Mongol) in neighboring China (July 2017 est.) |
| Nationality: | noun: Mongolian(s) |
| Nationality: | adjective: Mongolian |
| Ethnic groups: | Khalkh 81.9%, Kazak 3.8%, Dorvod 2.7%, Bayad 2.1%, Buryat-Bouriates 1.7%, Zakhchin 1.2%, Dariganga 1%, Uriankhai 1%, other 4.6% (2010 est.) |
| Languages: | Mongolian 90% (official) (Khalkha dialect is predominant), Turkic, Russian (1999) |
| Religions: | Buddhist 53%, Muslim 3%, Shamanist 2.9%, Christian 2.2%, other 0.4%, none 38.6% (2010 est.) |
| Age structure: | 0-14 years: 26.95% (male 421,675/female 405,298) |
| Age structure: | 15-24 years: 16.09% (male 249,805/female 243,784) |
| Age structure: | 25-54 years: 45.6% (male 677,679/female 721,435) |
| Age structure: | 55-64 years: 7.07% (male 99,099/female 117,818) |
| Age structure: | 65 years and over: 4.29% (male 53,364/female 78,286) (2017 est.) |
| Dependency ratios: | total dependency ratio: 48.5 |
| Dependency ratios: | youth dependency ratio: 42.7 |
| Dependency ratios: | elderly dependency ratio: 5.8 |
| Dependency ratios: | potential support ratio: 17.3 (2015 est.) |
| Median age: | total: 28.3 years |
| Median age: | male: 27.5 years |
| Median age: | female: 29.2 years (2017 est.) |
| Population growth rate: | 1.18% (2017 est.) |
| Birth rate: | 18.9 births/1,000 population (2017 est.) |
| Death rate: | 6.3 deaths/1,000 population (2017 est.) |
| Net migration rate: | -0.8 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | sparsely distributed population throughout the country; the capital of Ulaanbaatar and the northern city of Darhan support the highest population densities |
| Urbanization: | urban population: 73.6% of total population (2017) |
| Urbanization: | rate of urbanization: 2.23% annual rate of change (2015-20 est.) |
| Major urban areas - population: | ULAANBAATAR (capital) 1.377 million (2015) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.02 male(s)/female |
| Sex ratio: | 25-54 years: 0.94 male(s)/female |
| Sex ratio: | 55-64 years: 0.85 male(s)/female |
| Sex ratio: | 65 years and over: 0.69 male(s)/female |
| Sex ratio: | total population: 0.96 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 20.5 years |
| Mother's mean age at first birth: | note: median age at first birth among women 20-24 (2008 est.) |
| Maternal mortality rate: | 44 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 21.1 deaths/1,000 live births |
| Infant mortality rate: | male: 24.2 deaths/1,000 live births |
| Infant mortality rate: | female: 17.9 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 69.9 years |
| Life expectancy at birth: | male: 65.7 years |
| Life expectancy at birth: | female: 74.4 years (2017 est.) |
| Total fertility rate: | 2.09 children born/woman (2017 est.) |
| Contraceptive prevalence rate: | 54.6% (2013) |
| Health expenditures: | 4.7% of GDP (2014) |
| Physicians density: | 2.88 physicians/1,000 population (2011) |
| Hospital bed density: | 6.8 beds/1,000 population (2012) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 66.4% of population |
| Drinking water source: | rural: 59.2% of population |
| Drinking water source: | total: 64.4% of population |
| unimproved: | urban: 33.6% of population |
| unimproved: | rural: 40.8% of population |
| unimproved: | total: 35.6% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 66.4% of population |
| Sanitation facility access: | rural: 42.6% of population |
| Sanitation facility access: | total: 59.7% of population |
| unimproved: | urban: 33.6% of population |
| unimproved: | rural: 57.4% of population |
| unimproved: | total: 40.3% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | <.1% (2016 est.) |
| HIV/AIDS - people living with HIV/AIDS: | <500 (2016 est.) |
| HIV/AIDS - deaths: | <100 (2016 est.) |
| Obesity - adult prevalence rate: | 20.6% (2016) |
| Children under the age of 5 years underweight: | 1.6% (2013) |
| Education expenditures: | 4.6% of GDP (2011) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 98.4% |
| Literacy: | male: 98.2% |
| Literacy: | female: 98.6% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 15 years |
| School life expectancy (primary to tertiary education): | male: 14 years |
| School life expectancy (primary to tertiary education): | female: 16 years (2015) |
| Unemployment, youth ages 15-24: | total: 17.9% |
| Unemployment, youth ages 15-24: | male: 16.8% |
| Unemployment, youth ages 15-24: | female: 19.4% (2015 est.) |
