| People and Society | MONGOLIA |
| --- | --- |
| Nationality: | noun: Mongolian(s) |
| Nationality: | adjective: Mongolian |
| Ethnic groups: | Khalkh 81.9%, Kazak 3.8%, Dorvod 2.7%, Bayad 2.1%, Buryat-Bouriates 1.7%, Zakhchin 1.2%, Dariganga 1%, Uriankhai 1%, other 4.6% (2010 est.) |
| Languages: | Khalkha Mongol 90% (official), Turkic, Russian (1999) |
| Religions: | Buddhist 53%, Muslim 3%, Christian 2.2%, Shamanist 2.9%, other 0.4%, none 38.6% (2010 est.) |
| Population: | 2,992,908 (July 2015 est.) |
| Age structure: | 0-14 years: 26.87% (male 409,994/female 394,195) |
| Age structure: | 15-24 years: 17.69% (male 267,507/female 261,869) |
| Age structure: | 25-54 years: 45.04% (male 653,195/female 694,688) |
| Age structure: | 55-64 years: 6.29% (male 86,401/female 101,714) |
| Age structure: | 65 years and over: 4.12% (male 50,372/female 72,973) (2015 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 47.6% |
| population pyramid: | youth dependency ratio: 41.7% |
| population pyramid: | elderly dependency ratio: 6% |
| population pyramid: | potential support ratio: 16.7% (2015 est.) |
| Median age: | total: 27.5 years |
| Median age: | male: 26.7 years |
| Median age: | female: 28.3 years (2015 est.) |
| Population growth rate: | 1.31% (2015 est.) |
| Birth rate: | 20.25 births/1,000 population (2015 est.) |
| Death rate: | 6.35 deaths/1,000 population (2015 est.) |
| Net migration rate: | -0.84 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 72% of total population (2015) |
| Urbanization: | rate of urbanization: 2.78% annual rate of change (2010-15 est.) |
| Major urban areas - population: | ULAANBAATAR (capital) 1.377 million (2015) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.02 male(s)/female |
| Sex ratio: | 25-54 years: 0.94 male(s)/female |
| Sex ratio: | 55-64 years: 0.85 male(s)/female |
| Sex ratio: | 65 years and over: 0.69 male(s)/female |
| Sex ratio: | total population: 0.96 male(s)/female (2015 est.) |
| Infant mortality rate: | total: 22.44 deaths/1,000 live births |
| Infant mortality rate: | male: 25.64 deaths/1,000 live births |
| Infant mortality rate: | female: 19.09 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 69.29 years |
| Life expectancy at birth: | male: 65.04 years |
| Life expectancy at birth: | female: 73.76 years (2015 est.) |
| Total fertility rate: | 2.17 children born/woman (2015 est.) |
| Contraceptive prevalence rate: | 54.9% (2010) |
| Health expenditures: | 6% of GDP (2013) |
| Physicians density: | 2.84 physicians/1,000 population (2011) |
| Hospital bed density: | 6.8 beds/1,000 population (2012) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 66.4% of population |
| Drinking water source: | rural: 59.2% of population |
| Drinking water source: | total: 64.4% of population |
| unimproved: | urban: 33.6% of population |
| unimproved: | rural: 40.8% of population |
| unimproved: | total: 35.6% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 66.4% of population |
| Sanitation facility access: | rural: 42.6% of population |
| Sanitation facility access: | total: 59.7% of population |
| unimproved: | urban: 33.6% of population |
| unimproved: | rural: 57.4% of population |
| unimproved: | total: 40.3% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.04% (2013 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 600 (2013 est.) |
| HIV/AIDS - deaths: | fewer than 100 (2013 est.) |
| Obesity - adult prevalence rate: | 15.7% (2014) |
| Children under the age of 5 years underweight: | 1.6% (2013) |
| Education expenditures: | 5.5% of GDP (2011) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 98.4% |
| Literacy: | male: 98.2% |
| Literacy: | female: 98.6% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 15 years |
| School life expectancy (primary to tertiary education): | male: 14 years |
| School life expectancy (primary to tertiary education): | female: 15 years (2010) |
| Child labor - children ages 5-14: | total number: 106,203 |
| Child labor - children ages 5-14: | percentage: 18% (2005 est.) |
| Unemployment, youth ages 15-24: | total: 11.9% |
| Unemployment, youth ages 15-24: | male: 10.7% |
| Unemployment, youth ages 15-24: | female: 13.2% (2011 est.) |
