| People and Society | SWEDEN |
| --- | --- |
| Nationality: | noun: Swede(s) |
| Nationality: | adjective: Swedish |
| Ethnic groups: | indigenous population: Swedes with Finnish and Sami minorities; foreign-born or first-generation immigrants: Finns, Yugoslavs, Danes, Norwegians, Greeks, Turks |
| Languages: | Swedish (official), small Sami- and Finnish-speaking minorities |
| Religions: | Lutheran 87%, other (includes Roman Catholic, Orthodox, Baptist, Muslim, Jewish, and Buddhist) 13% |
| Population: | 9,801,616 (July 2015 est.) |
| Age structure: | 0-14 years: 17.12% (male 863,125/female 814,803) |
| Age structure: | 15-24 years: 11.97% (male 603,615/female 569,289) |
| Age structure: | 25-54 years: 39.3% (male 1,957,869/female 1,894,064) |
| Age structure: | 55-64 years: 11.63% (male 571,318/female 568,293) |
| Age structure: | 65 years and over: 19.99% (male 900,070/female 1,059,170) (2015 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 59.3% |
| population pyramid: | youth dependency ratio: 27.5% |
| population pyramid: | elderly dependency ratio: 31.8% |
| population pyramid: | potential support ratio: 3.1% (2015 est.) |
| Median age: | total: 41.2 years |
| Median age: | male: 40.2 years |
| Median age: | female: 42.2 years (2015 est.) |
| Population growth rate: | 0.8% (2015 est.) |
| Birth rate: | 11.99 births/1,000 population (2015 est.) |
| Death rate: | 9.4 deaths/1,000 population (2015 est.) |
| Net migration rate: | 5.42 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 85.8% of total population (2015) |
| Urbanization: | rate of urbanization: 0.83% annual rate of change (2010-15 est.) |
| Major urban areas - population: | STOCKHOLM (capital) 1.486 million (2015) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.06 male(s)/female |
| Sex ratio: | 25-54 years: 1.03 male(s)/female |
| Sex ratio: | 55-64 years: 1.01 male(s)/female |
| Sex ratio: | 65 years and over: 0.85 male(s)/female |
| Sex ratio: | total population: 1 male(s)/female (2015 est.) |
| Infant mortality rate: | total: 2.6 deaths/1,000 live births |
| Infant mortality rate: | male: 2.87 deaths/1,000 live births |
| Infant mortality rate: | female: 2.31 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 81.98 years |
| Life expectancy at birth: | male: 80.09 years |
| Life expectancy at birth: | female: 83.99 years (2015 est.) |
| Total fertility rate: | 1.88 children born/woman (2015 est.) |
| Health expenditures: | 9.7% of GDP (2013) |
| Physicians density: | 3.93 physicians/1,000 population (2011) |
| Hospital bed density: | 2.7 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 99.3% of population |
| Sanitation facility access: | rural: 99.6% of population |
| Sanitation facility access: | total: 99.3% of population |
| unimproved: | urban: 0.7% of population |
| unimproved: | rural: 0.4% of population |
| unimproved: | total: 0.7% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.18% (2014 est.) |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | 100 (2014 est.) |
| Obesity - adult prevalence rate: | 22% (2014) |
| Education expenditures: | 6.8% of GDP (2011) |
| School life expectancy (primary to tertiary education): | total: 16 years |
| School life expectancy (primary to tertiary education): | male: 15 years |
| School life expectancy (primary to tertiary education): | female: 17 years (2012) |
| Unemployment, youth ages 15-24: | total: 23.7% |
| Unemployment, youth ages 15-24: | male: 25% |
| Unemployment, youth ages 15-24: | female: 22.3% (2012 est.) |
