| People and Society | Faroe Islands |
| --- | --- |
| Nationality: | noun: Faroese (singular and plural) |
| Nationality: | adjective: Faroese |
| Ethnic groups: | Scandinavian |
| Languages: | Faroese (derived from Old Norse), Danish |
| Religions: | Evangelical Lutheran 83.8%, other and unspecified 16.2% (2006 census) |
| Population: | 49,709 (July 2013 est.) |
| Age structure: | 0-14 years: 20.4% (male 5,269/female 4,882) |
| Age structure: | 15-24 years: 15.6% (male 4,003/female 3,738) |
| Age structure: | 25-54 years: 36.8% (male 9,892/female 8,414) |
| Age structure: | 55-64 years: 11.8% (male 3,018/female 2,832) |
| Age structure: | 65 years and over: 15.4% (male 3,712/female 3,949) (2013 est.) |
| population pyramid: | Median age: |
| population pyramid: | total: 37.6 years |
| population pyramid: | male: 37 years |
| population pyramid: | female: 38.3 years (2013 est.) |
| Population growth rate: | 0.47% (2013 est.) |
| Birth rate: | 13.36 births/1,000 population (2013 est.) |
| Death rate: | 8.67 deaths/1,000 population (2013 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2013 est.) |
| Urbanization: | urban population: 40% of total population (2010) |
| Urbanization: | rate of urbanization: 0.9% annual rate of change (2010-15 est.) |
| Sex ratio: | at birth: 1.07 male(s)/female |
| Sex ratio: | 0-14 years: 1.08 male(s)/female |
| Sex ratio: | 15-24 years: 1.07 male(s)/female |
| Sex ratio: | 25-54 years: 1.18 male(s)/female |
| Sex ratio: | 55-64 years: 1.08 male(s)/female |
| Sex ratio: | 65 years and over: 0.93 male(s)/female |
| Sex ratio: | total population: 1.09 male(s)/female (2013 est.) |
| Infant mortality rate: | total: 5.82 deaths/1,000 live births |
| Infant mortality rate: | male: 6.08 deaths/1,000 live births |
| Infant mortality rate: | female: 5.55 deaths/1,000 live births (2013 est.) |
| Life expectancy at birth: | total population: 79.98 years |
| Life expectancy at birth: | male: 77.49 years |
| Life expectancy at birth: | female: 82.64 years (2013 est.) |
| Total fertility rate: | 2.39 children born/woman (2013 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Literacy: | NA; note - probably 99%, the same as Denmark proper |
| Unemployment, youth ages 15-24: | total: 9.4% |
| Unemployment, youth ages 15-24: | male: 6.9% |
| Unemployment, youth ages 15-24: | female: 12.5% (2005) |
