| People and Society | Comoros |
| --- | --- |
| Nationality: | noun: Comoran(s) |
| Nationality: | adjective: Comoran |
| Ethnic groups: | Antalote, Cafre, Makoa, Oimatsaha, Sakalava |
| Languages: | Arabic (official), French (official), Shikomoro (a blend of Swahili and Arabic) |
| Religions: | Sunni Muslim 98%, Roman Catholic 2% |
| Population: | 766,865 (July 2014 est.) |
| Age structure: | 0-14 years: 41.3% (male 157,996/female 159,088) |
| Age structure: | 15-24 years: 18.8% (male 69,688/female 74,418) |
| Age structure: | 25-54 years: 31.9% (male 116,235/female 128,647) |
| Age structure: | 55-64 years: 4.1% (male 14,074/female 17,700) |
| Age structure: | 65 years and over: 3.7% (male 13,696/female 15,323) (2014 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 81 % |
| population pyramid: | youth dependency ratio: 75.9 % |
| population pyramid: | elderly dependency ratio: 5.1 % |
| population pyramid: | potential support ratio: 19.5 (2014 est.) |
| Median age: | total: 19.2 years |
| Median age: | male: 18.5 years |
| Median age: | female: 19.8 years (2014 est.) |
| Population growth rate: | 1.87% (2014 est.) |
| Birth rate: | 29.05 births/1,000 population (2014 est.) |
| Death rate: | 7.76 deaths/1,000 population (2014 est.) |
| Net migration rate: | -2.58 migrant(s)/1,000 population (2014 est.) |
| Urbanization: | urban population: 28% of total population (2011) |
| Urbanization: | rate of urbanization: 2.84% annual rate of change (2010-15 est.) |
| Major urban areas - population: | MORONI (capital) 54,000 (2011) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 0.99 male(s)/female |
| Sex ratio: | 15-24 years: 0.94 male(s)/female |
| Sex ratio: | 25-54 years: 0.9 male(s)/female |
| Sex ratio: | 55-64 years: 0.94 male(s)/female |
| Sex ratio: | 65 years and over: 0.92 male(s)/female |
| Sex ratio: | total population: 0.94 male(s)/female (2014 est.) |
| Mother's mean age at first birth: | 24.6 |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 (2012 est.) |
| Maternal mortality rate: | 280 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 65.31 deaths/1,000 live births |
| Infant mortality rate: | male: 76.11 deaths/1,000 live births |
| Infant mortality rate: | female: 54.18 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 63.48 years |
| Life expectancy at birth: | male: 61.23 years |
| Life expectancy at birth: | female: 65.8 years (2014 est.) |
| Total fertility rate: | 3.76 children born/woman (2014 est.) |
| Contraceptive prevalence rate: | 25.7% (2000) |
| Health expenditures: | 5.3% of GDP (2011) |
| Physicians density: | 0.15 physicians/1,000 population (2004) |
| Hospital bed density: | 2.2 beds/1,000 population (2006) |
| Drinking water source: | improved: |
| Drinking water source: | rural: 96.7% of population |
| unimproved: | rural: 3.3% of population (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 50% of population |
| Sanitation facility access: | rural: 29.7% of population |
| Sanitation facility access: | total: 35.4% of population |
| unimproved: | urban: 50% of population |
| unimproved: | rural: 70.3% of population |
| unimproved: | total: 64.6% of population (2010 est.) |
| HIV/AIDS - adult prevalence rate: | 0.1% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | fewer than 500 (2009 est.) |
| HIV/AIDS - deaths: | fewer than 100 (2009 est.) |
| Obesity - adult prevalence rate: | 4.4% (2008) |
| Children under the age of 5 years underweight: | 25% (2000) |
| Education expenditures: | 7.6% of GDP (2008) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 75.5% |
| Literacy: | male: 80.5% |
| Literacy: | female: 70.6% (2011 est.) |
| School life expectancy (primary to tertiary education): | total: 13 years |
| School life expectancy (primary to tertiary education): | male: 13 years |
| School life expectancy (primary to tertiary education): | female: 12 years (2012) |
| Child labor - children ages 5-14: | total number: 39,550 |
| Child labor - children ages 5-14: | percentage: 27 % (2000 est.) |
