| People and Society | COMOROS |
| --- | --- |
| Nationality: | noun: Comoran(s) |
| Nationality: | adjective: Comoran |
| Ethnic groups: | Antalote, Cafre, Makoa, Oimatsaha, Sakalava |
| Languages: | Arabic (official), French (official), Shikomoro (official; a blend of Swahili and Arabic) (Comorian) |
| Religions: | Sunni Muslim 98%, Roman Catholic 2% |
| Population: | 780,971 (July 2015 est.) |
| Age structure: | 0-14 years: 40.77% (male 158,654/female 159,722) |
| Age structure: | 15-24 years: 18.98% (male 71,694/female 76,500) |
| Age structure: | 25-54 years: 32.25% (male 119,595/female 132,299) |
| Age structure: | 55-64 years: 4.17% (male 14,414/female 18,135) |
| Age structure: | 65 years and over: 3.84% (male 14,018/female 15,940) (2015 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 75.6% |
| population pyramid: | youth dependency ratio: 70.7% |
| population pyramid: | elderly dependency ratio: 4.9% |
| population pyramid: | potential support ratio: 20.4% (2015 est.) |
| Median age: | total: 19.4 years |
| Median age: | male: 18.7 years |
| Median age: | female: 20 years (2015 est.) |
| Population growth rate: | 1.77% (2015 est.) |
| Birth rate: | 27.84 births/1,000 population (2015 est.) |
| Death rate: | 7.57 deaths/1,000 population (2015 est.) |
| Net migration rate: | -2.53 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 28.3% of total population (2015) |
| Urbanization: | rate of urbanization: 2.67% annual rate of change (2010-15 est.) |
| Major urban areas - population: | MORONI (capital) 56,000 (2014) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 0.99 male(s)/female |
| Sex ratio: | 15-24 years: 0.94 male(s)/female |
| Sex ratio: | 25-54 years: 0.9 male(s)/female |
| Sex ratio: | 55-64 years: 0.8 male(s)/female |
| Sex ratio: | 65 years and over: 0.88 male(s)/female |
| Sex ratio: | total population: 0.94 male(s)/female (2015 est.) |
| Maternal mortality rate: | 335 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 63.55 deaths/1,000 live births |
| Infant mortality rate: | male: 74.18 deaths/1,000 live births |
| Infant mortality rate: | female: 52.6 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 63.85 years |
| Life expectancy at birth: | male: 61.57 years |
| Life expectancy at birth: | female: 66.19 years (2015 est.) |
| Total fertility rate: | 3.6 children born/woman (2015 est.) |
| Contraceptive prevalence rate: | 19.4% (2012) |
| Health expenditures: | 5.8% of GDP (2013) |
| Hospital bed density: | 2.2 beds/1,000 population (2006) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 92.6% of population |
| Drinking water source: | rural: 89.1% of population |
| Drinking water source: | total: 90.1% of population |
| unimproved: | urban: 7.4% of population |
| unimproved: | rural: 10.9% of population |
| unimproved: | total: 9.9% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 48.3% of population |
| Sanitation facility access: | rural: 30.9% of population |
| Sanitation facility access: | total: 35.8% of population |
| unimproved: | urban: 51.7% of population |
| unimproved: | rural: 69.1% of population |
| unimproved: | total: 35.8% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 5.8% (2014) |
| Children under the age of 5 years underweight: | 16.9% (2012) |
| Education expenditures: | 7.6% of GDP (2008) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 77.8% |
| Literacy: | male: 81.8% |
| Literacy: | female: 73.7% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 11 years |
| School life expectancy (primary to tertiary education): | male: NA |
| School life expectancy (primary to tertiary education): | female: NA (2013) |
| Child labor - children ages 5-14: | total number: 39,550 |
| Child labor - children ages 5-14: | percentage: 27% (2000 est.) |
