| People and Society | Togo |
| --- | --- |
| Population: | 8,176,449 (July 2018 est.) |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected |
| Nationality: | noun: Togolese (singular and plural) |
| Nationality: | adjective: Togolese |
| Ethnic groups: | Adja-Ewe/Mina 42.4%, Kabye/Tem 25.9%, Para-Gourma/Akan 17.1%, Akposso/Akebu 4.1%, Ana-Ife 3.2%, other Togolese 1.7%, foreigners 5.2%, no response .4% (2013-14 est.) |
| Ethnic groups: | note: Togo has an estimated 37 ethnic groups |
| Languages: | French (official, the language of commerce), Ewe and Mina (the two major African languages in the south), Kabye (sometimes spelled Kabiye) and Dagomba (the two major African languages in the north) |
| Religions: | Christian 43.7%, folk 35.6%, Muslim 14%, Hindu <.1%, Buddhist <.1%, Jewish <.1%, other .5%, none 6.2% (2010 est.) |
| Demographic profile: | Togoâ€™s population is estimated to have grown to four times its size between 1960 and 2010. With nearly 60% of its populace under the age of 25 and a high annual growth rate attributed largely to high fertility, Togoâ€™s population is likely to continue to expand for the foreseeable future. Reducing fertility, boosting job creation, and improving education will be essential to reducing the countryâ€™s high poverty rate. In 2008, Togo eliminated primary school enrollment fees, leading to higher enrollment but increased pressure on limited classroom space, teachers, and materials. Togo has a good chance of achieving universal primary education, but educational quality, the underrepresentation of girls, and the low rate of enrollment in secondary and tertiary schools remain concerns. |
| Demographic profile: | Togo is both a country of emigration and asylum. In the early 1990s, southern Togo suffered from the economic decline of the phosphate sector and ethnic and political repression at the hands of dictator Gnassingbe EYADEMA and his northern, Kabye-dominated administration. The turmoil led 300,000 to 350,000 predominantly southern Togolese to flee to Benin and Ghana, with most not returning home until relative stability was restored in 1997. In 2005, another outflow of 40,000 Togolese to Benin and Ghana occurred when violence broke out between the opposition and security forces over the disputed election of EYADEMAâ€™s son Faure GNASSINGBE to the presidency. About half of the refugees reluctantly returned home in 2006, many still fearing for their safety. Despite ethnic tensions and periods of political unrest, Togo in September 2017 was home to more than 9,600 refugees from Ghana. |
| Age structure: | 0-14 years: 40.13% (male 1,646,438 /female 1,634,609) |
| Age structure: | 15-24 years: 19.1% (male 779,774 /female 782,192) |
| Age structure: | 25-54 years: 32.96% (male 1,339,150 /female 1,356,020) |
| Age structure: | 55-64 years: 4.34% (male 167,575 /female 187,432) |
| Age structure: | 65 years and over: 3.46% (male 122,175 /female 161,084) (2018 est.) |
| Dependency ratios: | total dependency ratio: 81.2 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 76.2 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 5.1 (2015 est.) |
| Dependency ratios: | potential support ratio: 19.8 (2015 est.) |
| Median age: | total: 19.9 years (2018 est.) |
| Median age: | male: 19.6 years |
| Median age: | female: 20.1 years |
| Population growth rate: | 2.61% (2018 est.) |
| Birth rate: | 32.8 births/1,000 population (2018 est.) |
| Death rate: | 6.8 deaths/1,000 population (2018 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2018 est.) |
| Population distribution: | one of the more densely populated African nations with most of the population residing in rural communities, density is highest in the south on or near the Atlantic coast |
| Urbanization: | urban population: 42.2% of total population (2019) |
| Urbanization: | rate of urbanization: 3.76% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 1.785 million LOME (capital) (2019) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.01 male(s)/female |
| Sex ratio: | 15-24 years: 1 male(s)/female |
| Sex ratio: | 25-54 years: 0.99 male(s)/female |
| Sex ratio: | 55-64 years: 0.89 male(s)/female |
| Sex ratio: | 65 years and over: 0.76 male(s)/female |
| Sex ratio: | total population: 0.98 male(s)/female (2018 est.) |
| Mother's mean age at first birth: | 21 years (2013/14 est.) |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 |
| Maternal mortality rate: | 396 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 40.8 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 47.1 deaths/1,000 live births |
| Infant mortality rate: | female: 34.4 deaths/1,000 live births |
| Life expectancy at birth: | total population: 65.8 years (2018 est.) |
| Life expectancy at birth: | male: 63.1 years |
| Life expectancy at birth: | female: 68.6 years |
| Total fertility rate: | 4.32 children born/woman (2018 est.) |
| Contraceptive prevalence rate: | 19.9% (2013/14) |
| Drinking water source: | improved: urban: 91.4% of population |
| Drinking water source: | rural: 44.2% of population |
| Drinking water source: | total: 63.1% of population |
| Drinking water source: | unimproved: urban: 8.6% of population |
