| People and Society | TOGO |
| --- | --- |
| Population: | 7,965,055 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2017 est.) |
| Nationality: | noun: Togolese (singular and plural) |
| Nationality: | adjective: Togolese |
| Ethnic groups: | African (37 tribes; largest and most important are Ewe, Mina, and Kabre) 99%, European and Syrian-Lebanese less than 1% |
| Languages: | French (official, the language of commerce), Ewe and Mina (the two major African languages in the south), Kabye (sometimes spelled Kabiye) and Dagomba (the two major African languages in the north) |
| Religions: | Christian 29%, Muslim 20%, indigenous beliefs 51% |
| Demographic profile: | Togo’s population is estimated to have grown to four times its size between 1960 and 2010. With nearly 60% of its populace under the age of 25 and a high annual growth rate attributed largely to high fertility, Togo’s population is likely to continue to expand for the foreseeable future. Reducing fertility, boosting job creation, and improving education will be essential to reducing the country’s high poverty rate. In 2008, Togo eliminated primary school enrollment fees, leading to higher enrollment but increased pressure on limited classroom space, teachers, and materials. Togo has a good chance of achieving universal primary education, but educational quality, the underrepresentation of girls, and the low rate of enrollment in secondary and tertiary schools remain concerns. |
| Demographic profile: | Togo is both a country of emigration and asylum. In the early 1990s, southern Togo suffered from the economic decline of the phosphate sector and ethnic and political repression at the hands of dictator Gnassingbe EYADEMA and his northern, Kabye-dominated administration. The turmoil led 300,000 to 350,000 predominantly southern Togolese to flee to Benin and Ghana, with most not returning home until relative stability was restored in 1997. In 2005, another outflow of 40,000 Togolese to Benin and Ghana occurred when violence broke out between the opposition and security forces over the disputed election of EYADEMA’s son Faure GNASSINGBE to the presidency. About half of the refugees reluctantly returned home in 2006, many still fearing for their safety. Despite ethnic tensions and periods of political unrest, Togo in September 2017 was home to more than 9,600 refugees from Ghana. |
| Age structure: | 0-14 years: 40.29% (male 1,610,020/female 1,599,105) |
| Age structure: | 15-24 years: 19.2% (male 763,507/female 765,884) |
| Age structure: | 25-54 years: 32.79% (male 1,297,489/female 1,314,130) |
| Age structure: | 55-64 years: 4.31% (male 161,809/female 181,180) |
| Age structure: | 65 years and over: 3.41% (male 117,409/female 154,522) (2017 est.) |
| Dependency ratios: | total dependency ratio: 81.2 |
| Dependency ratios: | youth dependency ratio: 76.2 |
| Dependency ratios: | elderly dependency ratio: 5.1 |
| Dependency ratios: | potential support ratio: 19.8 (2015 est.) |
| Median age: | total: 19.8 years |
| Median age: | male: 19.5 years |
| Median age: | female: 20.1 years (2017 est.) |
| Population growth rate: | 2.64% (2017 est.) |
| Birth rate: | 33.3 births/1,000 population (2017 est.) |
| Death rate: | 6.9 deaths/1,000 population (2017 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | one of the more densely populated African nations with most of the population residing in rural communities, density is highest in the south on or near the Atlantic coast |
| Urbanization: | urban population: 41% of total population (2017) |
| Urbanization: | rate of urbanization: 3.6% annual rate of change (2015-20 est.) |
| Major urban areas - population: | LOME (capital) 956,000 (2015) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.01 male(s)/female |
| Sex ratio: | 15-24 years: 1 male(s)/female |
| Sex ratio: | 25-54 years: 0.99 male(s)/female |
| Sex ratio: | 55-64 years: 0.89 male(s)/female |
| Sex ratio: | 65 years and over: 0.76 male(s)/female |
| Sex ratio: | total population: 0.98 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 21 years |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 (2013/14 est.) |
| Maternal mortality rate: | 368 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 42.2 deaths/1,000 live births |
| Infant mortality rate: | male: 48.5 deaths/1,000 live births |
| Infant mortality rate: | female: 35.7 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 65.4 years |
| Life expectancy at birth: | male: 62.8 years |
| Life expectancy at birth: | female: 68.1 years (2017 est.) |
| Total fertility rate: | 4.38 children born/woman (2017 est.) |
| Contraceptive prevalence rate: | 19.9% (2013/14) |
| Health expenditures: | 5.2% of GDP (2014) |
| Physicians density: | 0.06 physicians/1,000 population (2008) |
| Hospital bed density: | 0.7 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 91.4% of population |
| Drinking water source: | rural: 44.2% of population |
| Drinking water source: | total: 63.1% of population |
| unimproved: | urban: 8.6% of population |
| unimproved: | rural: 55.8% of population |
| unimproved: | total: 36.9% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 24.7% of population |
| Sanitation facility access: | rural: 2.9% of population |
| Sanitation facility access: | total: 11.6% of population |
| unimproved: | urban: 75.3% of population |
| unimproved: | rural: 97.1% of population |
| unimproved: | total: 88.4% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 2.1% (2016 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 100,000 (2016 est.) |
| HIV/AIDS - deaths: | 5,100 (2016 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria, dengue fever, and yellow fever |
| Major infectious diseases: | respiratory disease: meningococcal meningitis |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | animal contact disease: rabies (2016) |
| Obesity - adult prevalence rate: | 8.4% (2016) |
| Children under the age of 5 years underweight: | 16.2% (2014) |
| Education expenditures: | 5.3% of GDP (2015) |
