| People and Society | Togo |
| --- | --- |
| Nationality: | noun: Togolese (singular and plural) |
| Nationality: | adjective: Togolese |
| Ethnic groups: | African (37 tribes; largest and most important are Ewe, Mina, and Kabre) 99%, European and Syrian-Lebanese less than 1% |
| Languages: | French (official, the language of commerce), Ewe and Mina (the two major African languages in the south), Kabye (sometimes spelled Kabiye) and Dagomba (the two major African languages in the north) |
| Religions: | Christian 29%, Muslim 20%, indigenous beliefs 51% |
| Population: | 6,771,993 (July 2011 est.) |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected |
| Age structure: | 0-14 years: 40.9% (male 1,387,537/female 1,381,040) |
| Age structure: | 15-64 years: 56% (male 1,878,114/female 1,912,132) |
| Age structure: | 65 years and over: 3.1% (male 92,689/female 120,481) (2011 est.) |
| Median age: | total: 19.3 years |
| Median age: | male: 19 years |
| Median age: | female: 19.5 years (2011 est.) |
| Population growth rate: | 2.762% (2011 est.) |
| Birth rate: | 35.58 births/1,000 population (2011 est.) |
| Death rate: | 7.96 deaths/1,000 population (July 2011 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2011 est.) |
| Urbanization: | urban population: 43% of total population (2010) |
| Urbanization: | rate of urbanization: 3.9% annual rate of change (2010-15 est.) |
| Major cities - population: | LOME (capital) 1.593 million (2009) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | under 15 years: 1 male(s)/female |
| Sex ratio: | 15-64 years: 0.96 male(s)/female |
| Sex ratio: | 65 years and over: 0.63 male(s)/female |
| Sex ratio: | total population: 0.97 male(s)/female (2011 est.) |
| Maternal mortality rate: | 350 deaths/100,000 live births (2008) |
| Infant mortality rate: | total: 51.48 deaths/1,000 live births |
| Infant mortality rate: | male: 58.43 deaths/1,000 live births |
| Infant mortality rate: | female: 44.32 deaths/1,000 live births (2011 est.) |
| Life expectancy at birth: | total population: 62.71 years |
| Life expectancy at birth: | male: 60.19 years |
| Life expectancy at birth: | female: 65.3 years (2011 est.) |
| Total fertility rate: | 4.69 children born/woman (2011 est.) |
| Health expenditures: | 5.9% of GDP (2009) |
| Physicians density: | 0.053 physicians/1,000 population (2008) |
| Hospital bed density: | 0.85 beds/1,000 population (2005) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 87% of population |
| Drinking water source: | rural: 41% of population |
| Drinking water source: | total: 60% of population |
| unimproved: | urban: 13% of population |
| unimproved: | rural: 59% of population |
| unimproved: | total: 40% of population (2008) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 24% of population |
| Sanitation facility access: | rural: 3% of population |
| Sanitation facility access: | total: 12% of population |
| unimproved: | urban: 76% of population |
| unimproved: | rural: 97% of population |
| unimproved: | total: 88% of population (2008) |
| HIV/AIDS - adult prevalence rate: | 3.2% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 120,000 (2009 est.) |
| HIV/AIDS - deaths: | 7,700 (2009 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria and yellow fever |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | respiratory disease: meningococcal meningitis |
| Major infectious diseases: | animal contact disease: rabies |
| Major infectious diseases: | note: highly pathogenic H5N1 avian influenza has been identified in this country; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds (2009) |
| Children under the age of 5 years underweight: | 20.5% (2008) |
| Education expenditures: | 4.6% of GDP (2009) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 60.9% |
| Literacy: | male: 75.4% |
| Literacy: | female: 46.9% (2003 est.) |
| School life expectancy (primary to tertiary education): | total: 10 years |
| School life expectancy (primary to tertiary education): | male: 11 years |
| School life expectancy (primary to tertiary education): | female: 8 years (2007) |
