| People and Society | Togo |
| --- | --- |
| Nationality: | noun: Togolese (singular and plural) |
| Nationality: | adjective: Togolese |
| Ethnic groups: | African (37 tribes; largest and most important are Ewe, Mina, and Kabre) 99%, European and Syrian-Lebanese less than 1% |
| Languages: | French (official, the language of commerce), Ewe and Mina (the two major African languages in the south), Kabye (sometimes spelled Kabiye) and Dagomba (the two major African languages in the north) |
| Religions: | Christian 29%, Muslim 20%, indigenous beliefs 51% |
| Population: | 6,961,049 (July 2012 est.) |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected |
| Age structure: | 0-14 years: 40.8% (male 1,424,148/ female 1,417,072) |
| Age structure: | 15-64 years: 56% (male 1,931,586/ female 1,966,298) |
| Age structure: | 65 years and over: 3.2% (male 96,386/ female 125,559) (2012 est.) |
| Age structure: | population pyramid: [] |
| Median age: | total: 19.4 years |
| Median age: | male: 19.1 years |
| Median age: | female: 19.6 years (2012 est.) |
| Population growth rate: | 2.748% (2012 est.) |
| Birth rate: | 35.26 births/1,000 population (2012 est.) |
| Death rate: | 7.78 deaths/1,000 population (July 2012 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2012 est.) |
| Urbanization: | urban population: 43% of total population (2010) |
| Urbanization: | rate of urbanization: 3.9% annual rate of change (2010-15 est.) |
| Major cities - population: | LOME (capital) 1.593 million (2009) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | under 15 years: 1 male(s)/female |
| Sex ratio: | 15-64 years: 0.98 male(s)/female |
| Sex ratio: | 65 years and over: 0.77 male(s)/female |
| Sex ratio: | total population: 0.98 male(s)/female (2011 est.) |
| Maternal mortality rate: | 300 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 49.87 deaths/1,000 live births |
| Infant mortality rate: | male: 56.72 deaths/1,000 live births |
| Infant mortality rate: | female: 42.82 deaths/1,000 live births (2012 est.) |
| Life expectancy at birth: | total population: 63.17 years |
| Life expectancy at birth: | male: 60.64 years |
| Life expectancy at birth: | female: 65.77 years (2012 est.) |
| Total fertility rate: | 4.64 children born/woman (2012 est.) |
| Health expenditures: | 5.9% of GDP (2009) |
| Physicians density: | 0.053 physicians/1,000 population (2008) |
| Hospital bed density: | 0.85 beds/1,000 population (2005) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 24% of population |
| Sanitation facility access: | rural: 3% of population |
| Sanitation facility access: | total: 12% of population |
| unimproved: | urban: 76% of population |
| unimproved: | rural: 97% of population |
| unimproved: | total: 88% of population |
| HIV/AIDS - adult prevalence rate: | 3.2% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 120,000 (2009 est.) |
| HIV/AIDS - deaths: | 7,700 (2009 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria and yellow fever |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | respiratory disease: meningococcal meningitis |
| Major infectious diseases: | animal contact disease: rabies |
| Major infectious diseases: | note: highly pathogenic H5N1 avian influenza has been identified in this country; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds (2009) |
| Children under the age of 5 years underweight: | 20.5% (2008) |
| Education expenditures: | 4.6% of GDP (2009) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 60.9% |
| Literacy: | male: 75.4% |
| Literacy: | female: 46.9% (2003 est.) |
| School life expectancy (primary to tertiary education): | total: 10 years |
| School life expectancy (primary to tertiary education): | male: 11 years |
| School life expectancy (primary to tertiary education): | female: 8 years (2007) |
