| People and Society | Togo |
| --- | --- |
| Population: | 8,608,444 (July 2020 est.) |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected |
| Nationality: | noun: Togolese (singular and plural) |
| Nationality: | adjective: Togolese |
| Ethnic groups: | Adja-Ewe/Mina 42.4%, Kabye/Tem 25.9%, Para-Gourma/Akan 17.1%, Akposso/Akebu 4.1%, Ana-Ife 3.2%, other Togolese 1.7%, foreigners 5.2%, no response .4% (2013-14 est.) |
| Ethnic groups: | note: Togo has an estimated 37 ethnic groups |
| Languages: | French (official, the language of commerce), Ewe and Mina (the two major African languages in the south), Kabye (sometimes spelled Kabiye) and Dagomba (the two major African languages in the north) |
| Religions: | Christian 43.7%, folk 35.6%, Muslim 14%, Hindu <.1%, Buddhist <.1%, Jewish <.1%, other .5%, none 6.2% (2010 est.) |
| Demographic profile: | Togoâ€™s population is estimated to have grown to four times its size between 1960 and 2010. With nearly 60% of its populace under the age of 25 and a high annual growth rate attributed largely to high fertility, Togoâ€™s population is likely to continue to expand for the foreseeable future. Reducing fertility, boosting job creation, and improving education will be essential to reducing the countryâ€™s high poverty rate. In 2008, Togo eliminated primary school enrollment fees, leading to higher enrollment but increased pressure on limited classroom space, teachers, and materials. Togo has a good chance of achieving universal primary education, but educational quality, the underrepresentation of girls, and the low rate of enrollment in secondary and tertiary schools remain concerns. |
| Demographic profile: | Togo is both a country of emigration and asylum. In the early 1990s, southern Togo suffered from the economic decline of the phosphate sector and ethnic and political repression at the hands of dictator Gnassingbe EYADEMA and his northern, Kabye-dominated administration. The turmoil led 300,000 to 350,000 predominantly southern Togolese to flee to Benin and Ghana, with most not returning home until relative stability was restored in 1997. In 2005, another outflow of 40,000 Togolese to Benin and Ghana occurred when violence broke out between the opposition and security forces over the disputed election of EYADEMAâ€™s son Faure GNASSINGBE to the presidency. About half of the refugees reluctantly returned home in 2006, many still fearing for their safety. Despite ethnic tensions and periods of political unrest, Togo in September 2017 was home to more than 9,600 refugees from Ghana. |
| Age structure: | 0-14 years: 39.73% (male 1,716,667/female 1,703,230) |
| Age structure: | 15-24 years: 19.03% (male 817,093/female 820,971) |
| Age structure: | 25-54 years: 33.26% (male 1,423,554/female 1,439,380) |
| Age structure: | 55-64 years: 4.42% (male 179,779/female 200,392) |
| Age structure: | 65 years and over: 3.57% (male 132,304/female 175,074) (2020 est.) |
| Dependency ratios: | total dependency ratio: 77.1 |
| Dependency ratios: | youth dependency ratio: 72 |
| Dependency ratios: | elderly dependency ratio: 5.1 |
| Dependency ratios: | potential support ratio: 19.4 (2020 est.) |
| Median age: | total: 20 years |
| Median age: | male: 19.7 years |
| Median age: | female: 20.3 years (2020 est.) |
| Population growth rate: | 2.56% (2020 est.) |
| Birth rate: | 32 births/1,000 population (2020 est.) |
| Death rate: | 6.5 deaths/1,000 population (2020 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | one of the more densely populated African nations with most of the population residing in rural communities, density is highest in the south on or near the Atlantic coast as shown in this population distribution map |
| Urbanization: | urban population: 42.8% of total population (2020) |
| Urbanization: | rate of urbanization: 3.76% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 1.828 million LOME (capital) (2020) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.01 male(s)/female |
| Sex ratio: | 15-24 years: 1 male(s)/female |
| Sex ratio: | 25-54 years: 0.99 male(s)/female |
