| People and Society | COOK ISLANDS |
| --- | --- |
| Population: | 9,290 (July 2017 est.) |
| Population: | note: the Cook Islands' Ministry of Finance & Economic Management estimated the resident population to have been 11,700 in September 2016 |
| Nationality: | noun: Cook Islander(s) |
| Nationality: | adjective: Cook Islander |
| Ethnic groups: | Cook Island Maori (Polynesian) 81.3%, part Cook Island Maori 6.7%, other 11.9% (2011 est.) |
| Languages: | English (official) 86.4%, Cook Islands Maori (Rarotongan) (official) 76.2%, other 8.3% |
| Languages: | note: shares sum to more than 100% because some respondents gave more than one answer on the census (2011 est.) |
| Religions: | Protestant 62.8% (Cook Islands Christian Church 49.1%, Seventh Day Adventist 7.9%, Assemblies of God 3.7%, Apostolic Church 2.1%), Roman Catholic 17%, Mormon 4.4%, other 8%, none 5.6%, no response 2.2% (2011 est.) |
| Age structure: | 0-14 years: 21.12% (male 1,036/female 926) |
| Age structure: | 15-24 years: 16.63% (male 826/female 719) |
| Age structure: | 25-54 years: 38.09% (male 1,767/female 1,772) |
| Age structure: | 55-64 years: 11.99% (male 603/female 511) |
| Age structure: | 65 years and over: 12.16% (male 557/female 573) (2017 est.) |
| Median age: | total: 36.6 years |
| Median age: | male: 36 years |
| Median age: | female: 37 years (2017 est.) |
| Population growth rate: | -2.79% (2017 est.) |
| Birth rate: | 14 births/1,000 population (2017 est.) |
| Death rate: | 8.4 deaths/1,000 population (2017 est.) |
| Population distribution: | most of the population is found on the island of Rarotonga |
| Urbanization: | urban population: 75% of total population (2017) |
| Urbanization: | rate of urbanization: 0.8% annual rate of change (2015-20 est.) |
| Sex ratio: | at birth: 1.04 male(s)/female |
| Sex ratio: | 0-14 years: 1.12 male(s)/female |
| Sex ratio: | 15-24 years: 1.14 male(s)/female |
| Sex ratio: | 25-54 years: 1 male(s)/female |
| Sex ratio: | 55-64 years: 1.17 male(s)/female |
| Sex ratio: | 65 years and over: 0.97 male(s)/female |
| Sex ratio: | total population: 1.07 male(s)/female (2016 est.) |
| Infant mortality rate: | total: 13 deaths/1,000 live births |
| Infant mortality rate: | male: 15.8 deaths/1,000 live births |
| Infant mortality rate: | female: 10.1 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 76 years |
| Life expectancy at birth: | male: 73.2 years |
| Life expectancy at birth: | female: 79 years (2017 est.) |
| Total fertility rate: | 2.19 children born/woman (2017 est.) |
| Health expenditures: | 3.4% of GDP (2014) |
| Physicians density: | 1.19 physicians/1,000 population (2009) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99.9% of population |
| Drinking water source: | rural: 99.9% of population |
| Drinking water source: | total: 99.9% of population |
| unimproved: | urban: 0.1% of population |
| unimproved: | rural: 0.1% of population |
| unimproved: | total: 0.1% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 97.6% of population |
| Sanitation facility access: | rural: 97.6% of population |
| Sanitation facility access: | total: 97.6% of population |
| unimproved: | urban: 2.4% of population |
| unimproved: | rural: 2.4% of population |
| unimproved: | total: 2.4% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 55.9% (2016) |
| Education expenditures: | 4% of GDP (2015) |
| School life expectancy (primary to tertiary education): | total: 15 years |
| School life expectancy (primary to tertiary education): | male: 15 years |
| School life expectancy (primary to tertiary education): | female: 16 years (2015) |
