| People and Society | SAINT BARTHELEMY |
| --- | --- |
| Ethnic groups: | white, Creole (mulatto), black, Guadeloupe Mestizo (French-East Asia) |
| Languages: | French (primary), English |
| Religions: | Roman Catholic, Protestant, Jehovah's Witnesses |
| Population: | 7,237 (July 2015 est.) |
| Age structure: | 0-14 years: 17.36% (male 645/female 611) |
| Age structure: | 15-24 years: 7.03% (male 269/female 240) |
| Age structure: | 25-54 years: 45.32% (male 1,783/female 1,497) |
| Age structure: | 55-64 years: 15.3% (male 602/female 505) |
| Age structure: | 65 years and over: 14.99% (male 542/female 543) (2015 est.) |
| population pyramid: | Median age: |
| population pyramid: | total: 42.4 years |
| population pyramid: | male: 42.4 years |
| population pyramid: | female: 42.3 years (2014 est.) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.12 male(s)/female |
| Sex ratio: | 25-54 years: 1.19 male(s)/female |
| Sex ratio: | 55-64 years: 1.19 male(s)/female |
| Sex ratio: | 65 years and over: 1 male(s)/female |
| Sex ratio: | total population: 1.13 male(s)/female (2015 est.) |
