| People and Society | Saint Barthelemy |
| --- | --- |
| Ethnic groups: | white, Creole (mulatto), black, Guadeloupe Mestizo (French-East Asia) |
| Languages: | French (primary), English |
| Religions: | Roman Catholic, Protestant, Jehovah's Witnesses |
| Population: | 7,267 (July 2014 est.) |
| Age structure: | 0-14 years: 17.8% (male 664/female 631) |
| Age structure: | 15-24 years: 6.9% (male 262/female 237) |
| Age structure: | 25-54 years: 46.1% (male 1,829/female 1,524) |
| Age structure: | 55-64 years: 15% (male 590/female 501) |
| Age structure: | 65 years and over: 13.3% (male 514/female 515) (2014 est.) |
| population pyramid: | Median age: |
| population pyramid: | total: 42.4 years |
| population pyramid: | male: 42.4 years |
| population pyramid: | female: 42.3 years (2014 est.) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.11 male(s)/female |
| Sex ratio: | 25-54 years: 1.2 male(s)/female |
| Sex ratio: | 55-64 years: 1.13 male(s)/female |
| Sex ratio: | 65 years and over: 1 male(s)/female |
| Sex ratio: | total population: 1.14 male(s)/female (2014 est.) |
