| People and Society | Portugal |
| --- | --- |
| Nationality: | noun: Portuguese (singular and plural) |
| Nationality: | adjective: Portuguese |
| Ethnic groups: | homogeneous Mediterranean stock; citizens of black African descent who immigrated to mainland during decolonization number less than 100,000; since 1990 East Europeans have entered Portugal |
| Languages: | Portuguese (official), Mirandese (official, but locally used) |
| Religions: | Roman Catholic 84.5%, other Christian 2.2%, other 0.3%, unknown 9%, none 3.9% (2001 census) |
| Population: | 10,799,270 (July 2013 est.) |
| Age structure: | 0-14 years: 16% (male 900,758/female 827,219) |
| Age structure: | 15-24 years: 11.4% (male 655,365/female 581,010) |
| Age structure: | 25-54 years: 42.4% (male 2,303,445/female 2,270,380) |
| Age structure: | 55-64 years: 11.8% (male 595,464/female 681,506) |
| Age structure: | 65 years and over: 18.4% (male 811,005/female 1,173,118) (2013 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 50.5 % |
| population pyramid: | youth dependency ratio: 22.2 % |
| population pyramid: | elderly dependency ratio: 28.2 % |
| population pyramid: | potential support ratio: 3.5 (2013) |
| Median age: | total: 40.7 years |
| Median age: | male: 38.6 years |
| Median age: | female: 42.9 years (2013 est.) |
| Population growth rate: | 0.15% (2013 est.) |
| Birth rate: | 9.59 births/1,000 population (2013 est.) |
| Death rate: | 10.91 deaths/1,000 population (2013 est.) |
| Net migration rate: | 2.82 migrant(s)/1,000 population (2013 est.) |
| Urbanization: | urban population: 61% of total population (2010) |
| Urbanization: | rate of urbanization: 1% annual rate of change (2010-15 est.) |
| Major urban areas - population: | LISBON (capital) 2.808 million; Porto 1.344 million (2009) |
| Sex ratio: | at birth: 1.07 male(s)/female |
| Sex ratio: | 0-14 years: 1.09 male(s)/female |
| Sex ratio: | 15-24 years: 1.13 male(s)/female |
| Sex ratio: | 25-54 years: 1.01 male(s)/female |
| Sex ratio: | 55-64 years: 0.87 male(s)/female |
| Sex ratio: | 65 years and over: 0.69 male(s)/female |
| Sex ratio: | total population: 0.95 male(s)/female (2013 est.) |
| Mother's mean age at first birth: | 27.4 (2005 est.) |
| Maternal mortality rate: | 8 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 4.54 deaths/1,000 live births |
| Infant mortality rate: | male: 4.98 deaths/1,000 live births |
| Infant mortality rate: | female: 4.07 deaths/1,000 live births (2013 est.) |
| Life expectancy at birth: | total population: 78.85 years |
| Life expectancy at birth: | male: 75.61 years |
| Life expectancy at birth: | female: 82.32 years (2013 est.) |
| Total fertility rate: | 1.51 children born/woman (2013 est.) |
| Contraceptive prevalence rate: | 86.8% (2005/06) |
| Health expenditures: | 10.4% of GDP (2011) |
| Physicians density: | 3.76 physicians/1,000 population (2009) |
| Hospital bed density: | 3.4 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 99% of population |
| unimproved: | urban: 1% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 1% of population (2010 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 100% of population |
| Sanitation facility access: | rural: 100% of population |
| Sanitation facility access: | total: 100% of population (2010 est.) |
| HIV/AIDS - adult prevalence rate: | 0.6% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 42,000 (2009 est.) |
| HIV/AIDS - deaths: | fewer than 500 (2009 est.) |
| Obesity - adult prevalence rate: | 24% (2008) |
| Education expenditures: | 5.8% of GDP (2009) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 95.4% |
| Literacy: | male: 97% |
| Literacy: | female: 94% (2011 est.) |
| School life expectancy (primary to tertiary education): | total: 16 years |
| School life expectancy (primary to tertiary education): | male: 16 years |
| School life expectancy (primary to tertiary education): | female: 16 years (2010) |
| Child labor - children ages 5-14: | total number: 36,569 |
| Child labor - children ages 5-14: | percentage: 3 % |
| Child labor - children ages 5-14: | note: data represents children ages 6-14 (2001 est.) |
| Unemployment, youth ages 15-24: | total: 30.1% |
| Unemployment, youth ages 15-24: | male: 28.7% |
| Unemployment, youth ages 15-24: | female: 31.7% (2011) |
