| People and Society | PORTUGAL |
| --- | --- |
| Population: | 10,839,514 (July 2017 est.) |
| Nationality: | noun: Portuguese (singular and plural) |
| Nationality: | adjective: Portuguese |
| Ethnic groups: | homogeneous Mediterranean stock; citizens of black African descent who immigrated to mainland during decolonization number less than 100,000; since 1990 East Europeans have entered Portugal |
| Languages: | Portuguese (official), Mirandese (official, but locally used) |
| Religions: | Roman Catholic 81%, other Christian 3.3%, other (includes Jewish, Muslim, other) 0.6%, none 6.8%, unspecified 8.3% |
| Religions: | note: represents population 15 years of age and older (2011 est.) |
| Age structure: | 0-14 years: 15.34% (male 866,004/female 797,004) |
| Age structure: | 15-24 years: 11.36% (male 653,672/female 577,800) |
| Age structure: | 25-54 years: 41.72% (male 2,298,920/female 2,223,184) |
| Age structure: | 55-64 years: 12.18% (male 617,036/female 702,992) |
| Age structure: | 65 years and over: 19.4% (male 861,270/female 1,241,632) (2017 est.) |
| Dependency ratios: | total dependency ratio: 53.4 |
| Dependency ratios: | youth dependency ratio: 21.6 |
| Dependency ratios: | elderly dependency ratio: 31.8 |
| Dependency ratios: | potential support ratio: 3.1 (2015 est.) |
| Median age: | total: 42.2 years |
| Median age: | male: 40.2 years |
| Median age: | female: 44.4 years (2017 est.) |
| Population growth rate: | 0.04% (2017 est.) |
| Birth rate: | 9 births/1,000 population (2017 est.) |
| Death rate: | 11.1 deaths/1,000 population (2017 est.) |
| Net migration rate: | 2.5 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | concentrations are primarily along or near the Atlantic coast; both Lisbon and the second largest city, Porto, are coastal cities |
| Urbanization: | urban population: 64.6% of total population (2017) |
| Urbanization: | rate of urbanization: 0.76% annual rate of change (2015-20 est.) |
| Major urban areas - population: | LISBON (capital) 2.884 million; Porto 1.299 million (2015) |
| Sex ratio: | at birth: 1.07 male(s)/female |
| Sex ratio: | 0-14 years: 1.09 male(s)/female |
| Sex ratio: | 15-24 years: 1.13 male(s)/female |
| Sex ratio: | 25-54 years: 1.03 male(s)/female |
| Sex ratio: | 55-64 years: 0.88 male(s)/female |
| Sex ratio: | 65 years and over: 0.69 male(s)/female |
| Sex ratio: | total population: 0.96 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 30.2 years (2015 est.) |
| Maternal mortality rate: | 10 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 4.3 deaths/1,000 live births |
| Infant mortality rate: | male: 4.8 deaths/1,000 live births |
| Infant mortality rate: | female: 3.9 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 79.4 years |
| Life expectancy at birth: | male: 76.2 years |
| Life expectancy at birth: | female: 82.9 years (2017 est.) |
| Total fertility rate: | 1.53 children born/woman (2017 est.) |
| Contraceptive prevalence rate: | 73.9% (2014) |
| Health expenditures: | 9.5% of GDP (2014) |
| Physicians density: | 4.43 physicians/1,000 population (2014) |
| Hospital bed density: | 3.4 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 99.6% of population |
| Sanitation facility access: | rural: 99.8% of population |
| Sanitation facility access: | total: 99.7% of population |
| unimproved: | urban: 0.4% of population |
| unimproved: | rural: 0.2% of population |
| unimproved: | total: 0.3% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 20.8% (2016) |
| Education expenditures: | 5.3% of GDP (2013) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 95.7% |
| Literacy: | male: 97.1% |
| Literacy: | female: 94.4% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 17 years |
| School life expectancy (primary to tertiary education): | male: 17 years |
| School life expectancy (primary to tertiary education): | female: 17 years (2014) |
| Unemployment, youth ages 15-24: | total: 28% |
| Unemployment, youth ages 15-24: | male: 27.2% |
| Unemployment, youth ages 15-24: | female: 28.8% (2016 est.) |
