| People and Society | PORTUGAL |
| --- | --- |
| Nationality: | noun: Portuguese (singular and plural) |
| Nationality: | adjective: Portuguese |
| Ethnic groups: | homogeneous Mediterranean stock; citizens of black African descent who immigrated to mainland during decolonization number less than 100,000; since 1990 East Europeans have entered Portugal |
| Languages: | Portuguese (official), Mirandese (official, but locally used) |
| Religions: | Roman Catholic 81%, other Christian 3.3%, other (includes Jewish, Muslim, other) 0.6%, none 6.8%, unspecified 8.3% |
| Religions: | notes: represents population 15 years of age and older (2011 est.) |
| Population: | 10,825,309 (July 2015 est.) |
| Age structure: | 0-14 years: 15.68% (male 884,389/female 812,685) |
| Age structure: | 15-24 years: 11.41% (male 655,259/female 580,020) |
| Age structure: | 25-54 years: 42.05% (male 2,303,473/female 2,248,914) |
| Age structure: | 55-64 years: 11.97% (male 604,549/female 691,216) |
| Age structure: | 65 years and over: 18.89% (male 836,679/female 1,208,125) (2015 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 53.5% |
| population pyramid: | youth dependency ratio: 21.6% |
| population pyramid: | elderly dependency ratio: 31.9% |
| population pyramid: | potential support ratio: 3.1% (2015 est.) |
| Median age: | total: 41.5 years |
| Median age: | male: 39.4 years |
| Median age: | female: 43.6 years (2015 est.) |
| Population growth rate: | 0.09% (2015 est.) |
| Birth rate: | 9.27 births/1,000 population (2015 est.) |
| Death rate: | 11.02 deaths/1,000 population (2015 est.) |
| Net migration rate: | 2.67 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 63.5% of total population (2015) |
| Urbanization: | rate of urbanization: 0.97% annual rate of change (2010-15 est.) |
| Major urban areas - population: | LISBON (capital) 2.884 million; Porto 1.299 million (2015) |
| Sex ratio: | at birth: 1.07 male(s)/female |
| Sex ratio: | 0-14 years: 1.09 male(s)/female |
| Sex ratio: | 15-24 years: 1.13 male(s)/female |
| Sex ratio: | 25-54 years: 1.02 male(s)/female |
| Sex ratio: | 55-64 years: 0.88 male(s)/female |
| Sex ratio: | 65 years and over: 0.69 male(s)/female |
| Sex ratio: | total population: 0.95 male(s)/female (2015 est.) |
| Infant mortality rate: | total: 4.43 deaths/1,000 live births |
| Infant mortality rate: | male: 4.86 deaths/1,000 live births |
| Infant mortality rate: | female: 3.97 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 79.16 years |
| Life expectancy at birth: | male: 75.92 years |
| Life expectancy at birth: | female: 82.62 years (2015 est.) |
| Total fertility rate: | 1.52 children born/woman (2015 est.) |
| Contraceptive prevalence rate: | 86.8% (2005/06) |
| Health expenditures: | 9.7% of GDP (2013) |
| Physicians density: | 4.1 physicians/1,000 population (2012) |
| Hospital bed density: | 3.4 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 99.6% of population |
| Sanitation facility access: | rural: 99.8% of population |
| Sanitation facility access: | total: 99.7% of population |
| unimproved: | urban: 0.4% of population |
| unimproved: | rural: 0.2% of population |
| unimproved: | total: 0.3% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 22.1% (2014) |
| Education expenditures: | 5.3% of GDP (2011) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 95.7% |
| Literacy: | male: 97.1% |
| Literacy: | female: 94.4% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 16 years |
| School life expectancy (primary to tertiary education): | male: 16 years |
| School life expectancy (primary to tertiary education): | female: 17 years (2012) |
| Child labor - children ages 5-14: | total number: 36,569 |
| Child labor - children ages 5-14: | percentage: 3% |
| Child labor - children ages 5-14: | note: data represents children ages 6-14 (2001 est.) |
| Unemployment, youth ages 15-24: | total: 37.6% |
| Unemployment, youth ages 15-24: | male: 36.4% |
| Unemployment, youth ages 15-24: | female: 39.1% (2012 est.) |
