| People | World |
| --- | --- |
| Population: | 6,302,309,691 (July 2003 est.) |
| Age structure: | 0-14 years: 29.2% (male 932,581,592; female 885,688,851) |
| Age structure: | 15-64 years: 63.7% (male 2,009,997,089; female 1,964,938,201) |
| Age structure: | 65 years and over: 7.1% (male 193,549,180; female 247,067,032) (2003 est.) |
| Age structure: | note: some countries do not maintain age structure information, thus a slight discrepancy exists between the total world population and the total for world age structure |
| Population growth rate: | 1.17% (2003 est.) |
| Birth rate: | 20.43 births/1,000 population (2003 est.) |
| Death rate: | 8.83 deaths/1,000 population (2003 est.) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | under 15 years: 1.05 male(s)/female |
| Sex ratio: | 15-64 years: 1.02 male(s)/female |
| Sex ratio: | 65 years and over: 0.78 male(s)/female |
| Sex ratio: | total population: 1.01 male(s)/female (2003 est.) |
| Infant mortality rate: | total: 51.38 deaths/1,000 live births |
| Infant mortality rate: | male: 53.81 deaths/1,000 live births |
| Infant mortality rate: | female: 48.83 deaths/1,000 live births (2003 est.) |
| Life expectancy at birth: | total population: 63.95 years |
| Life expectancy at birth: | male: 62 years |
| Life expectancy at birth: | female: 70.23 years (2003 est.) |
| Total fertility rate: | 2.65 children born/woman (2003 est.) |
| HIV/AIDS - adult prevalence rate: | NA% |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Religions: | Christians 32.79% (of which Roman Catholics 17.33%, Protestants 5.62%, Orthodox 3.51%, Anglicans 1.31%), Muslims 19.6%, Hindus 13.31%, Buddhists 5.88%, Sikhs 0.38%, Jews 0.24%, other religions 12.83%, non-religious 12.53%, atheists 2.44% (2001 est.) |
| Languages: | Chinese, Mandarin 14.37%, Hindi 6.02%, English 5.61%, Spanish 5.59%, Bengali 3.4%, Portuguese 2.63%, Russian 2.75%, Japanese 2.06%, German, Standard 1.64%, Korean 1.28%, French 1.27% (2000 est.) |
| Languages: | note: percents are for "first language" speakers only |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 77% |
| Literacy: | male: 83% |
| Literacy: | female: 71% (1995 est.) |
