| People and Society | World |
| --- | --- |
| Languages: | Mandarin Chinese 12.44%, Spanish 4.85%, English 4.83%, Arabic 3.25%, Hindi 2.68%, Bengali 2.66%, Portuguese 2.62%, Russian 2.12%, Japanese 1.8%, Standard German 1.33%, Javanese 1.25% (2009 est.) |
| Languages: | note 1: percents are for "first language" speakers only; the six UN languages - Arabic, Chinese (Mandarin), English, French, Russian, and Spanish (Castilian) - are the mother tongue or second language of about half of the world's population, and are the official languages in more than half the states in the world; some 150 to 200 languages have more than a million speakers |
| note 2: | all told, there are an estimated 7,100 languages spoken in the world; aproximately 80% of these languages are spoken by less than 100,000 people; about 50 languages are spoken by only 1 person; communities that are isolated from each other in mountainous regions often develop multiple languages; Papua New Guinea, for example, boasts about 836 separate languages |
| note 3: | approximately 2,300 languages are spoken in Asia, 2,150, in Africa, 1,300 in the Pacific, 1,060 in the Americas, and 280 in Europe |
| Religions: | Christian 33.39% (of which Roman Catholic 16.85%, Protestant 6.15%, Orthodox 3.96%, Anglican 1.26%), Muslim 22.74%, Hindu 13.8%, Buddhist 6.77%, Sikh 0.35%, Jewish 0.22%, Baha'i 0.11%, other religions 10.95%, non-religious 9.66%, atheists 2.01% (2010 est.) |
| Population: | 7,174,611,584 (July 2014 est.) |
| Population: | top ten most populous countries (in millions): China 1355.69; India 1,236.34; United States 318.89; Indonesia 253.61; Brazil 202.66; Pakistan 196.17; Nigeria 177.16; Bangladesh 166.28; Russia 142.47; Japan 127.10 |
| Age structure: | 0-14 years: 25.79% (male 956,360,171/female 893,629,520) |
| Age structure: | 15-24 years: 16.61% (male 613,806,639/female 577,904,561) |
| Age structure: | 25-54 years: 40.78% (male 1,478,739,525/female 1,447,244,791) |
| Age structure: | 55-64 years: 8.51% (male 298,092,946/female 312,206,795) |
| Age structure: | 65 years and over: 8.32% (male 265,453,689/female 331,172,947) (2014 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 52 % |
| population pyramid: | youth dependency ratio: 39.7 % |
| population pyramid: | elderly dependency ratio: 12.3 % |
| population pyramid: | potential support ratio: 8.1 (2014 est.) |
| Median age: | total: 29.7 years |
| Median age: | male: 28.9 years |
| Median age: | female: 30.4 years (2014 est.) |
| Population growth rate: | 1.064% |
| Population growth rate: | note: this rate results in about 145 net additions to the worldwide population every minute or 2.4 every second (2014 est.) |
| Birth rate: | 18.7 births/1,000 population |
| Birth rate: | note: this rate results in about 255 worldwide births per minute or 4.3 births every second (2014 est.) |
| Death rate: | 7.89 deaths/1,000 population |
| Death rate: | note: this rate results in about 108 worldwide deaths per minute or 1.8 deaths every second (2014 est.) |
| Urbanization: | urban population: 52.1% of total population (2011) |
| Urbanization: | rate of urbanization: 1.97% annual rate of change (2010-15 est.) |
| Urbanization: | ten largest urban agglomerations: Tokyo (Japan) - 37,217,000; Delhi (India) - 22,654,000; Mexico City (Mexico) - 20,446,000; New York-Newark (US) - 20,352,000; Shanghai (China) - 20,208,000; Sao Paulo (Brazil) - 19,924,000; Mumbai (India) - 19,744,000; Beijing (China) - 15,594,000; Dhaka (Bangladesh) - 15,391,000; Kolkata (India) - 14,402,000 (2011) |
| Sex ratio: | at birth: 1.07 male(s)/female |
| Sex ratio: | 0-14 years: 1.07 male(s)/female |
| Sex ratio: | 15-24 years: 1.062 male(s)/female |
| Sex ratio: | 25-54 years: 1.022 male(s)/female |
| Sex ratio: | 55-64 years: 0.955 male(s)/female |
| Sex ratio: | 65 years and over: 0.802 male(s)/female |
| Sex ratio: | total population: 1.014 male(s)/female (2014 est.) |
| Infant mortality rate: | total: 36.58 deaths/1,000 live births |
| Infant mortality rate: | male: 38.49 deaths/1,000 live births |
| Infant mortality rate: | female: 34.54 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 68.35 years |
| Life expectancy at birth: | male: 66.39 years |
| Life expectancy at birth: | female: 70.43 years (2014 est.) |
| Total fertility rate: | 2.43 children born/woman (2014 est.) |
| Hospital bed density: | 2.9 beds/1,000 population (2005) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 96.4% of population |
| Drinking water source: | rural: 81.4% of population |
| Drinking water source: | total: 89.4% of population |
| unimproved: | urban: 3.6% of population |
| unimproved: | rural: 18.4% of population |
| unimproved: | total: 10.6% of population (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 79.6% of population |
| Sanitation facility access: | rural: 47.2% of population |
| Sanitation facility access: | total: 64.2% of population |
| unimproved: | urban: 20.4% of population |
| unimproved: | rural: 52.8% of population |
| unimproved: | total: 35.8% of population (2012 est.) |
| HIV/AIDS - adult prevalence rate: | 0.8% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 35.3 million (2009 est.) |
| HIV/AIDS - deaths: | 1.6 million (2009 est.) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 84.1% |
| Literacy: | male: 88.6% |
| Literacy: | female: 79.7% |
| Literacy: | note: almost three-quarters of the world's 775 million illiterate adults are found in only ten countries (in descending order: India, China, Pakistan, Bangladesh, Nigeria, Ethiopia, Egypt, Brazil, Indonesia, and the Democratic Republic of the Congo); of all the illiterate adults in the world, two-thirds are women; extremely low literacy rates are concentrated in South and West Asia and Sub-Saharan Africa (2010 est.) |
| School life expectancy (primary to tertiary education): | total: 12 years |
| School life expectancy (primary to tertiary education): | male: 12 years |
| School life expectancy (primary to tertiary education): | female: 12 years (2011) |
