| People and Society | World |
| --- | --- |
| Population: | 7,684,292,383 (July 2020 est.) |
| Population: | top ten most populous countries (in millions): China 1394.02; India 1326.1; United States 332.64; Indonesia 267.03; Pakistan 233.5; Nigeria 214.03; Brazil 211.72; Bangladesh 162.65; Russia 141.72; Japan 128.65 |
| Population: | ten least populous countries: Holy See (Vatican City) 1,000; Saint Pierre and Miquelon 5,347; Montserrat 5,373; Saint Barthelemy 7,122; Saint Helena, Ascension, and Tristan de Cunha 7,862; Cook Islands 8,574; Nauru 9,785; Tuvalu 11,342; Wallis and Futuna 15,854; Anguilla 18,090 |
| Population: | ten most densely populated countries (population per sq km): Macau 21,789; Monaco 15,470; Singapore 8,756; Hong Kong 6,757; Gaza Strip 5,328; Gibraltar 4,551; Bahrain 1,980; Malta 1,447; Bermuda 1,329; Maldives 1,315 |
| Population: | ten least densely populated countries (population per sq km): Greenland less than 1; Mongolia 2; Western Sahara 2.5; Namibia 3.2; Australia 3.3; Iceland 3.5; Guyana 3.8; Libya 3.9; Mauritania 3.9; Suriname 3.9 |
| Languages: | most-spoken language:Â English 16.5%, Mandarin Chinese 14.6%, Hindi 8.3%, Spanish 7%, French 3.6%, Arabic 3.6%, Bengali 3.4%, Russian 3.4%, Portuguese 3.3%, Indonesian 2.6% (2020 est.) |
| Languages: | most-spoken first language: Mandarin Chinese 12.3%, Spanish 6%, English 5.1%, Arabic 5.1%, Hindi 3.5%, Bengali 3.3%, Portuguese 3%, Russian 2.1%, Japanese 1.7%, Punjabi, Western 1.3%, Javanese 1.1% (2018 est.) |
| Languages: | note 1: the six UN languages - Arabic, Chinese (Mandarin), English, French, Russian, and Spanish (Castilian) - are the mother tongue or second language of about 45% of the world's population, and are the official languages in more than half the states in the world; some 400 languages have more than a million first-language speakers (2018) |
| Languages: | note 2: all told, there are estimated to be just over 7,115 languages spoken in the world (2020); approximately 80% of these languages are spoken by less than 100,000 people; about 150 languages are spoken by less than 10 people; communities that are isolated from each other in mountainous regions often develop multiple languages; Papua New Guinea, for example, boasts about 840 separate languages (2018) |
| Languages: | note 3: approximately 2,300 languages are spoken in Asia, 2,140, in Africa, 1,310 in the Pacific, 1,060 in the Americas, and 290 in Europe (2020) |
| Religions: | Christian 31.2%, Muslim 24.1%, Hindu 15.1%, Buddhist 6.9%, folk religions 5.7%, Jewish 0.2%, other 0.8%, unaffiliated 16% (2015 est.) |
| Age structure: | 0-14 years: 25.33% (male 1,005,229,963/female 941,107,507) |
| Age structure: | 15-24 years: 15.42% (male 612,094,887/female 572,892,123) |
| Age structure: | 25-54 years: 40.67% (male 1,582,759,769/female 1,542,167,537) |
| Age structure: | 55-64 years: 9.09% (male 341,634,893/female 357,176,983) |
| Age structure: | 65 years and over: 9.49% (male 326,234,036/female 402,994,685) (2020 est.) |
| Dependency ratios: | total dependency ratio: 53.3 |
| Dependency ratios: | youth dependency ratio: 39 |
| Dependency ratios: | elderly dependency ratio: 14.3 |
| Dependency ratios: | potential support ratio: 7 (2020 est.) |
| Median age: | total: 31 years |
| Median age: | male: 30.3 years |
| Median age: | female: 31.8 years (2020 est.) |
| Population growth rate: | 1.03% (2020 est.) |
| Population growth rate: | note: this rate results in about 149 net additions to the worldwide population every minute or 2.5 every second |
| Birth rate: | 18.1 births/1,000 population (2020 est.) |
| Birth rate: | note: this rate results in about 259 worldwide births per minute or 4.3 births every second |
| Death rate: | 7.7 deaths/1,000 population (2020 est.) |
| Death rate: | note: this rate results in about 108 worldwide deaths per minute or 1.8 deaths every second |
| Population distribution: | six of the world's seven continents are widely and permanently inhabited; Asia is easily the most populous continent with about 60% of the world's population (China and India together account for over 35%); Africa comes in second with over 15% of the earth's populace, Europe has about 10%, North America 8%, South America almost 6%, and Oceania less than 1%; the harsh conditions on Antarctica prevent any permanent habitation |
| Urbanization: | urban population: 56.2% of total population (2020) |
| Urbanization: | rate of urbanization: 1.9% annual rate of change (2015-20 est.) |
