| People and Society | World |
| --- | --- |
| Population: | 7,405,107,650 (2017 est.) |
| Population: | top ten most populous countries (in millions): China 1379.3; India 1281.93; United States 326.63; Indonesia 260.58; Brazil 207.35; Pakistan 204.92; Nigeria 190.63; Bangladesh 157.83; Russia 142.26; Japan 126.45; |
| Population: | ten least populous countries: Holy See (Vatican City) 1,000; Montserrat 5,292; Saint Pierre and Miquelon 5,533; Saint Barthelemy 7,184; Saint Helena, Ascension, and Tristan de Cunha 7,828; Cook Islands 9,290; Tuvalu 11,052; Nauru 11359; Wallis and Futuna 15,714; Anguilla 17,087; |
| Population: | ten most densely populated countries (population per sq km): Macau 21,346; Monaco 15,322; Singapore 8,572; Hong Kong 6,702; Gaza Strip 4,987; Gibraltar 4,523; Bahrain 1,857; Maldives 1,318; Malta 1,317; Bermuda 1,312; |
| Population: | ten least densely populated countries (population per sq km): Greenland less than 1; Mongolia 2; Western Sahara 2.3; Australia 3; Namibia 3; Iceland 3.4; Mauritania 3.6; Guyana 3.7; Libya 3.8; Suriname 3.8 |
| Languages: | Mandarin Chinese 12.3%, Spanish 6%, English 5.1%, Arabic 5.1%, Hindi 3.5%, Bengali 3.3%, Portuguese 3%, Russian 2.1%, Japanese 1.7%, Punjabi, Western 1.3%, Javanese 1.1% (2018 est.) |
| Languages: | note 1: percents are for "first language" speakers only; the six UN languages - Arabic, Chinese (Mandarin), English, French, Russian, and Spanish (Castilian) - are the mother tongue or second language of about 45% of the world's population, and are the official languages in more than half the states in the world; some 400 languages have more than a million first-language speakers |
| Languages: | note 2: all told, there are an estimated 7,100 languages spoken in the world; approximately 80% of these languages are spoken by less than 100,000 people; about 150 languages are spoken by less than 10 people; communities that are isolated from each other in mountainous regions often develop multiple languages; Papua New Guinea, for example, boasts about 840 separate languages |
| Languages: | note 3: approximately 2,300 languages are spoken in Asia, 2,140, in Africa, 1,310 in the Pacific, 1,060 in the Americas, and 290 in Europe (2018) |
| Religions: | Christian 31.4%, Muslim 23.2%, Hindu 15%, Buddhist 7.1%, folk religions 5.9%, Jewish 0.2%, other 0.8%, unaffiliated 16.4% |
| Age structure: | 0-14 years: 25.44% (male 963,981,944/female 898,974,458) (2017 est.) |
| Age structure: | 15-24 years: 16.16% (male 611,311,930/female 572,229,547) (2017 est.) |
| Age structure: | 25-54 years: 41.12% (male 1,522,999,578/female 1,488,011,505) (2017 est.) |
| Age structure: | 55-64 years: 8.6% (male 307,262,939/female 322,668,546) (2017 est.) |
| Age structure: | 65 years and over: 8.68% (male 283,540,918/female 352,206,092) (2017 est.) |
| Dependency ratios: | total dependency ratio: 52.5 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 39.9 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 12.6 (2015 est.) |
| Dependency ratios: | potential support ratio: 7.9 (2015 est.) |
| Median age: | total: 30.6 years |
| Median age: | male: 29.9 years |
| Median age: | female: 31.4 years (2018 est.) |
| Population growth rate: | 1.06% (2017 est.) |
| Population growth rate: | note: this rate results in about 149 net additions to the worldwide population every minute or 2.5 every second |
| Birth rate: | 18.4 births/1,000 population (2017 est.) |
| Birth rate: | note: this rate results in about 259 worldwide births per minute or 4.3 births every second |
