| People and Society | ANDORRA |
| --- | --- |
| Population: | 76,965 (July 2017 est.) |
| Nationality: | noun: Andorran(s) |
| Nationality: | adjective: Andorran |
| Ethnic groups: | Andorran 46.2%, Spanish 26.4%, Portuguese 12.8%, French 5%, other 9.6% (2016 est.) |
| Languages: | Catalan (official), French, Castilian, Portuguese |
| Religions: | Roman Catholic (predominant) |
| Age structure: | 0-14 years: 14.4% (male 6,340/female 6,003) |
| Age structure: | 15-24 years: 9.64% (male 4,289/female 3,976) |
| Age structure: | 25-54 years: 46.18% (male 20,233/female 19,348) |
| Age structure: | 55-64 years: 14.16% (male 6,458/female 5,677) |
| Age structure: | 65 years and over: 15.61% (male 6,788/female 6,590) (2017 est.) |
| Median age: | total: 44.3 years |
| Median age: | male: 44.4 years |
| Median age: | female: 44.1 years (2017 est.) |
| Population growth rate: | 0.03% (2017 est.) |
| Birth rate: | 7.5 births/1,000 population (2017 est.) |
| Death rate: | 7.3 deaths/1,000 population (2017 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | population is unevenly distributed and is concentrated in the 7 urbanized valleys that make up the country's parishes (political administrative divisions) |
| Urbanization: | urban population: 84.1% of total population (2017) |
| Urbanization: | rate of urbanization: 0.09% annual rate of change (2015-20 est.) |
| Major urban areas - population: | ANDORRA LA VELLA (capital) 23,000 (2014) |
| Sex ratio: | at birth: 1.07 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.08 male(s)/female |
| Sex ratio: | 25-54 years: 1.05 male(s)/female |
| Sex ratio: | 55-64 years: 1.15 male(s)/female |
| Sex ratio: | 65 years and over: 1.02 male(s)/female |
| Sex ratio: | total population: 1.06 male(s)/female (2016 est.) |
| Infant mortality rate: | total: 3.6 deaths/1,000 live births |
| Infant mortality rate: | male: 3.6 deaths/1,000 live births |
| Infant mortality rate: | female: 3.6 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 82.9 years |
| Life expectancy at birth: | male: 80.7 years |
| Life expectancy at birth: | female: 85.2 years (2017 est.) |
| Total fertility rate: | 1.4 children born/woman (2017 est.) |
| Health expenditures: | 8.1% of GDP (2014) |
| Physicians density: | 3.69 physicians/1,000 population (2015) |
| Hospital bed density: | 2.5 beds/1,000 population (2009) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 100% of population |
| Sanitation facility access: | rural: 100% of population |
| Sanitation facility access: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 25.6% (2016) |
| Education expenditures: | 3.1% of GDP (2014) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 100% |
| Literacy: | male: 100% |
| Literacy: | female: 100% (2016 est.) |
