| People and Society | AZERBAIJAN |
| --- | --- |
| Nationality: | noun: Azerbaijani(s) |
| Nationality: | adjective: Azerbaijani |
| Ethnic groups: | Azerbaijani 91.6%, Lezgian 2%, Russian 1.3%, Armenian 1.3%, Talysh 1.3%, other 2.4% |
| Ethnic groups: | note: the separatist Nagorno-Karabakh region is populated almost entirely by ethnic Armenians (2009 est.) |
| Languages: | Azerbaijani (Azeri) (official) 92.5%, Russian 1.4%, Armenian 1.4%, other 4.7% (2009 est.) |
| Religions: | Muslim 96.9% (predominantly Shia), Christian 3%, other |
| Religions: | note: religious affiliation is still nominal in Azerbaijan; percentages for actual practicing adherents are much lower |
| Population: | 9,780,780 (July 2015 est.) |
| Age structure: | 0-14 years: 22.72% (male 1,190,101/female 1,031,632) |
| Age structure: | 15-24 years: 16.69% (male 847,738/female 784,379) |
| Age structure: | 25-54 years: 45.17% (male 2,158,226/female 2,259,284) |
| Age structure: | 55-64 years: 9.06% (male 409,137/female 477,078) |
| Age structure: | 65 years and over: 6.37% (male 237,547/female 385,658) (2015 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 38% |
| population pyramid: | youth dependency ratio: 30.3% |
| population pyramid: | elderly dependency ratio: 7.8% |
| population pyramid: | potential support ratio: 12.9% (2015 est.) |
| Median age: | total: 30.5 years |
| Median age: | male: 28.9 years |
| Median age: | female: 32.2 years (2015 est.) |
| Population growth rate: | 0.96% (2015 est.) |
| Birth rate: | 16.64 births/1,000 population (2015 est.) |
| Death rate: | 7.07 deaths/1,000 population (2015 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 54.6% of total population (2015) |
| Urbanization: | rate of urbanization: 1.56% annual rate of change (2010-15 est.) |
| Major urban areas - population: | BAKU (capital) 2.374 million (2015) |
| Sex ratio: | at birth: 1.11 male(s)/female |
| Sex ratio: | 0-14 years: 1.15 male(s)/female |
| Sex ratio: | 15-24 years: 1.08 male(s)/female |
| Sex ratio: | 25-54 years: 0.96 male(s)/female |
| Sex ratio: | 55-64 years: 0.86 male(s)/female |
| Sex ratio: | 65 years and over: 0.62 male(s)/female |
| Sex ratio: | total population: 0.98 male(s)/female (2015 est.) |
| Maternal mortality rate: | 25 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 25.68 deaths/1,000 live births |
| Infant mortality rate: | male: 26.52 deaths/1,000 live births |
| Infant mortality rate: | female: 24.74 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 72.2 years |
| Life expectancy at birth: | male: 69.19 years |
| Life expectancy at birth: | female: 75.54 years (2015 est.) |
| Total fertility rate: | 1.91 children born/woman (2015 est.) |
| Contraceptive prevalence rate: | 51.1% (2006) |
| Health expenditures: | 5.6% of GDP (2013) |
| Physicians density: | 3.4 physicians/1,000 population (2013) |
| Hospital bed density: | 4.7 beds/1,000 population (2012) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 94.7% of population |
| Drinking water source: | rural: 77.8% of population |
| Drinking water source: | total: 87% of population |
| unimproved: | urban: 5.3% of population |
| unimproved: | rural: 22.2% of population |
| unimproved: | total: 13% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 91.6% of population |
| Sanitation facility access: | rural: 86.6% of population |
| Sanitation facility access: | total: 89.3% of population |
| unimproved: | urban: 8.4% of population |
| unimproved: | rural: 13.4% of population |
| unimproved: | total: 10.7% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.14% (2014 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 8,400 (2014 est.) |
| HIV/AIDS - deaths: | 400 (2014 est.) |
| Obesity - adult prevalence rate: | 22.2% (2014) |
| Children under the age of 5 years underweight: | 8.4% (2006) |
| Education expenditures: | 2.4% of GDP (2011) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 99.8% |
| Literacy: | male: 99.9% |
| Literacy: | female: 99.8% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 12 years |
| School life expectancy (primary to tertiary education): | male: 12 years |
| School life expectancy (primary to tertiary education): | female: 12 years (2012) |
| Child labor - children ages 5-14: | total number: 144,397 |
| Child labor - children ages 5-14: | percentage: 7% |
| Child labor - children ages 5-14: | note: data represents children ages 5-17 (2005 est.) |
| Unemployment, youth ages 15-24: | total: 13.8% |
| Unemployment, youth ages 15-24: | male: 12% |
| Unemployment, youth ages 15-24: | female: 15.6% (2013 est.) |
