| People and Society | Azerbaijan |
| --- | --- |
| Nationality: | noun: Azerbaijani(s) |
| Nationality: | adjective: Azerbaijani |
| Ethnic groups: | Azeri 90.6%, Dagestani 2.2%, Russian 1.8%, Armenian 1.5%, other 3.9% (1999 census) |
| Ethnic groups: | note: almost all Armenians live in the separatist Nagorno-Karabakh region |
| Languages: | Azerbaijani (Azeri) (official) 90.3%, Lezgi 2.2%, Russian 1.8%, Armenian 1.5%, other 3.3%, unspecified 1% (1999 census) |
| Religions: | Muslim 93.4%, Russian Orthodox 2.5%, Armenian Orthodox 2.3%, other 1.8% (1995 est.) |
| Religions: | note: religious affiliation is still nominal in Azerbaijan; percentages for actual practicing adherents are much lower |
| Population: | 8,372,373 (July 2011 est.) |
| Age structure: | 0-14 years: 23.2% (male 1,029,931/female 912,639) |
| Age structure: | 15-64 years: 70.3% (male 2,896,785/female 2,993,092) |
| Age structure: | 65 years and over: 6.4% (male 195,853/female 344,073) (2011 est.) |
| Median age: | total: 28.8 years |
| Median age: | male: 27.2 years |
| Median age: | female: 30.6 years (2011 est.) |
| Population growth rate: | 0.846% (2011 est.) |
| Birth rate: | 17.85 births/1,000 population (2011 est.) |
| Death rate: | 8.25 deaths/1,000 population (July 2011 est.) |
| Net migration rate: | -1.14 migrant(s)/1,000 population (2011 est.) |
| Urbanization: | urban population: 52% of total population (2010) |
| Urbanization: | rate of urbanization: 1.4% annual rate of change (2010-15 est.) |
| Major cities - population: | BAKU (capital) 1.95 million (2009) |
| Sex ratio: | at birth: 1.116 male(s)/female |
| Sex ratio: | under 15 years: 1.13 male(s)/female |
| Sex ratio: | 15-64 years: 0.97 male(s)/female |
| Sex ratio: | 65 years and over: 0.58 male(s)/female |
| Sex ratio: | total population: 0.97 male(s)/female (2011 est.) |
| Maternal mortality rate: | 38 deaths/100,000 live births (2008) |
| Infant mortality rate: | total: 51.08 deaths/1,000 live births |
| Infant mortality rate: | male: 56.55 deaths/1,000 live births |
| Infant mortality rate: | female: 44.97 deaths/1,000 live births (2011 est.) |
| Life expectancy at birth: | total population: 67.36 years |
| Life expectancy at birth: | male: 63.2 years |
| Life expectancy at birth: | female: 72.01 years (2011 est.) |
| Total fertility rate: | 2.02 children born/woman (2011 est.) |
| Health expenditures: | 5.8% of GDP (2009) |
| Physicians density: | 3.794 physicians/1,000 population (2007) |
| Hospital bed density: | 7.93 beds/1,000 population (2007) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 88% of population |
| Drinking water source: | rural: 71% of population |
| Drinking water source: | total: 80% of population |
| unimproved: | urban: 12% of population |
| unimproved: | rural: 29% of population |
| unimproved: | total: 20% of population (2008) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 51% of population |
| Sanitation facility access: | rural: 39% of population |
| Sanitation facility access: | total: 45% of population |
| unimproved: | urban: 49% of population |
| unimproved: | rural: 61% of population |
| unimproved: | total: 55% of population (2008) |
| HIV/AIDS - adult prevalence rate: | 0.1% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 3,600 (2009 est.) |
| HIV/AIDS - deaths: | fewer than 200 (2009 est.) |
| Children under the age of 5 years underweight: | 8.4% (2006) |
| Education expenditures: | 2.8% of GDP (2009) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 98.8% |
| Literacy: | male: 99.5% |
| Literacy: | female: 98.2% (1999 census) |
| School life expectancy (primary to tertiary education): | total: 12 years |
| School life expectancy (primary to tertiary education): | male: 12 years |
| School life expectancy (primary to tertiary education): | female: 12 years (2009) |
| Unemployment, youth ages 15-24: | total: 14.4% |
| Unemployment, youth ages 15-24: | male: 18.7% |
| Unemployment, youth ages 15-24: | female: 9.8% (2008) |
