| People and Society | Timor-Leste |
| --- | --- |
| Nationality: | noun: Timorese |
| Nationality: | adjective: Timorese |
| Ethnic groups: | Austronesian (Malayo-Polynesian), Papuan, small Chinese minority |
| Languages: | Tetum (official), Portuguese (official), Indonesian, English |
| Languages: | note: there are about 16 indigenous languages; Tetum, Galole, Mambae, and Kemak are spoken by a significant portion of the population |
| Religions: | Roman Catholic 98%, Muslim 1%, Protestant 1% (2005) |
| Population: | 1,177,834 |
| Population: | note: other estimates range as low as 800,000 (July 2011 est.) |
| Age structure: | 0-14 years: 33.8% (male 202,431/female 195,895) |
| Age structure: | 15-64 years: 62.5% (male 374,659/female 361,983) |
| Age structure: | 65 years and over: 3.6% (male 20,160/female 22,706) (2011 est.) |
| Median age: | total: 22.5 years |
| Median age: | male: 22.5 years |
| Median age: | female: 22.5 years (2011 est.) |
| Population growth rate: | 1.981% (2011 est.) |
| Birth rate: | 25.7 births/1,000 population (2011 est.) |
| Death rate: | 5.89 deaths/1,000 population (July 2011 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2011 est.) |
| Urbanization: | urban population: 28% of total population (2010) |
| Urbanization: | rate of urbanization: 5% annual rate of change (2010-15 est.) |
| Major cities - population: | DILI (capital) 166,000 (2009) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | under 15 years: 1.03 male(s)/female |
| Sex ratio: | 15-64 years: 1.04 male(s)/female |
| Sex ratio: | 65 years and over: 0.9 male(s)/female |
| Sex ratio: | total population: 1.03 male(s)/female (2011 est.) |
| Maternal mortality rate: | 370 deaths/100,000 live births (2008) |
| Infant mortality rate: | total: 38.01 deaths/1,000 live births |
| Infant mortality rate: | male: 43.79 deaths/1,000 live births |
| Infant mortality rate: | female: 31.95 deaths/1,000 live births (2011 est.) |
| Life expectancy at birth: | total population: 67.95 years |
| Life expectancy at birth: | male: 65.54 years |
| Life expectancy at birth: | female: 70.47 years (2011 est.) |
| Total fertility rate: | 3.13 children born/woman (2011 est.) |
| Health expenditures: | 12.3% of GDP (2009) |
| Physicians density: | 0.1 physicians/1,000 population (2004) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 86% of population |
| Drinking water source: | rural: 63% of population |
| Drinking water source: | total: 69% of population |
| unimproved: | urban: 14% of population |
| unimproved: | rural: 37% of population |
| unimproved: | total: 31% of population (2008) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 76% of population |
| Sanitation facility access: | rural: 40% of population |
| Sanitation facility access: | total: 50% of population |
| unimproved: | urban: 24% of population |
| unimproved: | rural: 60% of population |
| unimproved: | total: 50% of population (2008) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: chikungunya, dengue fever and malaria (2009) |
| Children under the age of 5 years underweight: | 40.6% (2002) |
| Education expenditures: | 16.8% of GDP (2009) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 58.6% |
| Literacy: | male: NA |
| Literacy: | female: NA (2002) |
| School life expectancy (primary to tertiary education): | total: 11 years (2004) |
