| People and Society | Timor-Leste |
| --- | --- |
| Nationality: | noun: Timorese |
| Nationality: | adjective: Timorese |
| Ethnic groups: | Austronesian (Malayo-Polynesian), Papuan, small Chinese minority |
| Languages: | Tetum (official), Portuguese (official), Indonesian, English |
| Languages: | note: there are about 16 indigenous languages; Tetum, Galole, Mambae, and Kemak are spoken by a significant portion of the population |
| Religions: | Roman Catholic 96.9%, Protestant / Evangelical 2.2%, Muslim 0.3%, other 0.6% (2005) |
| Population: | 1,201,542 |
| Population: | note: other estimates range as low as 800,000 (July 2014 est.) |
| Age structure: | 0-14 years: 42.4% (male 261,794/female 247,486) |
| Age structure: | 15-24 years: 19.8% (male 120,256/female 117,268) |
| Age structure: | 25-54 years: 29.3% (male 170,179/female 182,278) |
| Age structure: | 55-64 years: 4.8% (male 29,867/female 28,156) |
| Age structure: | 65 years and over: 3.6% (male 21,214/female 23,044) (2014 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 94.3 % |
| population pyramid: | youth dependency ratio: 87.8 % |
| population pyramid: | elderly dependency ratio: 6.5 % |
| population pyramid: | potential support ratio: 15.4 (2014 est.) |
| Median age: | total: 18.5 years |
| Median age: | male: 17.9 years |
| Median age: | female: 19.1 years (2014 est.) |
| Population growth rate: | 2.44% (2014 est.) |
| Birth rate: | 34.48 births/1,000 population (2014 est.) |
| Death rate: | 6.18 deaths/1,000 population (2014 est.) |
| Net migration rate: | -3.87 migrant(s)/1,000 population (2014 est.) |
| Urbanization: | urban population: 28.3% of total population (2011) |
| Urbanization: | rate of urbanization: 4.25% annual rate of change (2010-15 est.) |
| Major urban areas - population: | DILI (capital) 180,000 (2011) |
| Sex ratio: | at birth: 1.07 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.03 male(s)/female |
| Sex ratio: | 25-54 years: 0.93 male(s)/female |
| Sex ratio: | 55-64 years: 1.01 male(s)/female |
| Sex ratio: | 65 years and over: 0.96 male(s)/female |
| Sex ratio: | total population: 1.01 male(s)/female (2014 est.) |
| Mother's mean age at first birth: | 22.1 |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 (2009-10 est.) |
| Maternal mortality rate: | 300 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 38.79 deaths/1,000 live births |
| Infant mortality rate: | male: 41.84 deaths/1,000 live births |
| Infant mortality rate: | female: 35.54 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 67.39 years |
| Life expectancy at birth: | male: 65.87 years |
| Life expectancy at birth: | female: 69.01 years (2014 est.) |
| Total fertility rate: | 5.11 children born/woman (2014 est.) |
| Contraceptive prevalence rate: | 22.3% (2009/10) |
| Health expenditures: | 5.1% of GDP (2011) |
| Physicians density: | 0.1 physicians/1,000 population (2004) |
| Hospital bed density: | 5.9 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 95.2% of population |
| Drinking water source: | rural: 60.5% of population |
| Drinking water source: | total: 70.5% of population |
| unimproved: | urban: 4.8% of population |
| unimproved: | rural: 39.5% of population |
| unimproved: | total: 29.5% of population (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 69% of population |
| Sanitation facility access: | rural: 26.8% of population |
| Sanitation facility access: | total: 38.9% of population |
| unimproved: | urban: 31% of population |
| unimproved: | rural: 73.2% of population |
| unimproved: | total: 61.1% of population (2012 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever and malaria (2013) |
| Obesity - adult prevalence rate: | 2.7% (2008) |
| Children under the age of 5 years underweight: | 45.3% (2010) |
| Education expenditures: | 9.4% of GDP (2011) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 58.3% |
| Literacy: | male: 63.6% |
| Literacy: | female: 53% (2010 est.) |
| School life expectancy (primary to tertiary education): | total: 12 years |
| School life expectancy (primary to tertiary education): | male: 12 years |
| School life expectancy (primary to tertiary education): | female: 11 years (2010) |
| Child labor - children ages 5-14: | total number: 10,510 |
| Child labor - children ages 5-14: | percentage: 4 % (2002 est.) |
| Unemployment, youth ages 15-24: | total: 14.8% |
| Unemployment, youth ages 15-24: | male: 10.4% |
| Unemployment, youth ages 15-24: | female: 22.7% (2010) |
