| People and Society | COOK ISLANDS |
| --- | --- |
| Population: | 9,556 (July 2016 est.) |
| Population: | note: the Cook Islands' Ministry of Finance & Economic Management estimated the resident population to have been 12,000 in December 2015 |
| Nationality: | noun: Cook Islander(s) |
| Nationality: | adjective: Cook Islander |
| Ethnic groups: | Cook Island Maori (Polynesian) 81.3%, part Cook Island Maori 6.7%, other 11.9% (2011 est.) |
| Languages: | English (official) 86.4%, Cook Islands Maori (Rarotongan) (official) 76.2%, other 8.3% |
| Languages: | note: shares sum to more than 100% because some respondents gave more than one answer on the census (2011 est.) |
| Religions: | Protestant 62.8% (Cook Islands Christian Church 49.1%, Seventh Day Adventist 7.9%, Assemblies of God 3.7%, Apostolic Church 2.1%), Roman Catholic 17%, Mormon 4.4%, other 8%, none 5.6%, no response 2.2% (2011 est.) |
| Age structure: | 0-14 years: 21.61% (male 1,093/female 972) |
| Age structure: | 15-24 years: 17.2% (male 877/female 767) |
| Age structure: | 25-54 years: 38.08% (male 1,822/female 1,817) |
| Age structure: | 55-64 years: 11.34% (male 584/female 500) |
| Age structure: | 65 years and over: 11.76% (male 554/female 570) (2016 est.) |
| Median age: | total: 35.9 years |
| Median age: | male: 35.3 years |
| Median age: | female: 36.4 years (2016 est.) |
| Population growth rate: | -2.88% (2016 est.) |
| Birth rate: | 14.1 births/1,000 population (2016 est.) |
| Death rate: | 8.3 deaths/1,000 population (2016 est.) |
| Urbanization: | urban population: 74.5% of total population (2015) |
| Urbanization: | rate of urbanization: 0.88% annual rate of change (2010-15 est.) |
| Sex ratio: | at birth: 1.04 male(s)/female |
| Sex ratio: | 0-14 years: 1.12 male(s)/female |
| Sex ratio: | 15-24 years: 1.14 male(s)/female |
| Sex ratio: | 25-54 years: 1 male(s)/female |
| Sex ratio: | 55-64 years: 1.17 male(s)/female |
| Sex ratio: | 65 years and over: 0.97 male(s)/female |
| Sex ratio: | total population: 1.07 male(s)/female (2016 est.) |
| Infant mortality rate: | total: 13.5 deaths/1,000 live births |
| Infant mortality rate: | male: 16.3 deaths/1,000 live births |
| Infant mortality rate: | female: 10.4 deaths/1,000 live births (2016 est.) |
| Life expectancy at birth: | total population: 75.8 years |
| Life expectancy at birth: | male: 73 years |
| Life expectancy at birth: | female: 78.8 years (2016 est.) |
| Total fertility rate: | 2.21 children born/woman (2016 est.) |
| Health expenditures: | 3.4% of GDP (2014) |
| Physicians density: | 1.33 physicians/1,000 population (2009) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99.9% of population |
| Drinking water source: | rural: 99.9% of population |
| Drinking water source: | total: 99.9% of population |
| unimproved: | urban: 0.1% of population |
| unimproved: | rural: 0.1% of population |
| unimproved: | total: 0.1% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 97.6% of population |
| Sanitation facility access: | rural: 97.6% of population |
| Sanitation facility access: | total: 97.6% of population |
| unimproved: | urban: 2.4% of population |
| unimproved: | rural: 2.4% of population |
| unimproved: | total: 2.4% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 50% (2014) |
| Education expenditures: | 3.9% of GDP (2014) |
| School life expectancy (primary to tertiary education): | total: 15 years |
| School life expectancy (primary to tertiary education): | male: 14 years |
| School life expectancy (primary to tertiary education): | female: 17 years (2014) |
