| People and Society | Cook Islands |
| --- | --- |
| Population: | 9,038 (July 2017 est.) (July 2018 est.) |
| Population: | note: the Cook Islands' Ministry of Finance & Economic Management estimated the resident population to have been 11,700 in September 2016 |
| Nationality: | noun: Cook Islander(s) |
| Nationality: | adjective: Cook Islander |
| Ethnic groups: | Cook Island Maori (Polynesian) 81.3%, part Cook Island Maori 6.7%, other 11.9% (2011 est.) |
| Languages: | English (official) 86.4%, Cook Islands Maori (Rarotongan) (official) 76.2%, other 8.3% (2011 est.) |
| Languages: | note: shares sum to more than 100% because some respondents gave more than one answer on the census |
| Religions: | Protestant 62.8% (Cook Islands Christian Church 49.1%, Seventh Day Adventist 7.9%, Assemblies of God 3.7%, Apostolic Church 2.1%), Roman Catholic 17%, Mormon 4.4%, other 8%, none 5.6%, no response 2.2% (2011 est.) |
| Age structure: | 0-14 years: 20.68% (male 987 /female 882) |
| Age structure: | 15-24 years: 15.99% (male 774 /female 671) |
| Age structure: | 25-54 years: 38.06% (male 1,710 /female 1,730) |
| Age structure: | 55-64 years: 12.72% (male 627 /female 523) |
| Age structure: | 65 years and over: 12.55% (male 558 /female 576) (2018 est.) |
| Median age: | total: 37.2 years |
| Median age: | male: 36.7 years |
| Median age: | female: 37.6 years (2018 est.) |
| Population growth rate: | -2.72% (2018 est.) |
| Birth rate: | 13.7 births/1,000 population (2018 est.) |
| Death rate: | 8.6 deaths/1,000 population (2018 est.) |
| Population distribution: | most of the population is found on the island of Rarotonga |
| Urbanization: | urban population: 75.1% of total population (2018) |
| Urbanization: | rate of urbanization: 0.37% annual rate of change (2015-20 est.) |
| Sex ratio: | at birth: 1.07 male(s)/female (2017 est.) |
| Sex ratio: | 0-14 years: 1.12 male(s)/female (2017 est.) |
| Sex ratio: | 15-24 years: 1.14 male(s)/female (2017 est.) |
| Sex ratio: | 25-54 years: 1 male(s)/female (2017 est.) |
| Sex ratio: | 55-64 years: 1.17 male(s)/female (2017 est.) |
| Sex ratio: | 65 years and over: 0.97 male(s)/female (2017 est.) |
| Sex ratio: | total population: 1.07 male(s)/female (2017 est.) |
| Infant mortality rate: | total: 12.6 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 15.3 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | female: 9.8 deaths/1,000 live births (2018 est.) |
| Life expectancy at birth: | total population: 76.2 years (2018 est.) |
| Life expectancy at birth: | male: 73.4 years (2018 est.) |
| Life expectancy at birth: | female: 79.2 years (2018 est.) |
| Total fertility rate: | 2.16 children born/woman (2018 est.) |
| Health expenditures: | 3.4% of GDP (2014) |
| Physicians density: | 1.19 physicians/1,000 population (2009) |
| Drinking water source: | improved: urban: 99.9% of population |
| Drinking water source: | rural: 99.9% of population |
| Drinking water source: | total: 99.9% of population |
| Drinking water source: | unimproved: urban: 0.1% of population |
| Drinking water source: | rural: 0.1% of population |
| Drinking water source: | total: 0.1% of population (2015 est.) |
| Sanitation facility access: | improved: urban: 97.6% of population (2015 est.) |
| Sanitation facility access: | rural: 97.6% of population (2015 est.) |
| Sanitation facility access: | total: 97.6% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 2.4% of population (2015 est.) |
| Sanitation facility access: | rural: 2.4% of population (2015 est.) |
| Sanitation facility access: | total: 2.4% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 55.9% (2016) |
| Education expenditures: | 4.7% of GDP (2016) |
| School life expectancy (primary to tertiary education): | total: 15 years (2015) |
| School life expectancy (primary to tertiary education): | male: 15 years (2015) |
| School life expectancy (primary to tertiary education): | female: 16 years (2015) |
