| People and Society | GUAM |
| --- | --- |
| Population: | 167,358 (July 2017 est.) |
| Nationality: | noun: Guamanian(s) (US citizens) |
| Nationality: | adjective: Guamanian |
| Ethnic groups: | Chamorro 37.3%, Filipino 26.3%, white 7.1%, Chuukese 7%, Korean 2.2%, other Pacific Islander 2%, other Asian 2%, Chinese 1.6%, Palauan 1.6%, Japanese 1.5%, Pohnpeian 1.4%, mixed 9.4%, other 0.6% (2010 est.) |
| Languages: | English 43.6%, Filipino 21.2%, Chamorro 17.8%, other Pacific island languages 10%, Asian languages 6.3%, other 1.1% (2010 est.) |
| Religions: | Roman Catholic 85%, other 15% (1999 est.) |
| Age structure: | 0-14 years: 27.54% (male 23,896/female 22,190) |
| Age structure: | 15-24 years: 16.63% (male 14,847/female 12,981) |
| Age structure: | 25-54 years: 37.44% (male 32,295/female 30,356) |
| Age structure: | 55-64 years: 9.8% (male 8,352/female 8,057) |
| Age structure: | 65 years and over: 8.59% (male 6,706/female 7,678) (2017 est.) |
| Dependency ratios: | total dependency ratio: 52.3 |
| Dependency ratios: | youth dependency ratio: 38.8 |
| Dependency ratios: | elderly dependency ratio: 13.6 |
| Dependency ratios: | potential support ratio: 7.4 (2015 est.) |
| Median age: | total: 29 years |
| Median age: | male: 28.3 years |
| Median age: | female: 29.7 years (2017 est.) |
| Population growth rate: | 0.26% (2017 est.) |
| Birth rate: | 19.7 births/1,000 population (2017 est.) |
| Death rate: | 6 deaths/1,000 population (2017 est.) |
| Net migration rate: | -11.1 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | no large cities exist on the island, though large villages (municipalities) attract much of the population; the largest of these is Dededo |
| Urbanization: | urban population: 94.7% of total population (2017) |
| Urbanization: | rate of urbanization: 1.27% annual rate of change (2015-20 est.) |
| Major urban areas - population: | HAGATNA (capital) 143,000 (2014) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.08 male(s)/female |
| Sex ratio: | 25-54 years: 1.03 male(s)/female |
| Sex ratio: | 55-64 years: 1.02 male(s)/female |
| Sex ratio: | 65 years and over: 0.84 male(s)/female |
| Sex ratio: | total population: 1.03 male(s)/female (2016 est.) |
| Infant mortality rate: | total: 12.6 deaths/1,000 live births |
| Infant mortality rate: | male: 12.3 deaths/1,000 live births |
| Infant mortality rate: | female: 12.8 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 76 years |
| Life expectancy at birth: | male: 73.6 years |
| Life expectancy at birth: | female: 78.6 years (2017 est.) |
| Total fertility rate: | 2.96 children born/woman (2017 est.) |
| Physicians density: | 0.84 physicians/1,000 population (2007) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99.5% of population |
| Drinking water source: | rural: 99.5% of population |
| Drinking water source: | total: 99.5% of population |
| unimproved: | urban: 0.5% of population |
| unimproved: | rural: 0.5% of population |
| unimproved: | total: 0.5% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 89.8% of population |
| Sanitation facility access: | rural: 89.8% of population |
| Sanitation facility access: | total: 89.8% of population |
| unimproved: | urban: 10.2% of population |
| unimproved: | rural: 10.2% of population |
| unimproved: | total: 10.2% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Unemployment, youth ages 15-24: | total: 29.4% |
| Unemployment, youth ages 15-24: | male: 29.7% |
| Unemployment, youth ages 15-24: | female: 28.9% (2011 est.) |
