| People and Society | Comoros |
| --- | --- |
| Population: | 846,281 (July 2020 est.) |
| Nationality: | noun: Comoran(s) |
| Nationality: | adjective: Comoran |
| Ethnic groups: | Antalote, Cafre, Makoa, Oimatsaha, Sakalava |
| Languages: | Arabic (official), French (official), Shikomoro (official; a blend of Swahili and Arabic) (Comorian) |
| Religions: | Sunni Muslim 98%, other (including Shia Muslim, Roman Catholic, Jehovah's Witness, Protestant) 2% |
| Religions: | note: Sunni Islam is the state religion |
| Demographic profile: | Comorosâ€™ population is a melange of Arabs, Persians, Indonesians, Africans, and Indians, and the much smaller number of Europeans that settled on the islands between the 8th and 19th centuries, when they served as a regional trade hub. The Arab and Persian influence is most evident in the islandsâ€™ overwhelmingly Muslim majority â€“ about 98% of Comorans are Sunni Muslims. The country is densely populated, averaging nearly 350 people per square mile, although this varies widely among the islands, with Anjouan being the most densely populated. |
| Demographic profile: | Given the large share of land dedicated to agriculture and Comorosâ€™ growing population, habitable land is becoming increasingly crowded. The combination of increasing population pressure on limited land and resources, widespread poverty, and poor job prospects motivates thousands of Comorans each year to attempt to illegally migrate using small fishing boats to the neighboring island of Mayotte, which is a French territory. The majority of legal Comoran migration to France came after Comorosâ€™ independence from France in 1975, with the flow peaking in the mid-1980s. |
| Demographic profile: | At least 150,000 to 200,000 people of Comoran citizenship or descent live abroad, mainly in France, where they have gone seeking a better quality of life, job opportunities, higher education (Comoros has no universities), advanced health care, and to finance elaborate traditional wedding ceremonies (aada). Remittances from the diaspora are an economic mainstay, in 2013 representing approximately 25% of Comorosâ€™ GDP and significantly more than the value of its exports of goods and services (only 15% of GDP). Grand Comore, Comorosâ€™ most populous island, is both the primary source of emigrants and the main recipient of remittances. Most remittances are spent on private consumption, but this often goes toward luxury goods and the aada and does not contribute to economic development or poverty reduction. Although the majority of the diaspora is now French-born with more distant ties to Comoros, it is unclear whether they will sustain the current level of remittances. |
| Age structure: | 0-14 years: 36.68% (male 154,853/female 155,602) |
| Age structure: | 15-24 years: 20.75% (male 85,208/female 90,422) |
| Age structure: | 25-54 years: 33.99% (male 136,484/female 151,178) |
| Age structure: | 55-64 years: 4.49% (male 17,237/female 20,781) |
| Age structure: | 65 years and over: 4.08% (male 15,437/female 19,079) (2020 est.) |
| Dependency ratios: | total dependency ratio: 75.5 |
| Dependency ratios: | youth dependency ratio: 67.4 |
| Dependency ratios: | elderly dependency ratio: 5.4 |
| Dependency ratios: | potential support ratio: 18.6 (2020 est.) |
| Median age: | total: 20.9 years |
| Median age: | male: 20.2 years |
| Median age: | female: 21.5 years (2020 est.) |
| Population growth rate: | 1.47% (2020 est.) |
| Birth rate: | 23.6 births/1,000 population (2020 est.) |
| Death rate: | 6.9 deaths/1,000 population (2020 est.) |
| Net migration rate: | -2.3 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | the capital city of Maroni, located on the western side of the island of Grande Comore, is the country's largest city; however, of the three islands that comprise Comoros, it is Anjouan that is the most densely populated as shown in this population distribution map |
