| People and Society | Comoros |
| --- | --- |
| Population: | 821,164 (July 2018 est.) |
| Nationality: | noun: Comoran(s) |
| Nationality: | adjective: Comoran |
| Ethnic groups: | Antalote, Cafre, Makoa, Oimatsaha, Sakalava |
| Languages: | Arabic (official), French (official), Shikomoro (official; a blend of Swahili and Arabic) (Comorian) |
| Religions: | Sunni Muslim 98%, other (including Shia Muslim, Roman Catholic, Jehovah's Witness, Protestant) 2% |
| Religions: | note: Islam is the state religion |
| Demographic profile: | Comorosâ€™ population is a melange of Arabs, Persians, Indonesians, Africans, and Indians, and the much smaller number of Europeans that settled on the islands between the 8th and 19th centuries, when they served as a regional trade hub. The Arab and Persian influence is most evident in the islandsâ€™ overwhelmingly Muslim majority â€“ about 98% of Comorans are Sunni Muslims. The country is densely populated, averaging nearly 350 people per square mile, although this varies widely among the islands, with Anjouan being the most densely populated. |
| Demographic profile: | Given the large share of land dedicated to agriculture and Comorosâ€™ growing population, habitable land is becoming increasingly crowded. The combination of increasing population pressure on limited land and resources, widespread poverty, and poor job prospects motivates thousands of Comorans each year to attempt to illegally migrate using small fishing boats to the neighboring island of Mayotte, which is a French territory. The majority of legal Comoran migration to France came after Comorosâ€™ independence from France in 1975, with the flow peaking in the mid-1980s. |
| Demographic profile: | At least 150,000 to 200,000 people of Comoran citizenship or descent live abroad, mainly in France, where they have gone seeking a better quality of life, job opportunities, higher education (Comoros has no universities), advanced health care, and to finance elaborate traditional wedding ceremonies (aada). Remittances from the diaspora are an economic mainstay, in 2013 representing approximately 25% of Comorosâ€™ GDP and significantly more than the value of its exports of goods and services (only 15% of GDP). Grand Comore, Comorosâ€™ most populous island, is both the primary source of emigrants and the main recipient of remittances. Most remittances are spent on private consumption, but this often goes toward luxury goods and the aada and does not contribute to economic development or poverty reduction. Although the majority of the diaspora is now French-born with more distant ties to Comoros, it is unclear whether they will sustain the current level of remittances. |
| Age structure: | 0-14 years: 38.54% (male 157,764 /female 158,676) |
| Age structure: | 15-24 years: 19.89% (male 79,133 /female 84,181) |
| Age structure: | 25-54 years: 33.25% (male 129,645 /female 143,408) |
| Age structure: | 55-64 years: 4.34% (male 15,957 /female 19,690) |
| Age structure: | 65 years and over: 3.98% (male 14,881 /female 17,829) (2018 est.) |
| Dependency ratios: | total dependency ratio: 75.5 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 70.5 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 5.1 (2015 est.) |
| Dependency ratios: | potential support ratio: 19.7 (2015 est.) |
| Median age: | total: 20.2 years |
| Median age: | male: 19.5 years |
| Median age: | female: 20.8 years (2018 est.) |
| Population growth rate: | 1.57% (2018 est.) |
| Birth rate: | 25.3 births/1,000 population (2018 est.) |
| Death rate: | 7.1 deaths/1,000 population (2018 est.) |
| Net migration rate: | -2.4 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | the capital city of Maroni, located on the western side of the island of Grande Comore, is the country's largest city; however, of the three islands that comprise Comoros, it is Anjouan that is the most densely populated |
| Urbanization: | urban population: 29% of total population (2018) |
| Urbanization: | rate of urbanization: 2.87% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 62,000 MORONI (capital) (2018) |
| Sex ratio: | at birth: 1.02 male(s)/female (2017 est.) |
| Sex ratio: | 0-14 years: 0.99 male(s)/female (2017 est.) |
| Sex ratio: | 15-24 years: 0.94 male(s)/female (2017 est.) |
| Sex ratio: | 25-54 years: 0.9 male(s)/female (2017 est.) |
| Sex ratio: | 55-64 years: 0.8 male(s)/female (2017 est.) |
| Sex ratio: | 65 years and over: 0.88 male(s)/female (2017 est.) |
| Sex ratio: | total population: 0.94 male(s)/female (2017 est.) |
| Mother's mean age at first birth: | 24.6 years (2012 est.) |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 |
| Maternal mortality rate: | 335 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 58.3 deaths/1,000 live births (2018 est.) |
