| People and Society | BULGARIA |
| --- | --- |
| Population: | 7,101,510 (July 2017 est.) |
| Nationality: | noun: Bulgarian(s) |
| Nationality: | adjective: Bulgarian |
| Ethnic groups: | Bulgarian 76.9%, Turkish 8%, Romani 4.4%, other 0.7% (including Russian, Armenian, and Vlach), other (unknown) 10% (2011 est.) |
| Ethnic groups: | note: Romani populations are usually underestimated in official statistics and may represent 9–11% of Bulgaria's population |
| Languages: | Bulgarian (official) 76.8%, Turkish 8.2%, Romani 3.8%, other 0.7%, unspecified 10.5% (2011 est.) |
| Religions: | Eastern Orthodox 59.4%, Muslim 7.8%, other (including Catholic, Protestant, Armenian Apostolic Orthodox, and Jewish) 1.7%, none 3.7%, unspecified 27.4% (2011 est.) |
| Age structure: | 0-14 years: 14.58% (male 532,924/female 502,277) |
| Age structure: | 15-24 years: 9.58% (male 354,872/female 325,538) |
| Age structure: | 25-54 years: 43.21% (male 1,576,980/female 1,491,489) |
| Age structure: | 55-64 years: 13.35% (male 445,412/female 502,924) |
| Age structure: | 65 years and over: 19.28% (male 554,486/female 814,608) (2017 est.) |
| Dependency ratios: | total dependency ratio: 51.7 |
| Dependency ratios: | youth dependency ratio: 21.2 |
| Dependency ratios: | elderly dependency ratio: 30.5 |
| Dependency ratios: | potential support ratio: 3.3 (2015 est.) |
| Median age: | total: 42.7 years |
| Median age: | male: 40.9 years |
| Median age: | female: 44.7 years (2017 est.) |
| Population growth rate: | -0.61% (2017 est.) |
| Birth rate: | 8.7 births/1,000 population (2017 est.) |
| Death rate: | 14.5 deaths/1,000 population (2017 est.) |
| Net migration rate: | -0.3 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | a fairly even distribution throughout most of the country, with urban areas attracting larger populations |
| Urbanization: | urban population: 74.6% of total population (2017) |
| Urbanization: | rate of urbanization: -0.4% annual rate of change (2015-20 est.) |
| Major urban areas - population: | SOFIA (capital) 1.226 million (2015) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.09 male(s)/female |
| Sex ratio: | 25-54 years: 1.06 male(s)/female |
| Sex ratio: | 55-64 years: 0.88 male(s)/female |
| Sex ratio: | 65 years and over: 0.69 male(s)/female |
| Sex ratio: | total population: 0.95 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 26.7 years (2014 est.) |
| Maternal mortality rate: | 11 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 8.4 deaths/1,000 live births |
| Infant mortality rate: | male: 9.5 deaths/1,000 live births |
| Infant mortality rate: | female: 7.3 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 74.7 years |
| Life expectancy at birth: | male: 71.4 years |
| Life expectancy at birth: | female: 78.2 years (2017 est.) |
| Total fertility rate: | 1.46 children born/woman (2017 est.) |
| Contraceptive prevalence rate: | 69.2% |
| Contraceptive prevalence rate: | note: percent of women age 20-49 (2007) |
| Health expenditures: | 8.4% of GDP (2014) |
| Physicians density: | 4 physicians/1,000 population (2014) |
| Hospital bed density: | 6.4 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99.6% of population |
| Drinking water source: | rural: 99% of population |
| Drinking water source: | total: 99.4% of population |
| unimproved: | urban: 0.4% of population |
| unimproved: | rural: 1% of population |
| unimproved: | total: 0.6% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 86.8% of population |
| Sanitation facility access: | rural: 83.7% of population |
| Sanitation facility access: | total: 86% of population |
| unimproved: | urban: 13.2% of population |
| unimproved: | rural: 16.3% of population |
| unimproved: | total: 14% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | <.1% (2016 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 3,500 (2016 est.) |
| HIV/AIDS - deaths: | <200 (2016 est.) |
| Obesity - adult prevalence rate: | 25% (2016) |
| Education expenditures: | 4.1% of GDP (2013) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 98.4% |
| Literacy: | male: 98.7% |
| Literacy: | female: 98.1% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 15 years |
| School life expectancy (primary to tertiary education): | male: 15 years |
| School life expectancy (primary to tertiary education): | female: 15 years (2015) |
| Unemployment, youth ages 15-24: | total: 21.6% |
| Unemployment, youth ages 15-24: | male: 21.2% |
| Unemployment, youth ages 15-24: | female: 22.3% (2015 est.) |
